participantId,appMode,interactionAt,interactionType,currentScenario,selectedId,recommendationShown
1w4I0l6f60JG,practice,1617910985285,init_app,-1,-1,False
1w4I0l6f60JG,practice,1617911004412,card_clicked,0,2,False
1w4I0l6f60JG,practice,1617911033114,save_selection,0,2,False
1w4I0l6f60JG,practice,1617911046528,close_app,-1,-1,False
1w4I0l6f60JG,hiring,1617911215975,init_app,-1,-1,False
1w4I0l6f60JG,hiring,1617911229235,card_clicked,0,28,False
1w4I0l6f60JG,hiring,1617911231841,save_selection,0,28,False
1w4I0l6f60JG,hiring,1617911251760,continue,0,-1,True
1w4I0l6f60JG,hiring,1617911263681,card_clicked,1,4,False
1w4I0l6f60JG,hiring,1617911271103,save_selection,1,4,False
1w4I0l6f60JG,hiring,1617911275611,continue,1,-1,True
1w4I0l6f60JG,hiring,1617911283231,card_clicked,2,12,False
1w4I0l6f60JG,hiring,1617911284731,save_selection,2,12,False
1w4I0l6f60JG,hiring,1617911288463,continue,2,-1,True
1w4I0l6f60JG,hiring,1617911298331,card_clicked,3,18,False
1w4I0l6f60JG,hiring,1617911300093,save_selection,3,18,False
1w4I0l6f60JG,hiring,1617911303801,continue,3,-1,True
1w4I0l6f60JG,hiring,1617911318387,card_clicked,4,35,False
1w4I0l6f60JG,hiring,1617911319716,save_selection,4,35,False
1w4I0l6f60JG,hiring,1617911324553,continue,4,-1,True
1w4I0l6f60JG,hiring,1617911336225,card_clicked,5,45,False
1w4I0l6f60JG,hiring,1617911337269,save_selection,5,45,False
1w4I0l6f60JG,hiring,1617911343817,close_app,-1,-1,False
1w4I0l6f60JG,movies,1617911362699,init_app,-1,-1,False
1w4I0l6f60JG,movies,1617911373829,card_clicked,0,12,False
1w4I0l6f60JG,movies,1617911375087,save_selection,0,12,False
1w4I0l6f60JG,movies,1617911380031,continue,0,-1,True
1w4I0l6f60JG,movies,1617911393359,card_clicked,1,7,False
1w4I0l6f60JG,movies,1617911394113,save_selection,1,7,False
1w4I0l6f60JG,movies,1617911397971,continue,1,-1,True
1w4I0l6f60JG,movies,1617911404205,card_clicked,2,37,False
1w4I0l6f60JG,movies,1617911405299,save_selection,2,37,False
1w4I0l6f60JG,movies,1617911412249,continue,2,-1,True
1w4I0l6f60JG,movies,1617911422555,card_clicked,3,48,False
1w4I0l6f60JG,movies,1617911423877,save_selection,3,48,False
1w4I0l6f60JG,movies,1617911429355,continue,3,-1,True
1w4I0l6f60JG,movies,1617911445201,card_clicked,4,10,False
1w4I0l6f60JG,movies,1617911446663,save_selection,4,10,False
1w4I0l6f60JG,movies,1617911451437,continue,4,-1,True
1w4I0l6f60JG,movies,1617911460425,card_clicked,5,40,False
1w4I0l6f60JG,movies,1617911462259,save_selection,5,40,False
1w4I0l6f60JG,movies,1617911467571,close_app,-1,-1,False
