participantId,appMode,interactionAt,interactionType,currentScenario,selectedId,recommendationShown
C9pIAv6kBqr6,practice,1618018270959,init_app,-1,-1,False
C9pIAv6kBqr6,practice,1618018328581,card_clicked,0,2,False
C9pIAv6kBqr6,practice,1618018330706,get_recommendation,0,2,True
C9pIAv6kBqr6,practice,1618018336042,save_selection,0,2,True
C9pIAv6kBqr6,practice,1618018346542,close_app,-1,-1,False
C9pIAv6kBqr6,hiring,1618018591399,init_app,-1,-1,False
C9pIAv6kBqr6,hiring,1618018604272,card_clicked,0,8,False
C9pIAv6kBqr6,hiring,1618018605916,get_recommendation,0,8,True
C9pIAv6kBqr6,hiring,1618018610538,save_selection,0,8,True
C9pIAv6kBqr6,hiring,1618018618793,card_clicked,1,4,False
C9pIAv6kBqr6,hiring,1618018622485,get_recommendation,1,4,True
C9pIAv6kBqr6,hiring,1618018632838,save_selection,1,4,True
C9pIAv6kBqr6,hiring,1618018646596,card_clicked,2,12,False
C9pIAv6kBqr6,hiring,1618018653632,get_recommendation,2,12,True
C9pIAv6kBqr6,hiring,1618018659778,save_selection,2,12,True
C9pIAv6kBqr6,hiring,1618018664573,card_clicked,3,18,False
C9pIAv6kBqr6,hiring,1618018666732,get_recommendation,3,18,True
C9pIAv6kBqr6,hiring,1618018672516,save_selection,3,18,True
C9pIAv6kBqr6,hiring,1618018686890,card_clicked,4,36,False
C9pIAv6kBqr6,hiring,1618018699376,get_recommendation,4,36,True
C9pIAv6kBqr6,hiring,1618018702345,card_clicked,4,48,True
C9pIAv6kBqr6,hiring,1618018703473,save_selection,4,48,True
C9pIAv6kBqr6,hiring,1618018713631,card_clicked,5,45,False
C9pIAv6kBqr6,hiring,1618018716283,get_recommendation,5,45,True
C9pIAv6kBqr6,hiring,1618018719002,save_selection,5,45,True
C9pIAv6kBqr6,hiring,1618018722545,close_app,-1,-1,False
C9pIAv6kBqr6,movies,1618018727385,init_app,-1,-1,False
C9pIAv6kBqr6,movies,1618018743516,card_clicked,0,31,False
C9pIAv6kBqr6,movies,1618018749305,get_recommendation,0,31,True
C9pIAv6kBqr6,movies,1618018756227,card_clicked,0,12,True
C9pIAv6kBqr6,movies,1618018758695,save_selection,0,12,True
C9pIAv6kBqr6,movies,1618018775864,card_clicked,1,7,False
C9pIAv6kBqr6,movies,1618018777669,get_recommendation,1,7,True
C9pIAv6kBqr6,movies,1618018792998,save_selection,1,7,True
C9pIAv6kBqr6,movies,1618018798559,card_clicked,2,37,False
C9pIAv6kBqr6,movies,1618018800592,get_recommendation,2,37,True
C9pIAv6kBqr6,movies,1618018809748,save_selection,2,37,True
C9pIAv6kBqr6,movies,1618018822645,card_clicked,3,48,False
C9pIAv6kBqr6,movies,1618018825423,get_recommendation,3,48,True
C9pIAv6kBqr6,movies,1618018845854,save_selection,3,48,True
C9pIAv6kBqr6,movies,1618018850663,get_recommendation,4,-1,True
C9pIAv6kBqr6,movies,1618018855996,card_clicked,4,15,True
C9pIAv6kBqr6,movies,1618018857049,save_selection,4,15,True
C9pIAv6kBqr6,movies,1618018870056,get_recommendation,5,-1,True
C9pIAv6kBqr6,movies,1618018874218,card_clicked,5,47,True
C9pIAv6kBqr6,movies,1618018876280,save_selection,5,47,True
C9pIAv6kBqr6,movies,1618018878592,close_app,-1,-1,False
