participantId,appMode,interactionAt,interactionType,currentScenario,selectedId,recommendationShown
MjcBTpGzYCD9,practice,1618067370883,init_app,-1,-1,False
MjcBTpGzYCD9,practice,1618067466625,card_clicked,0,2,False
MjcBTpGzYCD9,practice,1618067467703,get_recommendation,0,2,True
MjcBTpGzYCD9,practice,1618067472305,save_selection,0,2,True
MjcBTpGzYCD9,practice,1618067477229,close_app,-1,-1,False
MjcBTpGzYCD9,hiring,1618067890139,init_app,-1,-1,False
MjcBTpGzYCD9,hiring,1618067908336,card_clicked,0,8,False
MjcBTpGzYCD9,hiring,1618067911672,get_recommendation,0,8,True
MjcBTpGzYCD9,hiring,1618067920242,save_selection,0,8,True
MjcBTpGzYCD9,hiring,1618067936663,card_clicked,1,4,False
MjcBTpGzYCD9,hiring,1618067939329,save_selection,1,4,False
MjcBTpGzYCD9,hiring,1618067949338,continue,1,-1,True
MjcBTpGzYCD9,hiring,1618067965958,card_clicked,2,9,False
MjcBTpGzYCD9,hiring,1618067966972,save_selection,2,9,False
MjcBTpGzYCD9,hiring,1618067970792,continue,2,-1,True
MjcBTpGzYCD9,hiring,1618067984471,card_clicked,3,18,False
MjcBTpGzYCD9,hiring,1618067985881,save_selection,3,18,False
MjcBTpGzYCD9,hiring,1618067992901,continue,3,-1,True
MjcBTpGzYCD9,hiring,1618068001714,card_clicked,4,36,False
MjcBTpGzYCD9,hiring,1618068003046,save_selection,4,36,False
MjcBTpGzYCD9,hiring,1618068009274,continue,4,-1,True
MjcBTpGzYCD9,hiring,1618068016772,card_clicked,5,45,False
MjcBTpGzYCD9,hiring,1618068017862,save_selection,5,45,False
MjcBTpGzYCD9,hiring,1618068027498,close_app,-1,-1,False
MjcBTpGzYCD9,movies,1618068032442,init_app,-1,-1,False
MjcBTpGzYCD9,movies,1618068047859,card_clicked,0,12,False
MjcBTpGzYCD9,movies,1618068048945,save_selection,0,12,False
MjcBTpGzYCD9,movies,1618068052028,continue,0,-1,True
MjcBTpGzYCD9,movies,1618068060069,card_clicked,1,7,False
MjcBTpGzYCD9,movies,1618068060903,save_selection,1,7,False
MjcBTpGzYCD9,movies,1618068063611,continue,1,-1,True
MjcBTpGzYCD9,movies,1618068079512,card_clicked,2,37,False
MjcBTpGzYCD9,movies,1618068080344,save_selection,2,37,False
MjcBTpGzYCD9,movies,1618068086044,continue,2,-1,True
MjcBTpGzYCD9,movies,1618068095411,card_clicked,3,20,False
MjcBTpGzYCD9,movies,1618068096133,save_selection,3,20,False
MjcBTpGzYCD9,movies,1618068098585,continue,3,-1,True
MjcBTpGzYCD9,movies,1618068120784,card_clicked,4,1,False
MjcBTpGzYCD9,movies,1618068121958,save_selection,4,1,False
MjcBTpGzYCD9,movies,1618068126450,continue,4,-1,True
MjcBTpGzYCD9,movies,1618068145219,card_clicked,5,47,False
MjcBTpGzYCD9,movies,1618068147060,save_selection,5,47,False
MjcBTpGzYCD9,movies,1618068152306,close_app,-1,-1,False
