participantId,appMode,interactionAt,interactionType,currentScenario,selectedId,recommendationShown
TlJaxdq1DM23,practice,1618000917815,init_app,-1,-1,False
TlJaxdq1DM23,practice,1618000983032,card_clicked,0,2,False
TlJaxdq1DM23,practice,1618000990505,save_selection,0,2,False
TlJaxdq1DM23,practice,1618000997491,close_app,-1,-1,False
TlJaxdq1DM23,hiring,1618001828375,init_app,-1,-1,False
TlJaxdq1DM23,hiring,1618001850492,card_clicked,0,8,False
TlJaxdq1DM23,hiring,1618001852148,save_selection,0,8,False
TlJaxdq1DM23,hiring,1618001856404,continue,0,-1,True
TlJaxdq1DM23,hiring,1618001866252,card_clicked,1,4,False
TlJaxdq1DM23,hiring,1618001867228,save_selection,1,4,False
TlJaxdq1DM23,hiring,1618001876548,continue,1,-1,True
TlJaxdq1DM23,hiring,1618001888254,get_recommendation,2,-1,True
TlJaxdq1DM23,hiring,1618001897356,card_clicked,2,12,True
TlJaxdq1DM23,hiring,1618001898108,save_selection,2,12,True
TlJaxdq1DM23,hiring,1618001904740,card_clicked,3,18,False
TlJaxdq1DM23,hiring,1618001905880,save_selection,3,18,False
TlJaxdq1DM23,hiring,1618001912632,continue,3,-1,True
TlJaxdq1DM23,hiring,1618001925768,card_clicked,4,35,False
TlJaxdq1DM23,hiring,1618001927416,save_selection,4,35,False
TlJaxdq1DM23,hiring,1618001930928,continue,4,-1,True
TlJaxdq1DM23,hiring,1618001942820,card_clicked,5,45,False
TlJaxdq1DM23,hiring,1618001943716,save_selection,5,45,False
TlJaxdq1DM23,hiring,1618001948924,close_app,-1,-1,False
TlJaxdq1DM23,movies,1618001961628,init_app,-1,-1,False
TlJaxdq1DM23,movies,1618001991736,card_clicked,0,2,False
TlJaxdq1DM23,movies,1618001992732,save_selection,0,2,False
TlJaxdq1DM23,movies,1618001995113,continue,0,-1,True
TlJaxdq1DM23,movies,1618002003360,card_clicked,1,6,False
TlJaxdq1DM23,movies,1618002004321,save_selection,1,6,False
TlJaxdq1DM23,movies,1618002006956,continue,1,-1,True
TlJaxdq1DM23,movies,1618002013376,card_clicked,2,37,False
TlJaxdq1DM23,movies,1618002014689,save_selection,2,37,False
TlJaxdq1DM23,movies,1618002021276,continue,2,-1,True
TlJaxdq1DM23,movies,1618002032364,card_clicked,3,48,False
TlJaxdq1DM23,movies,1618002033520,save_selection,3,48,False
TlJaxdq1DM23,movies,1618002037989,continue,3,-1,True
TlJaxdq1DM23,movies,1618002041860,card_clicked,4,10,False
TlJaxdq1DM23,movies,1618002042900,save_selection,4,10,False
TlJaxdq1DM23,movies,1618002048092,continue,4,-1,True
TlJaxdq1DM23,movies,1618002057088,card_clicked,5,40,False
TlJaxdq1DM23,movies,1618002057956,save_selection,5,40,False
TlJaxdq1DM23,movies,1618002063252,close_app,-1,-1,False
