participantId,appMode,interactionAt,interactionType,currentScenario,selectedId,recommendationShown
QEpQRLrqn7CX,practice,1617910734424,init_app,-1,-1,False
QEpQRLrqn7CX,practice,1617910817523,card_clicked,0,2,False
QEpQRLrqn7CX,practice,1617910821183,save_selection,0,2,False
QEpQRLrqn7CX,practice,1617910829003,close_app,-1,-1,False
QEpQRLrqn7CX,movies,1617911102470,init_app,-1,-1,False
QEpQRLrqn7CX,movies,1617911259375,card_clicked,0,12,False
QEpQRLrqn7CX,movies,1617911261162,save_selection,0,12,False
QEpQRLrqn7CX,movies,1617911267496,continue,0,-1,True
QEpQRLrqn7CX,movies,1617911322363,card_clicked,1,7,False
QEpQRLrqn7CX,movies,1617911323324,save_selection,1,7,False
QEpQRLrqn7CX,movies,1617911328000,continue,1,-1,True
QEpQRLrqn7CX,movies,1617911345615,card_clicked,2,37,False
QEpQRLrqn7CX,movies,1617911346514,save_selection,2,37,False
QEpQRLrqn7CX,movies,1617911358096,continue,2,-1,True
QEpQRLrqn7CX,movies,1617911383081,card_clicked,3,48,False
QEpQRLrqn7CX,movies,1617911384103,save_selection,3,48,False
QEpQRLrqn7CX,movies,1617911389472,continue,3,-1,True
QEpQRLrqn7CX,movies,1617911400899,card_clicked,4,1,False
QEpQRLrqn7CX,movies,1617911403005,save_selection,4,1,False
QEpQRLrqn7CX,movies,1617911412042,continue,4,-1,True
QEpQRLrqn7CX,movies,1617911427665,card_clicked,5,40,False
QEpQRLrqn7CX,movies,1617911428558,save_selection,5,40,False
QEpQRLrqn7CX,movies,1617911434355,close_app,-1,-1,False
QEpQRLrqn7CX,hiring,1617911446065,init_app,-1,-1,False
QEpQRLrqn7CX,hiring,1617911488595,card_clicked,0,8,False
QEpQRLrqn7CX,hiring,1617911490607,save_selection,0,8,False
QEpQRLrqn7CX,hiring,1617911493379,continue,0,-1,True
QEpQRLrqn7CX,hiring,1617911507740,card_clicked,1,4,False
QEpQRLrqn7CX,hiring,1617911509960,save_selection,1,4,False
QEpQRLrqn7CX,hiring,1617911518452,continue,1,-1,True
QEpQRLrqn7CX,hiring,1617911537178,card_clicked,2,12,False
QEpQRLrqn7CX,hiring,1617911538850,save_selection,2,12,False
QEpQRLrqn7CX,hiring,1617911543431,continue,2,-1,True
QEpQRLrqn7CX,hiring,1617911557915,card_clicked,3,18,False
QEpQRLrqn7CX,hiring,1617911559550,save_selection,3,18,False
QEpQRLrqn7CX,hiring,1617911570347,continue,3,-1,True
QEpQRLrqn7CX,hiring,1617911583416,card_clicked,4,48,False
QEpQRLrqn7CX,hiring,1617911584322,save_selection,4,48,False
QEpQRLrqn7CX,hiring,1617911587765,continue,4,-1,True
QEpQRLrqn7CX,hiring,1617911600115,card_clicked,5,37,False
QEpQRLrqn7CX,hiring,1617911606757,save_selection,5,37,False
QEpQRLrqn7CX,hiring,1617911614824,close_app,-1,-1,False
