task,appMode,selectedId,botChoice,recommendationShown,savedAt
0,practice,2,2,False,1617898721459
0,movies,12,12,True,1617899816510
1,movies,26,6,False,1617899824756
2,movies,37,45,False,1617899847933
3,movies,48,20,True,1617899870150
4,movies,10,15,True,1617899887397
5,movies,40,47,False,1617899897253
0,hiring,8,8,False,1617899935511
1,hiring,5,1,False,1617899951237
2,hiring,9,9,True,1617899965944
3,hiring,25,13,True,1617899981999
4,hiring,35,48,False,1617899994322
5,hiring,45,45,True,1617900005007
