participantId,appMode,interactionAt,interactionType,currentScenario,selectedId,recommendationShown
mYSzFPXnkOdd,practice,1617901389049,init_app,-1,-1,False
mYSzFPXnkOdd,practice,1617901423685,card_clicked,0,1,False
mYSzFPXnkOdd,practice,1617901424916,card_clicked,0,2,False
mYSzFPXnkOdd,practice,1617901429590,save_selection,0,2,False
mYSzFPXnkOdd,practice,1617901442228,close_app,-1,-1,False
mYSzFPXnkOdd,hiring,1617901553456,init_app,-1,-1,False
mYSzFPXnkOdd,hiring,1617901574942,card_clicked,0,28,False
mYSzFPXnkOdd,hiring,1617901578524,save_selection,0,28,False
mYSzFPXnkOdd,hiring,1617901583178,continue,0,-1,True
mYSzFPXnkOdd,hiring,1617901595595,card_clicked,1,4,False
mYSzFPXnkOdd,hiring,1617901597278,save_selection,1,4,False
mYSzFPXnkOdd,hiring,1617901603748,continue,1,-1,True
mYSzFPXnkOdd,hiring,1617901615051,card_clicked,2,12,False
mYSzFPXnkOdd,hiring,1617901616159,save_selection,2,12,False
mYSzFPXnkOdd,hiring,1617901619717,continue,2,-1,True
mYSzFPXnkOdd,hiring,1617901627874,card_clicked,3,18,False
mYSzFPXnkOdd,hiring,1617901629320,save_selection,3,18,False
mYSzFPXnkOdd,hiring,1617901632837,continue,3,-1,True
mYSzFPXnkOdd,hiring,1617901639343,card_clicked,4,48,False
mYSzFPXnkOdd,hiring,1617901640335,save_selection,4,48,False
mYSzFPXnkOdd,hiring,1617901643294,continue,4,-1,True
mYSzFPXnkOdd,hiring,1617901649399,card_clicked,5,37,False
mYSzFPXnkOdd,hiring,1617901653722,save_selection,5,37,False
mYSzFPXnkOdd,hiring,1617901659157,close_app,-1,-1,False
mYSzFPXnkOdd,movies,1617901663948,init_app,-1,-1,False
mYSzFPXnkOdd,movies,1617901667303,card_clicked,0,2,False
mYSzFPXnkOdd,movies,1617901668742,save_selection,0,2,False
mYSzFPXnkOdd,movies,1617901674623,continue,0,-1,True
mYSzFPXnkOdd,movies,1617901677106,card_clicked,1,6,False
mYSzFPXnkOdd,movies,1617901678603,save_selection,1,6,False
mYSzFPXnkOdd,movies,1617901681520,continue,1,-1,True
mYSzFPXnkOdd,movies,1617901684818,card_clicked,2,45,False
mYSzFPXnkOdd,movies,1617901686496,save_selection,2,45,False
mYSzFPXnkOdd,movies,1617901689159,continue,2,-1,True
mYSzFPXnkOdd,movies,1617901692036,card_clicked,3,48,False
mYSzFPXnkOdd,movies,1617901693365,save_selection,3,48,False
mYSzFPXnkOdd,movies,1617901697752,continue,3,-1,True
mYSzFPXnkOdd,movies,1617901700985,card_clicked,4,10,False
mYSzFPXnkOdd,movies,1617901702400,save_selection,4,10,False
mYSzFPXnkOdd,movies,1617901705687,continue,4,-1,True
mYSzFPXnkOdd,movies,1617901707963,card_clicked,5,40,False
mYSzFPXnkOdd,movies,1617901710066,save_selection,5,40,False
mYSzFPXnkOdd,movies,1617901714529,close_app,-1,-1,False
