participantId,appMode,interactionAt,interactionType,currentScenario,selectedId,recommendationShown
0jjk2LtlRwXu,practice,1618276922532,init_app,-1,-1,False
0jjk2LtlRwXu,practice,1618276963871,card_clicked,0,2,False
0jjk2LtlRwXu,practice,1618276974053,save_selection,0,2,False
0jjk2LtlRwXu,practice,1618276992920,close_app,-1,-1,False
0jjk2LtlRwXu,movies,1618277182947,init_app,-1,-1,False
0jjk2LtlRwXu,movies,1618277211997,card_clicked,0,12,False
0jjk2LtlRwXu,movies,1618277214794,save_selection,0,12,False
0jjk2LtlRwXu,movies,1618277224074,continue,0,-1,True
0jjk2LtlRwXu,movies,1618277244326,card_clicked,1,7,False
0jjk2LtlRwXu,movies,1618277245744,save_selection,1,7,False
0jjk2LtlRwXu,movies,1618277255078,continue,1,-1,True
0jjk2LtlRwXu,movies,1618277261339,card_clicked,2,37,False
0jjk2LtlRwXu,movies,1618277263191,save_selection,2,37,False
0jjk2LtlRwXu,movies,1618277270841,continue,2,-1,True
0jjk2LtlRwXu,movies,1618277283279,card_clicked,3,48,False
0jjk2LtlRwXu,movies,1618277284854,save_selection,3,48,False
0jjk2LtlRwXu,movies,1618277290659,continue,3,-1,True
0jjk2LtlRwXu,movies,1618277303560,card_clicked,4,10,False
0jjk2LtlRwXu,movies,1618277305381,save_selection,4,10,False
0jjk2LtlRwXu,movies,1618277308711,continue,4,-1,True
0jjk2LtlRwXu,movies,1618277315230,card_clicked,5,47,False
0jjk2LtlRwXu,movies,1618277317013,save_selection,5,47,False
0jjk2LtlRwXu,movies,1618277322569,close_app,-1,-1,False
0jjk2LtlRwXu,hiring,1618277331678,init_app,-1,-1,False
0jjk2LtlRwXu,hiring,1618277340704,card_clicked,0,8,False
0jjk2LtlRwXu,hiring,1618277342664,save_selection,0,8,False
0jjk2LtlRwXu,hiring,1618277345439,continue,0,-1,True
0jjk2LtlRwXu,hiring,1618277359719,card_clicked,1,5,False
0jjk2LtlRwXu,hiring,1618277361590,save_selection,1,5,False
0jjk2LtlRwXu,hiring,1618277364575,continue,1,-1,True
0jjk2LtlRwXu,hiring,1618277374881,card_clicked,2,12,False
0jjk2LtlRwXu,hiring,1618277376447,save_selection,2,12,False
0jjk2LtlRwXu,hiring,1618277380010,continue,2,-1,True
0jjk2LtlRwXu,hiring,1618277387236,card_clicked,3,18,False
0jjk2LtlRwXu,hiring,1618277388733,save_selection,3,18,False
0jjk2LtlRwXu,hiring,1618277395444,continue,3,-1,True
0jjk2LtlRwXu,hiring,1618277406152,card_clicked,4,32,False
0jjk2LtlRwXu,hiring,1618277407896,save_selection,4,32,False
0jjk2LtlRwXu,hiring,1618277412086,continue,4,-1,True
0jjk2LtlRwXu,hiring,1618277434995,card_clicked,5,42,False
0jjk2LtlRwXu,hiring,1618277436118,save_selection,5,42,False
0jjk2LtlRwXu,hiring,1618277441386,close_app,-1,-1,False
