participantId,appMode,interactionAt,interactionType,currentScenario,selectedId,recommendationShown
BDIPCGcOdllu,practice,1617898310217,init_app,-1,-1,False
BDIPCGcOdllu,practice,1617898478180,card_clicked,0,3,False
BDIPCGcOdllu,practice,1617898482508,get_recommendation,0,3,True
BDIPCGcOdllu,practice,1617898487163,card_clicked,0,3,True
BDIPCGcOdllu,practice,1617898490218,save_selection,0,3,True
BDIPCGcOdllu,practice,1617898503514,close_app,-1,-1,False
BDIPCGcOdllu,hiring,1617899035018,init_app,-1,-1,False
BDIPCGcOdllu,hiring,1617899078852,card_clicked,0,8,False
BDIPCGcOdllu,hiring,1617899079740,get_recommendation,0,8,True
BDIPCGcOdllu,hiring,1617899082706,save_selection,0,8,True
BDIPCGcOdllu,hiring,1617899140674,card_clicked,1,1,False
BDIPCGcOdllu,hiring,1617899141730,get_recommendation,1,1,True
BDIPCGcOdllu,hiring,1617899144267,save_selection,1,1,True
BDIPCGcOdllu,hiring,1617899174898,card_clicked,2,12,False
BDIPCGcOdllu,hiring,1617899176331,save_selection,2,12,False
BDIPCGcOdllu,hiring,1617899180035,continue,2,-1,True
BDIPCGcOdllu,hiring,1617899196105,card_clicked,3,18,False
BDIPCGcOdllu,hiring,1617899197770,save_selection,3,18,False
BDIPCGcOdllu,hiring,1617899207235,continue,3,-1,True
BDIPCGcOdllu,hiring,1617899218349,card_clicked,4,48,False
BDIPCGcOdllu,hiring,1617899221234,save_selection,4,48,False
BDIPCGcOdllu,hiring,1617899225290,continue,4,-1,True
BDIPCGcOdllu,hiring,1617899245891,card_clicked,5,45,False
BDIPCGcOdllu,hiring,1617899247450,save_selection,5,45,False
BDIPCGcOdllu,hiring,1617899253043,close_app,-1,-1,False
BDIPCGcOdllu,movies,1617899257093,init_app,-1,-1,False
BDIPCGcOdllu,movies,1617899283915,card_clicked,0,12,False
BDIPCGcOdllu,movies,1617899285450,save_selection,0,12,False
BDIPCGcOdllu,movies,1617899288187,continue,0,-1,True
BDIPCGcOdllu,movies,1617899328458,get_recommendation,1,-1,True
BDIPCGcOdllu,movies,1617899340251,card_clicked,1,6,True
BDIPCGcOdllu,movies,1617899341435,save_selection,1,6,True
BDIPCGcOdllu,movies,1617899348579,card_clicked,2,37,False
BDIPCGcOdllu,movies,1617899350770,save_selection,2,37,False
BDIPCGcOdllu,movies,1617899356690,continue,2,-1,True
BDIPCGcOdllu,movies,1617899378978,card_clicked,3,48,False
BDIPCGcOdllu,movies,1617899380586,save_selection,3,48,False
BDIPCGcOdllu,movies,1617899386610,continue,3,-1,True
BDIPCGcOdllu,movies,1617899406603,card_clicked,4,10,False
BDIPCGcOdllu,movies,1617899407460,save_selection,4,10,False
BDIPCGcOdllu,movies,1617899413651,continue,4,-1,True
BDIPCGcOdllu,movies,1617899423827,card_clicked,5,3,False
BDIPCGcOdllu,movies,1617899426146,save_selection,5,3,False
BDIPCGcOdllu,movies,1617899435210,close_app,-1,-1,False
