participantId,appMode,interactionAt,interactionType,currentScenario,selectedId,recommendationShown
YqgrTs5hzcsj,practice,1618002906674,init_app,-1,-1,False
YqgrTs5hzcsj,practice,1618002998321,card_clicked,0,2,False
YqgrTs5hzcsj,practice,1618002999819,save_selection,0,2,False
YqgrTs5hzcsj,practice,1618003013916,close_app,-1,-1,False
YqgrTs5hzcsj,movies,1618003595767,init_app,-1,-1,False
YqgrTs5hzcsj,movies,1618003634322,card_clicked,0,12,False
YqgrTs5hzcsj,movies,1618003635847,save_selection,0,12,False
YqgrTs5hzcsj,movies,1618003643393,continue,0,-1,True
YqgrTs5hzcsj,movies,1618003671924,get_recommendation,1,-1,True
YqgrTs5hzcsj,movies,1618003681921,card_clicked,1,6,True
YqgrTs5hzcsj,movies,1618003691954,card_clicked,1,26,True
YqgrTs5hzcsj,movies,1618003697222,card_clicked,1,6,True
YqgrTs5hzcsj,movies,1618003701398,save_selection,1,6,True
YqgrTs5hzcsj,movies,1618003714612,card_clicked,2,37,False
YqgrTs5hzcsj,movies,1618003715754,save_selection,2,37,False
YqgrTs5hzcsj,movies,1618003724190,continue,2,-1,True
YqgrTs5hzcsj,movies,1618003752584,card_clicked,3,48,False
YqgrTs5hzcsj,movies,1618003754392,save_selection,3,48,False
YqgrTs5hzcsj,movies,1618003760963,continue,3,-1,True
YqgrTs5hzcsj,movies,1618003779149,card_clicked,4,15,False
YqgrTs5hzcsj,movies,1618003780371,save_selection,4,15,False
YqgrTs5hzcsj,movies,1618003786303,continue,4,-1,True
YqgrTs5hzcsj,movies,1618003812683,card_clicked,5,47,False
YqgrTs5hzcsj,movies,1618003814768,save_selection,5,47,False
YqgrTs5hzcsj,movies,1618003820077,close_app,-1,-1,False
YqgrTs5hzcsj,hiring,1618003830892,init_app,-1,-1,False
YqgrTs5hzcsj,hiring,1618003847934,card_clicked,0,8,False
YqgrTs5hzcsj,hiring,1618003850367,save_selection,0,8,False
YqgrTs5hzcsj,hiring,1618003853306,continue,0,-1,True
YqgrTs5hzcsj,hiring,1618003884656,card_clicked,1,1,False
YqgrTs5hzcsj,hiring,1618003885885,save_selection,1,1,False
YqgrTs5hzcsj,hiring,1618003888350,continue,1,-1,True
YqgrTs5hzcsj,hiring,1618003903222,card_clicked,2,12,False
YqgrTs5hzcsj,hiring,1618003905655,save_selection,2,12,False
YqgrTs5hzcsj,hiring,1618003915641,continue,2,-1,True
YqgrTs5hzcsj,hiring,1618003930188,card_clicked,3,25,False
YqgrTs5hzcsj,hiring,1618003931237,save_selection,3,25,False
YqgrTs5hzcsj,hiring,1618003935711,continue,3,-1,True
YqgrTs5hzcsj,hiring,1618003937348,get_recommendation,4,-1,True
YqgrTs5hzcsj,hiring,1618003952620,card_clicked,4,48,True
YqgrTs5hzcsj,hiring,1618003956050,save_selection,4,48,True
YqgrTs5hzcsj,hiring,1618003970047,card_clicked,5,45,False
YqgrTs5hzcsj,hiring,1618003971011,save_selection,5,45,False
YqgrTs5hzcsj,hiring,1618003975467,close_app,-1,-1,False
