participantId,appMode,interactionAt,interactionType,currentScenario,selectedId,recommendationShown
fimUvwh9JPRU,practice,1618269758121,init_app,-1,-1,False
fimUvwh9JPRU,practice,1618269819829,card_clicked,0,3,False
fimUvwh9JPRU,practice,1618269821733,get_recommendation,0,3,True
fimUvwh9JPRU,practice,1618269836056,card_clicked,0,3,True
fimUvwh9JPRU,practice,1618269837212,save_selection,0,3,True
fimUvwh9JPRU,practice,1618269845076,close_app,-1,-1,False
fimUvwh9JPRU,movies,1618270034434,init_app,-1,-1,False
fimUvwh9JPRU,movies,1618270064300,card_clicked,0,12,False
fimUvwh9JPRU,movies,1618270065713,get_recommendation,0,12,True
fimUvwh9JPRU,movies,1618270070229,save_selection,0,12,True
fimUvwh9JPRU,movies,1618270082577,card_clicked,1,7,False
fimUvwh9JPRU,movies,1618270085304,get_recommendation,1,7,True
fimUvwh9JPRU,movies,1618270089753,save_selection,1,7,True
fimUvwh9JPRU,movies,1618270104696,card_clicked,2,37,False
fimUvwh9JPRU,movies,1618270106143,get_recommendation,2,37,True
fimUvwh9JPRU,movies,1618270114599,save_selection,2,37,True
fimUvwh9JPRU,movies,1618270121097,card_clicked,3,20,False
fimUvwh9JPRU,movies,1618270124716,get_recommendation,3,20,True
fimUvwh9JPRU,movies,1618270129769,save_selection,3,20,True
fimUvwh9JPRU,movies,1618270135158,card_clicked,4,15,False
fimUvwh9JPRU,movies,1618270137243,get_recommendation,4,15,True
fimUvwh9JPRU,movies,1618270139991,save_selection,4,15,True
fimUvwh9JPRU,movies,1618270154682,card_clicked,5,42,False
fimUvwh9JPRU,movies,1618270155885,get_recommendation,5,42,True
fimUvwh9JPRU,movies,1618270158637,card_clicked,5,47,True
fimUvwh9JPRU,movies,1618270160567,save_selection,5,47,True
fimUvwh9JPRU,movies,1618270162947,close_app,-1,-1,False
fimUvwh9JPRU,hiring,1618270173674,init_app,-1,-1,False
fimUvwh9JPRU,hiring,1618270250553,card_clicked,0,28,False
fimUvwh9JPRU,hiring,1618270252242,get_recommendation,0,28,True
fimUvwh9JPRU,hiring,1618270261130,save_selection,0,28,True
fimUvwh9JPRU,hiring,1618270266410,card_clicked,1,4,False
fimUvwh9JPRU,hiring,1618270272878,save_selection,1,4,False
fimUvwh9JPRU,hiring,1618270292371,continue,1,-1,True
fimUvwh9JPRU,hiring,1618270306190,card_clicked,2,12,False
fimUvwh9JPRU,hiring,1618270310999,save_selection,2,12,False
fimUvwh9JPRU,hiring,1618270322529,continue,2,-1,True
fimUvwh9JPRU,hiring,1618270339158,card_clicked,3,13,False
fimUvwh9JPRU,hiring,1618270341043,save_selection,3,13,False
fimUvwh9JPRU,hiring,1618270345192,continue,3,-1,True
fimUvwh9JPRU,hiring,1618270357325,card_clicked,4,35,False
fimUvwh9JPRU,hiring,1618270359648,save_selection,4,35,False
fimUvwh9JPRU,hiring,1618270367145,continue,4,-1,True
fimUvwh9JPRU,hiring,1618270385275,card_clicked,5,45,False
fimUvwh9JPRU,hiring,1618270386985,save_selection,5,45,False
fimUvwh9JPRU,hiring,1618270395579,close_app,-1,-1,False
