participantId,appMode,interactionAt,interactionType,currentScenario,selectedId,recommendationShown
jHPt9jOOmoXM,practice,1618035285271,init_app,-1,-1,False
jHPt9jOOmoXM,practice,1618035290735,card_clicked,0,2,False
jHPt9jOOmoXM,practice,1618035294763,save_selection,0,2,False
jHPt9jOOmoXM,practice,1618035308519,close_app,-1,-1,False
jHPt9jOOmoXM,movies,1618035802800,init_app,-1,-1,False
jHPt9jOOmoXM,movies,1618035843299,card_clicked,0,30,False
jHPt9jOOmoXM,movies,1618035846130,save_selection,0,30,False
jHPt9jOOmoXM,movies,1618035853642,continue,0,-1,True
jHPt9jOOmoXM,movies,1618035877565,card_clicked,1,13,False
jHPt9jOOmoXM,movies,1618035880722,save_selection,1,13,False
jHPt9jOOmoXM,movies,1618035892803,continue,1,-1,True
jHPt9jOOmoXM,movies,1618035920094,card_clicked,2,45,False
jHPt9jOOmoXM,movies,1618035923390,save_selection,2,45,False
jHPt9jOOmoXM,movies,1618035929328,continue,2,-1,True
jHPt9jOOmoXM,movies,1618035943847,card_clicked,3,48,False
jHPt9jOOmoXM,movies,1618035945754,save_selection,3,48,False
jHPt9jOOmoXM,movies,1618035954712,continue,3,-1,True
jHPt9jOOmoXM,movies,1618035973111,card_clicked,4,15,False
jHPt9jOOmoXM,movies,1618035976056,save_selection,4,15,False
jHPt9jOOmoXM,movies,1618035979650,continue,4,-1,True
jHPt9jOOmoXM,movies,1618036037307,card_clicked,5,42,False
jHPt9jOOmoXM,movies,1618036039577,save_selection,5,42,False
jHPt9jOOmoXM,movies,1618036048979,close_app,-1,-1,False
jHPt9jOOmoXM,hiring,1618036087477,init_app,-1,-1,False
jHPt9jOOmoXM,hiring,1618036116215,card_clicked,0,8,False
jHPt9jOOmoXM,hiring,1618036117947,save_selection,0,8,False
jHPt9jOOmoXM,hiring,1618036122525,continue,0,-1,True
jHPt9jOOmoXM,hiring,1618036149603,card_clicked,1,4,False
jHPt9jOOmoXM,hiring,1618036151170,save_selection,1,4,False
jHPt9jOOmoXM,hiring,1618036162488,continue,1,-1,True
jHPt9jOOmoXM,hiring,1618036180656,card_clicked,2,9,False
jHPt9jOOmoXM,hiring,1618036182704,save_selection,2,9,False
jHPt9jOOmoXM,hiring,1618036185776,continue,2,-1,True
jHPt9jOOmoXM,hiring,1618036218589,card_clicked,3,18,False
jHPt9jOOmoXM,hiring,1618036220013,save_selection,3,18,False
jHPt9jOOmoXM,hiring,1618036223847,continue,3,-1,True
jHPt9jOOmoXM,hiring,1618036249857,card_clicked,4,32,False
jHPt9jOOmoXM,hiring,1618036251243,save_selection,4,32,False
jHPt9jOOmoXM,hiring,1618036262637,continue,4,-1,True
jHPt9jOOmoXM,hiring,1618036304705,card_clicked,5,45,False
jHPt9jOOmoXM,hiring,1618036305763,save_selection,5,45,False
jHPt9jOOmoXM,hiring,1618036310414,close_app,-1,-1,False
