participantId,appMode,interactionAt,interactionType,currentScenario,selectedId,recommendationShown
nyEXxPkdgP81,practice,1617986926217,init_app,-1,-1,False
nyEXxPkdgP81,practice,1617987024197,card_clicked,0,3,False
nyEXxPkdgP81,practice,1617987027595,save_selection,0,3,False
nyEXxPkdgP81,practice,1617987050148,close_app,-1,-1,False
nyEXxPkdgP81,movies,1617987681433,init_app,-1,-1,False
nyEXxPkdgP81,movies,1617987705452,get_recommendation,0,-1,True
nyEXxPkdgP81,movies,1617987710435,card_clicked,0,12,True
nyEXxPkdgP81,movies,1617987722931,save_selection,0,12,True
nyEXxPkdgP81,movies,1617987736307,card_clicked,1,7,False
nyEXxPkdgP81,movies,1617987737922,save_selection,1,7,False
nyEXxPkdgP81,movies,1617987749307,continue,1,-1,True
nyEXxPkdgP81,movies,1617987760427,card_clicked,2,37,False
nyEXxPkdgP81,movies,1617987761875,save_selection,2,37,False
nyEXxPkdgP81,movies,1617987772043,continue,2,-1,True
nyEXxPkdgP81,movies,1617987787315,card_clicked,3,48,False
nyEXxPkdgP81,movies,1617987788667,get_recommendation,3,48,True
nyEXxPkdgP81,movies,1617987795075,save_selection,3,48,True
nyEXxPkdgP81,movies,1617987796803,get_recommendation,4,-1,True
nyEXxPkdgP81,movies,1617987807811,card_clicked,4,15,True
nyEXxPkdgP81,movies,1617987809563,save_selection,4,15,True
nyEXxPkdgP81,movies,1617987819819,card_clicked,5,40,False
nyEXxPkdgP81,movies,1617987820867,save_selection,5,40,False
nyEXxPkdgP81,movies,1617987829979,close_app,-1,-1,False
nyEXxPkdgP81,hiring,1617987837189,init_app,-1,-1,False
nyEXxPkdgP81,hiring,1617987852914,card_clicked,0,8,False
nyEXxPkdgP81,hiring,1617987854139,save_selection,0,8,False
nyEXxPkdgP81,hiring,1617987858443,continue,0,-1,True
nyEXxPkdgP81,hiring,1617987885682,get_recommendation,1,-1,True
nyEXxPkdgP81,hiring,1617987889050,card_clicked,1,4,True
nyEXxPkdgP81,hiring,1617987893779,card_clicked,1,1,True
nyEXxPkdgP81,hiring,1617987894963,save_selection,1,1,True
nyEXxPkdgP81,hiring,1617987908354,card_clicked,2,12,False
nyEXxPkdgP81,hiring,1617987909258,save_selection,2,12,False
nyEXxPkdgP81,hiring,1617987914811,continue,2,-1,True
nyEXxPkdgP81,hiring,1617987925587,card_clicked,3,18,False
nyEXxPkdgP81,hiring,1617987927211,save_selection,3,18,False
nyEXxPkdgP81,hiring,1617987932387,continue,3,-1,True
nyEXxPkdgP81,hiring,1617987933907,get_recommendation,4,-1,True
nyEXxPkdgP81,hiring,1617987936435,card_clicked,4,48,True
nyEXxPkdgP81,hiring,1617987958259,save_selection,4,48,True
nyEXxPkdgP81,hiring,1617987976115,card_clicked,5,45,False
nyEXxPkdgP81,hiring,1617987977211,save_selection,5,45,False
nyEXxPkdgP81,hiring,1617987987035,close_app,-1,-1,False
