task,appMode,selectedId,botChoice,recommendationShown,savedAt
0,practice,3,2,False,1617987027595
0,movies,12,12,True,1617987722931
1,movies,7,6,False,1617987737922
2,movies,37,45,False,1617987761875
3,movies,48,20,True,1617987795075
4,movies,15,15,True,1617987809563
5,movies,40,47,False,1617987820867
0,hiring,8,8,False,1617987854139
1,hiring,1,1,True,1617987894963
2,hiring,12,9,False,1617987909258
3,hiring,18,13,False,1617987927211
4,hiring,48,48,True,1617987958259
5,hiring,45,45,False,1617987977211
