participantId,appMode,interactionAt,interactionType,currentScenario,selectedId,recommendationShown
F0xDdtLRrhtQ,practice,1617900650017,init_app,-1,-1,False
F0xDdtLRrhtQ,practice,1617900730570,card_clicked,0,2,False
F0xDdtLRrhtQ,practice,1617900731942,save_selection,0,2,False
F0xDdtLRrhtQ,practice,1617900742642,close_app,-1,-1,False
F0xDdtLRrhtQ,movies,1617901519216,init_app,-1,-1,False
F0xDdtLRrhtQ,movies,1617901549751,card_clicked,0,12,False
F0xDdtLRrhtQ,movies,1617901554487,save_selection,0,12,False
F0xDdtLRrhtQ,movies,1617901557663,continue,0,-1,True
F0xDdtLRrhtQ,movies,1617901590395,card_clicked,1,7,False
F0xDdtLRrhtQ,movies,1617901592073,save_selection,1,7,False
F0xDdtLRrhtQ,movies,1617901596610,continue,1,-1,True
F0xDdtLRrhtQ,movies,1617901615017,card_clicked,2,37,False
F0xDdtLRrhtQ,movies,1617901616394,save_selection,2,37,False
F0xDdtLRrhtQ,movies,1617901619688,continue,2,-1,True
F0xDdtLRrhtQ,movies,1617901622781,get_recommendation,3,-1,True
F0xDdtLRrhtQ,movies,1617901663028,card_clicked,3,20,True
F0xDdtLRrhtQ,movies,1617901664417,save_selection,3,20,True
F0xDdtLRrhtQ,movies,1617901676852,card_clicked,4,1,False
F0xDdtLRrhtQ,movies,1617901685170,save_selection,4,1,False
F0xDdtLRrhtQ,movies,1617901689507,continue,4,-1,True
F0xDdtLRrhtQ,movies,1617901749216,card_clicked,5,3,False
F0xDdtLRrhtQ,movies,1617901750537,get_recommendation,5,3,True
F0xDdtLRrhtQ,movies,1617901754193,card_clicked,5,47,True
F0xDdtLRrhtQ,movies,1617901755720,save_selection,5,47,True
F0xDdtLRrhtQ,movies,1617901758017,close_app,-1,-1,False
F0xDdtLRrhtQ,hiring,1617901787966,init_app,-1,-1,False
F0xDdtLRrhtQ,hiring,1617901804708,card_clicked,0,8,False
F0xDdtLRrhtQ,hiring,1617901806180,save_selection,0,8,False
F0xDdtLRrhtQ,hiring,1617901809488,continue,0,-1,True
F0xDdtLRrhtQ,hiring,1617901829220,card_clicked,1,4,False
F0xDdtLRrhtQ,hiring,1617901832439,save_selection,1,4,False
F0xDdtLRrhtQ,hiring,1617901835804,continue,1,-1,True
F0xDdtLRrhtQ,hiring,1617901843553,card_clicked,2,9,False
F0xDdtLRrhtQ,hiring,1617901846922,card_clicked,2,12,False
F0xDdtLRrhtQ,hiring,1617901851722,save_selection,2,12,False
F0xDdtLRrhtQ,hiring,1617901854774,continue,2,-1,True
F0xDdtLRrhtQ,hiring,1617901857194,get_recommendation,3,-1,True
F0xDdtLRrhtQ,hiring,1617901874627,card_clicked,3,13,True
F0xDdtLRrhtQ,hiring,1617901877376,save_selection,3,13,True
F0xDdtLRrhtQ,hiring,1617901900025,card_clicked,4,32,False
F0xDdtLRrhtQ,hiring,1617901901076,card_clicked,4,32,False
F0xDdtLRrhtQ,hiring,1617901913372,save_selection,4,32,False
F0xDdtLRrhtQ,hiring,1617901916692,continue,4,-1,True
F0xDdtLRrhtQ,hiring,1617901956162,get_recommendation,5,-1,True
F0xDdtLRrhtQ,hiring,1617901958809,card_clicked,5,45,True
F0xDdtLRrhtQ,hiring,1617901959889,save_selection,5,45,True
F0xDdtLRrhtQ,hiring,1617901962131,close_app,-1,-1,False
