participantId,appMode,interactionAt,interactionType,currentScenario,selectedId,recommendationShown
YvLb2lkRiYyh,practice,1617921809467,init_app,-1,-1,False
YvLb2lkRiYyh,practice,1617921888347,get_recommendation,0,-1,True
YvLb2lkRiYyh,practice,1617921906435,card_clicked,0,2,True
YvLb2lkRiYyh,practice,1617921908519,save_selection,0,2,True
YvLb2lkRiYyh,practice,1617921917623,close_app,-1,-1,False
YvLb2lkRiYyh,movies,1617922333286,init_app,-1,-1,False
YvLb2lkRiYyh,movies,1617922384690,get_recommendation,0,-1,True
YvLb2lkRiYyh,movies,1617922401641,card_clicked,0,12,True
YvLb2lkRiYyh,movies,1617922405680,save_selection,0,12,True
YvLb2lkRiYyh,movies,1617922419676,card_clicked,1,7,False
YvLb2lkRiYyh,movies,1617922423256,save_selection,1,7,False
YvLb2lkRiYyh,movies,1617922431506,continue,1,-1,True
YvLb2lkRiYyh,movies,1617922457892,card_clicked,2,37,False
YvLb2lkRiYyh,movies,1617922461403,save_selection,2,37,False
YvLb2lkRiYyh,movies,1617922469302,continue,2,-1,True
YvLb2lkRiYyh,movies,1617922485610,card_clicked,3,48,False
YvLb2lkRiYyh,movies,1617922493758,save_selection,3,48,False
YvLb2lkRiYyh,movies,1617922501563,continue,3,-1,True
YvLb2lkRiYyh,movies,1617922519967,get_recommendation,4,-1,True
YvLb2lkRiYyh,movies,1617922532518,card_clicked,4,15,True
YvLb2lkRiYyh,movies,1617922540106,save_selection,4,15,True
YvLb2lkRiYyh,movies,1617922582154,get_recommendation,5,-1,True
YvLb2lkRiYyh,movies,1617922613342,card_clicked,5,3,True
YvLb2lkRiYyh,movies,1617922615366,save_selection,5,3,True
YvLb2lkRiYyh,movies,1617922618824,close_app,-1,-1,False
YvLb2lkRiYyh,hiring,1617922672240,init_app,-1,-1,False
YvLb2lkRiYyh,hiring,1617922698697,card_clicked,0,8,False
YvLb2lkRiYyh,hiring,1617922698986,card_clicked,0,8,False
YvLb2lkRiYyh,hiring,1617922703457,get_recommendation,0,8,True
YvLb2lkRiYyh,hiring,1617922707784,save_selection,0,8,True
YvLb2lkRiYyh,hiring,1617922733711,card_clicked,1,4,False
YvLb2lkRiYyh,hiring,1617922738122,save_selection,1,4,False
YvLb2lkRiYyh,hiring,1617922743812,continue,1,-1,True
YvLb2lkRiYyh,hiring,1617922751968,card_clicked,2,12,False
YvLb2lkRiYyh,hiring,1617922754642,save_selection,2,12,False
YvLb2lkRiYyh,hiring,1617922768219,continue,2,-1,True
YvLb2lkRiYyh,hiring,1617922781589,card_clicked,3,13,False
YvLb2lkRiYyh,hiring,1617922784201,save_selection,3,13,False
YvLb2lkRiYyh,hiring,1617922787945,continue,3,-1,True
YvLb2lkRiYyh,hiring,1617922810946,card_clicked,4,35,False
YvLb2lkRiYyh,hiring,1617922813986,save_selection,4,35,False
YvLb2lkRiYyh,hiring,1617922820505,continue,4,-1,True
YvLb2lkRiYyh,hiring,1617922840353,card_clicked,5,42,False
YvLb2lkRiYyh,hiring,1617922841917,save_selection,5,42,False
YvLb2lkRiYyh,hiring,1617922850052,close_app,-1,-1,False
