task,appMode,selectedId,botChoice,recommendationShown,savedAt
0,practice,2,2,True,1617921908519
0,movies,12,12,True,1617922405680
1,movies,7,6,False,1617922423256
2,movies,37,45,False,1617922461403
3,movies,48,20,False,1617922493757
4,movies,15,15,True,1617922540106
5,movies,3,47,True,1617922615366
0,hiring,8,8,True,1617922707784
1,hiring,4,1,False,1617922738122
2,hiring,12,9,False,1617922754642
3,hiring,13,13,False,1617922784201
4,hiring,35,48,False,1617922813986
5,hiring,42,45,False,1617922841917
