sid,processed_at,inputs
y_BPmN5ACNjjBNv4AAAB,1617910983,"{'participantId': '1w4I0l6f60JG', 'appMode': 'practice', 'interactionAt': 1617910985285, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
y_BPmN5ACNjjBNv4AAAB,1617911003,"{'participantId': '1w4I0l6f60JG', 'appMode': 'practice', 'interactionAt': 1617911004412, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
y_BPmN5ACNjjBNv4AAAB,1617911031,"{'participantId': '1w4I0l6f60JG', 'appMode': 'practice', 'interactionAt': 1617911033114, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
y_BPmN5ACNjjBNv4AAAB,1617911045,"{'participantId': '1w4I0l6f60JG', 'appMode': 'practice', 'interactionAt': 1617911046528, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
olVb16LCkmQk5OCdAAAH,1617911214,"{'participantId': '1w4I0l6f60JG', 'appMode': 'hiring', 'interactionAt': 1617911215975, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
olVb16LCkmQk5OCdAAAH,1617911227,"{'participantId': '1w4I0l6f60JG', 'appMode': 'hiring', 'interactionAt': 1617911229235, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 28, 'recommendationShown': False}"
olVb16LCkmQk5OCdAAAH,1617911230,"{'participantId': '1w4I0l6f60JG', 'appMode': 'hiring', 'interactionAt': 1617911231841, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 28, 'recommendationShown': False}"
olVb16LCkmQk5OCdAAAH,1617911250,"{'participantId': '1w4I0l6f60JG', 'appMode': 'hiring', 'interactionAt': 1617911251760, 'interactionType': 'continue', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
olVb16LCkmQk5OCdAAAH,1617911262,"{'participantId': '1w4I0l6f60JG', 'appMode': 'hiring', 'interactionAt': 1617911263681, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 4, 'recommendationShown': False}"
olVb16LCkmQk5OCdAAAH,1617911269,"{'participantId': '1w4I0l6f60JG', 'appMode': 'hiring', 'interactionAt': 1617911271103, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 4, 'recommendationShown': False}"
olVb16LCkmQk5OCdAAAH,1617911274,"{'participantId': '1w4I0l6f60JG', 'appMode': 'hiring', 'interactionAt': 1617911275611, 'interactionType': 'continue', 'currentScenario': 1, 'selectedId': -1, 'recommendationShown': True}"
olVb16LCkmQk5OCdAAAH,1617911281,"{'participantId': '1w4I0l6f60JG', 'appMode': 'hiring', 'interactionAt': 1617911283231, 'interactionType': 'card_clicked', 'currentScenario': 2, 'selectedId': 12, 'recommendationShown': False}"
olVb16LCkmQk5OCdAAAH,1617911283,"{'participantId': '1w4I0l6f60JG', 'appMode': 'hiring', 'interactionAt': 1617911284731, 'interactionType': 'save_selection', 'currentScenario': 2, 'selectedId': 12, 'recommendationShown': False}"
olVb16LCkmQk5OCdAAAH,1617911287,"{'participantId': '1w4I0l6f60JG', 'appMode': 'hiring', 'interactionAt': 1617911288463, 'interactionType': 'continue', 'currentScenario': 2, 'selectedId': -1, 'recommendationShown': True}"
olVb16LCkmQk5OCdAAAH,1617911296,"{'participantId': '1w4I0l6f60JG', 'appMode': 'hiring', 'interactionAt': 1617911298331, 'interactionType': 'card_clicked', 'currentScenario': 3, 'selectedId': 18, 'recommendationShown': False}"
olVb16LCkmQk5OCdAAAH,1617911298,"{'participantId': '1w4I0l6f60JG', 'appMode': 'hiring', 'interactionAt': 1617911300093, 'interactionType': 'save_selection', 'currentScenario': 3, 'selectedId': 18, 'recommendationShown': False}"
olVb16LCkmQk5OCdAAAH,1617911302,"{'participantId': '1w4I0l6f60JG', 'appMode': 'hiring', 'interactionAt': 1617911303801, 'interactionType': 'continue', 'currentScenario': 3, 'selectedId': -1, 'recommendationShown': True}"
olVb16LCkmQk5OCdAAAH,1617911316,"{'participantId': '1w4I0l6f60JG', 'appMode': 'hiring', 'interactionAt': 1617911318387, 'interactionType': 'card_clicked', 'currentScenario': 4, 'selectedId': 35, 'recommendationShown': False}"
olVb16LCkmQk5OCdAAAH,1617911318,"{'participantId': '1w4I0l6f60JG', 'appMode': 'hiring', 'interactionAt': 1617911319716, 'interactionType': 'save_selection', 'currentScenario': 4, 'selectedId': 35, 'recommendationShown': False}"
olVb16LCkmQk5OCdAAAH,1617911323,"{'participantId': '1w4I0l6f60JG', 'appMode': 'hiring', 'interactionAt': 1617911324553, 'interactionType': 'continue', 'currentScenario': 4, 'selectedId': -1, 'recommendationShown': True}"
olVb16LCkmQk5OCdAAAH,1617911334,"{'participantId': '1w4I0l6f60JG', 'appMode': 'hiring', 'interactionAt': 1617911336225, 'interactionType': 'card_clicked', 'currentScenario': 5, 'selectedId': 45, 'recommendationShown': False}"
olVb16LCkmQk5OCdAAAH,1617911335,"{'participantId': '1w4I0l6f60JG', 'appMode': 'hiring', 'interactionAt': 1617911337269, 'interactionType': 'save_selection', 'currentScenario': 5, 'selectedId': 45, 'recommendationShown': False}"
olVb16LCkmQk5OCdAAAH,1617911342,"{'participantId': '1w4I0l6f60JG', 'appMode': 'hiring', 'interactionAt': 1617911343817, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
T808H3AQ8rmnTinTAAAJ,1617911361,"{'participantId': '1w4I0l6f60JG', 'appMode': 'movies', 'interactionAt': 1617911362699, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
T808H3AQ8rmnTinTAAAJ,1617911372,"{'participantId': '1w4I0l6f60JG', 'appMode': 'movies', 'interactionAt': 1617911373829, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': False}"
T808H3AQ8rmnTinTAAAJ,1617911373,"{'participantId': '1w4I0l6f60JG', 'appMode': 'movies', 'interactionAt': 1617911375087, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': False}"
T808H3AQ8rmnTinTAAAJ,1617911378,"{'participantId': '1w4I0l6f60JG', 'appMode': 'movies', 'interactionAt': 1617911380031, 'interactionType': 'continue', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
T808H3AQ8rmnTinTAAAJ,1617911391,"{'participantId': '1w4I0l6f60JG', 'appMode': 'movies', 'interactionAt': 1617911393359, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 7, 'recommendationShown': False}"
T808H3AQ8rmnTinTAAAJ,1617911392,"{'participantId': '1w4I0l6f60JG', 'appMode': 'movies', 'interactionAt': 1617911394113, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 7, 'recommendationShown': False}"
T808H3AQ8rmnTinTAAAJ,1617911396,"{'participantId': '1w4I0l6f60JG', 'appMode': 'movies', 'interactionAt': 1617911397971, 'interactionType': 'continue', 'currentScenario': 1, 'selectedId': -1, 'recommendationShown': True}"
T808H3AQ8rmnTinTAAAJ,1617911402,"{'participantId': '1w4I0l6f60JG', 'appMode': 'movies', 'interactionAt': 1617911404205, 'interactionType': 'card_clicked', 'currentScenario': 2, 'selectedId': 37, 'recommendationShown': False}"
T808H3AQ8rmnTinTAAAJ,1617911403,"{'participantId': '1w4I0l6f60JG', 'appMode': 'movies', 'interactionAt': 1617911405299, 'interactionType': 'save_selection', 'currentScenario': 2, 'selectedId': 37, 'recommendationShown': False}"
T808H3AQ8rmnTinTAAAJ,1617911410,"{'participantId': '1w4I0l6f60JG', 'appMode': 'movies', 'interactionAt': 1617911412249, 'interactionType': 'continue', 'currentScenario': 2, 'selectedId': -1, 'recommendationShown': True}"
T808H3AQ8rmnTinTAAAJ,1617911421,"{'participantId': '1w4I0l6f60JG', 'appMode': 'movies', 'interactionAt': 1617911422555, 'interactionType': 'card_clicked', 'currentScenario': 3, 'selectedId': 48, 'recommendationShown': False}"
T808H3AQ8rmnTinTAAAJ,1617911422,"{'participantId': '1w4I0l6f60JG', 'appMode': 'movies', 'interactionAt': 1617911423877, 'interactionType': 'save_selection', 'currentScenario': 3, 'selectedId': 48, 'recommendationShown': False}"
