sid,processed_at,inputs
hmevWWZG9hf72-MFAAAj,1617897235,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'practice', 'interactionAt': 1617897235710, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
hmevWWZG9hf72-MFAAAj,1617897275,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'practice', 'interactionAt': 1617897275371, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 3, 'recommendationShown': False}"
hmevWWZG9hf72-MFAAAj,1617897277,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'practice', 'interactionAt': 1617897277214, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 3, 'recommendationShown': False}"
hmevWWZG9hf72-MFAAAj,1617897292,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'practice', 'interactionAt': 1617897292807, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
rdgTyMcgpAIpFlWiAAAr,1617897537,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'movies', 'interactionAt': 1617897536993, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
rdgTyMcgpAIpFlWiAAAr,1617897548,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'movies', 'interactionAt': 1617897548478, 'interactionType': 'get_recommendation', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
rdgTyMcgpAIpFlWiAAAr,1617897551,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'movies', 'interactionAt': 1617897551114, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': True}"
rdgTyMcgpAIpFlWiAAAr,1617897553,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'movies', 'interactionAt': 1617897553017, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': True}"
rdgTyMcgpAIpFlWiAAAr,1617897559,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'movies', 'interactionAt': 1617897559707, 'interactionType': 'get_recommendation', 'currentScenario': 1, 'selectedId': -1, 'recommendationShown': True}"
rdgTyMcgpAIpFlWiAAAr,1617897561,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'movies', 'interactionAt': 1617897561699, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 6, 'recommendationShown': True}"
rdgTyMcgpAIpFlWiAAAr,1617897562,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'movies', 'interactionAt': 1617897562706, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 6, 'recommendationShown': True}"
rdgTyMcgpAIpFlWiAAAr,1617897567,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'movies', 'interactionAt': 1617897567777, 'interactionType': 'get_recommendation', 'currentScenario': 2, 'selectedId': -1, 'recommendationShown': True}"
rdgTyMcgpAIpFlWiAAAr,1617897575,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'movies', 'interactionAt': 1617897575178, 'interactionType': 'card_clicked', 'currentScenario': 2, 'selectedId': 37, 'recommendationShown': True}"
rdgTyMcgpAIpFlWiAAAr,1617897577,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'movies', 'interactionAt': 1617897576938, 'interactionType': 'save_selection', 'currentScenario': 2, 'selectedId': 37, 'recommendationShown': True}"
rdgTyMcgpAIpFlWiAAAr,1617897582,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'movies', 'interactionAt': 1617897582623, 'interactionType': 'get_recommendation', 'currentScenario': 3, 'selectedId': -1, 'recommendationShown': True}"
rdgTyMcgpAIpFlWiAAAr,1617897584,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'movies', 'interactionAt': 1617897584704, 'interactionType': 'card_clicked', 'currentScenario': 3, 'selectedId': 48, 'recommendationShown': True}"
rdgTyMcgpAIpFlWiAAAr,1617897589,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'movies', 'interactionAt': 1617897589467, 'interactionType': 'save_selection', 'currentScenario': 3, 'selectedId': 48, 'recommendationShown': True}"
rdgTyMcgpAIpFlWiAAAr,1617897593,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'movies', 'interactionAt': 1617897593329, 'interactionType': 'get_recommendation', 'currentScenario': 4, 'selectedId': -1, 'recommendationShown': True}"
rdgTyMcgpAIpFlWiAAAr,1617897599,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'movies', 'interactionAt': 1617897599139, 'interactionType': 'card_clicked', 'currentScenario': 4, 'selectedId': 10, 'recommendationShown': True}"
rdgTyMcgpAIpFlWiAAAr,1617897606,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'movies', 'interactionAt': 1617897606779, 'interactionType': 'card_clicked', 'currentScenario': 4, 'selectedId': 15, 'recommendationShown': True}"
rdgTyMcgpAIpFlWiAAAr,1617897607,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'movies', 'interactionAt': 1617897607815, 'interactionType': 'save_selection', 'currentScenario': 4, 'selectedId': 15, 'recommendationShown': True}"
rdgTyMcgpAIpFlWiAAAr,1617897615,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'movies', 'interactionAt': 1617897615236, 'interactionType': 'get_recommendation', 'currentScenario': 5, 'selectedId': -1, 'recommendationShown': True}"
rdgTyMcgpAIpFlWiAAAr,1617897619,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'movies', 'interactionAt': 1617897619545, 'interactionType': 'card_clicked', 'currentScenario': 5, 'selectedId': 42, 'recommendationShown': True}"
rdgTyMcgpAIpFlWiAAAr,1617897620,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'movies', 'interactionAt': 1617897620378, 'interactionType': 'save_selection', 'currentScenario': 5, 'selectedId': 42, 'recommendationShown': True}"
rdgTyMcgpAIpFlWiAAAr,1617897622,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'movies', 'interactionAt': 1617897622145, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
45OK0ddQyHAmDwWJAAAt,1617897629,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'hiring', 'interactionAt': 1617897629718, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
45OK0ddQyHAmDwWJAAAt,1617897642,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'hiring', 'interactionAt': 1617897642214, 'interactionType': 'get_recommendation', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
45OK0ddQyHAmDwWJAAAt,1617897644,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'hiring', 'interactionAt': 1617897644124, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 8, 'recommendationShown': True}"
45OK0ddQyHAmDwWJAAAt,1617897645,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'hiring', 'interactionAt': 1617897645372, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 8, 'recommendationShown': True}"
45OK0ddQyHAmDwWJAAAt,1617897653,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'hiring', 'interactionAt': 1617897653822, 'interactionType': 'get_recommendation', 'currentScenario': 1, 'selectedId': -1, 'recommendationShown': True}"
45OK0ddQyHAmDwWJAAAt,1617897657,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'hiring', 'interactionAt': 1617897657756, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 5, 'recommendationShown': True}"
45OK0ddQyHAmDwWJAAAt,1617897659,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'hiring', 'interactionAt': 1617897659144, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 5, 'recommendationShown': True}"
45OK0ddQyHAmDwWJAAAt,1617897662,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'hiring', 'interactionAt': 1617897662633, 'interactionType': 'get_recommendation', 'currentScenario': 2, 'selectedId': -1, 'recommendationShown': True}"
45OK0ddQyHAmDwWJAAAt,1617897668,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'hiring', 'interactionAt': 1617897668366, 'interactionType': 'card_clicked', 'currentScenario': 2, 'selectedId': 9, 'recommendationShown': True}"
45OK0ddQyHAmDwWJAAAt,1617897669,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'hiring', 'interactionAt': 1617897669207, 'interactionType': 'save_selection', 'currentScenario': 2, 'selectedId': 9, 'recommendationShown': True}"
45OK0ddQyHAmDwWJAAAt,1617897671,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'hiring', 'interactionAt': 1617897671308, 'interactionType': 'get_recommendation', 'currentScenario': 3, 'selectedId': -1, 'recommendationShown': True}"
45OK0ddQyHAmDwWJAAAt,1617897680,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'hiring', 'interactionAt': 1617897680151, 'interactionType': 'card_clicked', 'currentScenario': 3, 'selectedId': 13, 'recommendationShown': True}"
45OK0ddQyHAmDwWJAAAt,1617897681,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'hiring', 'interactionAt': 1617897681847, 'interactionType': 'save_selection', 'currentScenario': 3, 'selectedId': 13, 'recommendationShown': True}"
45OK0ddQyHAmDwWJAAAt,1617897683,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'hiring', 'interactionAt': 1617897683669, 'interactionType': 'get_recommendation', 'currentScenario': 4, 'selectedId': -1, 'recommendationShown': True}"
45OK0ddQyHAmDwWJAAAt,1617897691,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'hiring', 'interactionAt': 1617897691359, 'interactionType': 'card_clicked', 'currentScenario': 4, 'selectedId': 48, 'recommendationShown': True}"
45OK0ddQyHAmDwWJAAAt,1617897692,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'hiring', 'interactionAt': 1617897692153, 'interactionType': 'save_selection', 'currentScenario': 4, 'selectedId': 48, 'recommendationShown': True}"
45OK0ddQyHAmDwWJAAAt,1617897694,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'hiring', 'interactionAt': 1617897694136, 'interactionType': 'get_recommendation', 'currentScenario': 5, 'selectedId': -1, 'recommendationShown': True}"
45OK0ddQyHAmDwWJAAAt,1617897701,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'hiring', 'interactionAt': 1617897701145, 'interactionType': 'card_clicked', 'currentScenario': 5, 'selectedId': 42, 'recommendationShown': True}"
45OK0ddQyHAmDwWJAAAt,1617897703,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'hiring', 'interactionAt': 1617897703778, 'interactionType': 'save_selection', 'currentScenario': 5, 'selectedId': 42, 'recommendationShown': True}"
45OK0ddQyHAmDwWJAAAt,1617897705,"{'participantId': '7UR5LIyKmQiz', 'appMode': 'hiring', 'interactionAt': 1617897705381, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
