sid,processed_at,inputs
t4YunjBXTy_n4PFuAAAE,1618018270,"{'participantId': 'C9pIAv6kBqr6', 'appMode': 'practice', 'interactionAt': 1618018270959, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
t4YunjBXTy_n4PFuAAAE,1618018327,"{'participantId': 'C9pIAv6kBqr6', 'appMode': 'practice', 'interactionAt': 1618018328581, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
t4YunjBXTy_n4PFuAAAE,1618018329,"{'participantId': 'C9pIAv6kBqr6', 'appMode': 'practice', 'interactionAt': 1618018330706, 'interactionType': 'get_recommendation', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': True}"
t4YunjBXTy_n4PFuAAAE,1618018335,"{'participantId': 'C9pIAv6kBqr6', 'appMode': 'practice', 'interactionAt': 1618018336042, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': True}"
t4YunjBXTy_n4PFuAAAE,1618018345,"{'participantId': 'C9pIAv6kBqr6', 'appMode': 'practice', 'interactionAt': 1618018346542, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
1jyjSU3ZF9GUbbtjAAAG,1618018590,"{'participantId': 'C9pIAv6kBqr6', 'appMode': 'hiring', 'interactionAt': 1618018591399, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
1jyjSU3ZF9GUbbtjAAAG,1618018603,"{'participantId': 'C9pIAv6kBqr6', 'appMode': 'hiring', 'interactionAt': 1618018604272, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 8, 'recommendationShown': False}"
1jyjSU3ZF9GUbbtjAAAG,1618018604,"{'participantId': 'C9pIAv6kBqr6', 'appMode': 'hiring', 'interactionAt': 1618018605916, 'interactionType': 'get_recommendation', 'currentScenario': 0, 'selectedId': 8, 'recommendationShown': True}"
1jyjSU3ZF9GUbbtjAAAG,1618018609,"{'participantId': 'C9pIAv6kBqr6', 'appMode': 'hiring', 'interactionAt': 1618018610538, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 8, 'recommendationShown': True}"
1jyjSU3ZF9GUbbtjAAAG,1618018617,"{'participantId': 'C9pIAv6kBqr6', 'appMode': 'hiring', 'interactionAt': 1618018618793, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 4, 'recommendationShown': False}"
1jyjSU3ZF9GUbbtjAAAG,1618018621,"{'participantId': 'C9pIAv6kBqr6', 'appMode': 'hiring', 'interactionAt': 1618018622485, 'interactionType': 'get_recommendation', 'currentScenario': 1, 'selectedId': 4, 'recommendationShown': True}"
1jyjSU3ZF9GUbbtjAAAG,1618018631,"{'participantId': 'C9pIAv6kBqr6', 'appMode': 'hiring', 'interactionAt': 1618018632838, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 4, 'recommendationShown': True}"
1jyjSU3ZF9GUbbtjAAAG,1618018645,"{'participantId': 'C9pIAv6kBqr6', 'appMode': 'hiring', 'interactionAt': 1618018646596, 'interactionType': 'card_clicked', 'currentScenario': 2, 'selectedId': 12, 'recommendationShown': False}"
