sid,processed_at,inputs
shUBFF62r_SxfplFAAAF,1618000917,"{'participantId': 'TlJaxdq1DM23', 'appMode': 'practice', 'interactionAt': 1618000917815, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
shUBFF62r_SxfplFAAAF,1618000982,"{'participantId': 'TlJaxdq1DM23', 'appMode': 'practice', 'interactionAt': 1618000983032, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
shUBFF62r_SxfplFAAAF,1618000990,"{'participantId': 'TlJaxdq1DM23', 'appMode': 'practice', 'interactionAt': 1618000990505, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
shUBFF62r_SxfplFAAAF,1618000997,"{'participantId': 'TlJaxdq1DM23', 'appMode': 'practice', 'interactionAt': 1618000997491, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
PgmZDdbq4XBoDic3AAAH,1618001827,"{'participantId': 'TlJaxdq1DM23', 'appMode': 'hiring', 'interactionAt': 1618001828375, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
PgmZDdbq4XBoDic3AAAH,1618001850,"{'participantId': 'TlJaxdq1DM23', 'appMode': 'hiring', 'interactionAt': 1618001850492, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 8, 'recommendationShown': False}"
PgmZDdbq4XBoDic3AAAH,1618001851,"{'participantId': 'TlJaxdq1DM23', 'appMode': 'hiring', 'interactionAt': 1618001852148, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 8, 'recommendationShown': False}"
PgmZDdbq4XBoDic3AAAH,1618001856,"{'participantId': 'TlJaxdq1DM23', 'appMode': 'hiring', 'interactionAt': 1618001856404, 'interactionType': 'continue', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
PgmZDdbq4XBoDic3AAAH,1618001865,"{'participantId': 'TlJaxdq1DM23', 'appMode': 'hiring', 'interactionAt': 1618001866252, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 4, 'recommendationShown': False}"
PgmZDdbq4XBoDic3AAAH,1618001866,"{'participantId': 'TlJaxdq1DM23', 'appMode': 'hiring', 'interactionAt': 1618001867228, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 4, 'recommendationShown': False}"
PgmZDdbq4XBoDic3AAAH,1618001876,"{'participantId': 'TlJaxdq1DM23', 'appMode': 'hiring', 'interactionAt': 1618001876548, 'interactionType': 'continue', 'currentScenario': 1, 'selectedId': -1, 'recommendationShown': True}"
PgmZDdbq4XBoDic3AAAH,1618001887,"{'participantId': 'TlJaxdq1DM23', 'appMode': 'hiring', 'interactionAt': 1618001888254, 'interactionType': 'get_recommendation', 'currentScenario': 2, 'selectedId': -1, 'recommendationShown': True}"
PgmZDdbq4XBoDic3AAAH,1618001896,"{'participantId': 'TlJaxdq1DM23', 'appMode': 'hiring', 'interactionAt': 1618001897356, 'interactionType': 'card_clicked', 'currentScenario': 2, 'selectedId': 12, 'recommendationShown': True}"
PgmZDdbq4XBoDic3AAAH,1618001897,"{'participantId': 'TlJaxdq1DM23', 'appMode': 'hiring', 'interactionAt': 1618001898108, 'interactionType': 'save_selection', 'currentScenario': 2, 'selectedId': 12, 'recommendationShown': True}"
PgmZDdbq4XBoDic3AAAH,1618001904,"{'participantId': 'TlJaxdq1DM23', 'appMode': 'hiring', 'interactionAt': 1618001904740, 'interactionType': 'card_clicked', 'currentScenario': 3, 'selectedId': 18, 'recommendationShown': False}"
PgmZDdbq4XBoDic3AAAH,1618001905,"{'participantId': 'TlJaxdq1DM23', 'appMode': 'hiring', 'interactionAt': 1618001905880, 'interactionType': 'save_selection', 'currentScenario': 3, 'selectedId': 18, 'recommendationShown': False}"
PgmZDdbq4XBoDic3AAAH,1618001912,"{'participantId': 'TlJaxdq1DM23', 'appMode': 'hiring', 'interactionAt': 1618001912632, 'interactionType': 'continue', 'currentScenario': 3, 'selectedId': -1, 'recommendationShown': True}"
PgmZDdbq4XBoDic3AAAH,1618001925,"{'participantId': 'TlJaxdq1DM23', 'appMode': 'hiring', 'interactionAt': 1618001925768, 'interactionType': 'card_clicked', 'currentScenario': 4, 'selectedId': 35, 'recommendationShown': False}"
PgmZDdbq4XBoDic3AAAH,1618001927,"{'participantId': 'TlJaxdq1DM23', 'appMode': 'hiring', 'interactionAt': 1618001927416, 'interactionType': 'save_selection', 'currentScenario': 4, 'selectedId': 35, 'recommendationShown': False}"
PgmZDdbq4XBoDic3AAAH,1618001930,"{'participantId': 'TlJaxdq1DM23', 'appMode': 'hiring', 'interactionAt': 1618001930928, 'interactionType': 'continue', 'currentScenario': 4, 'selectedId': -1, 'recommendationShown': True}"
