sid,processed_at,inputs
I_SspuWZv-r0qv5wAAAF,1617929377,"{'participantId': '38vsTr4jwSxV', 'appMode': 'practice', 'interactionAt': 1617929377376, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
I_SspuWZv-r0qv5wAAAF,1617929427,"{'participantId': '38vsTr4jwSxV', 'appMode': 'practice', 'interactionAt': 1617929427241, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
I_SspuWZv-r0qv5wAAAF,1617929430,"{'participantId': '38vsTr4jwSxV', 'appMode': 'practice', 'interactionAt': 1617929430116, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
I_SspuWZv-r0qv5wAAAF,1617929444,"{'participantId': '38vsTr4jwSxV', 'appMode': 'practice', 'interactionAt': 1617929444365, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
FSnek1sUE0CUtk_PAAAH,1617929769,"{'participantId': '38vsTr4jwSxV', 'appMode': 'movies', 'interactionAt': 1617929769933, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
FSnek1sUE0CUtk_PAAAH,1617929791,"{'participantId': '38vsTr4jwSxV', 'appMode': 'movies', 'interactionAt': 1617929791563, 'interactionType': 'get_recommendation', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
FSnek1sUE0CUtk_PAAAH,1617929803,"{'participantId': '38vsTr4jwSxV', 'appMode': 'movies', 'interactionAt': 1617929803130, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': True}"
FSnek1sUE0CUtk_PAAAH,1617929804,"{'participantId': '38vsTr4jwSxV', 'appMode': 'movies', 'interactionAt': 1617929804801, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': True}"
FSnek1sUE0CUtk_PAAAH,1617929814,"{'participantId': '38vsTr4jwSxV', 'appMode': 'movies', 'interactionAt': 1617929814923, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 6, 'recommendationShown': False}"
FSnek1sUE0CUtk_PAAAH,1617929816,"{'participantId': '38vsTr4jwSxV', 'appMode': 'movies', 'interactionAt': 1617929816547, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 6, 'recommendationShown': False}"
FSnek1sUE0CUtk_PAAAH,1617929821,"{'participantId': '38vsTr4jwSxV', 'appMode': 'movies', 'interactionAt': 1617929821435, 'interactionType': 'continue', 'currentScenario': 1, 'selectedId': -1, 'recommendationShown': True}"
