sid,processed_at,inputs
Mth7pZsDaxAEEvflAAAJ,1617910734,"{'participantId': 'QEpQRLrqn7CX', 'appMode': 'practice', 'interactionAt': 1617910734424, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
Mth7pZsDaxAEEvflAAAJ,1617910817,"{'participantId': 'QEpQRLrqn7CX', 'appMode': 'practice', 'interactionAt': 1617910817523, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
Mth7pZsDaxAEEvflAAAJ,1617910821,"{'participantId': 'QEpQRLrqn7CX', 'appMode': 'practice', 'interactionAt': 1617910821183, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
Mth7pZsDaxAEEvflAAAJ,1617910828,"{'participantId': 'QEpQRLrqn7CX', 'appMode': 'practice', 'interactionAt': 1617910829003, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
k4-fE3MPKITSXWKIAAAF,1617911102,"{'participantId': 'QEpQRLrqn7CX', 'appMode': 'movies', 'interactionAt': 1617911102470, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
k4-fE3MPKITSXWKIAAAF,1617911259,"{'participantId': 'QEpQRLrqn7CX', 'appMode': 'movies', 'interactionAt': 1617911259375, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': False}"
k4-fE3MPKITSXWKIAAAF,1617911261,"{'participantId': 'QEpQRLrqn7CX', 'appMode': 'movies', 'interactionAt': 1617911261162, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': False}"
k4-fE3MPKITSXWKIAAAF,1617911267,"{'participantId': 'QEpQRLrqn7CX', 'appMode': 'movies', 'interactionAt': 1617911267496, 'interactionType': 'continue', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
k4-fE3MPKITSXWKIAAAF,1617911322,"{'participantId': 'QEpQRLrqn7CX', 'appMode': 'movies', 'interactionAt': 1617911322363, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 7, 'recommendationShown': False}"
k4-fE3MPKITSXWKIAAAF,1617911323,"{'participantId': 'QEpQRLrqn7CX', 'appMode': 'movies', 'interactionAt': 1617911323324, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 7, 'recommendationShown': False}"
k4-fE3MPKITSXWKIAAAF,1617911327,"{'participantId': 'QEpQRLrqn7CX', 'appMode': 'movies', 'interactionAt': 1617911328000, 'interactionType': 'continue', 'currentScenario': 1, 'selectedId': -1, 'recommendationShown': True}"
k4-fE3MPKITSXWKIAAAF,1617911345,"{'participantId': 'QEpQRLrqn7CX', 'appMode': 'movies', 'interactionAt': 1617911345615, 'interactionType': 'card_clicked', 'currentScenario': 2, 'selectedId': 37, 'recommendationShown': False}"
k4-fE3MPKITSXWKIAAAF,1617911346,"{'participantId': 'QEpQRLrqn7CX', 'appMode': 'movies', 'interactionAt': 1617911346514, 'interactionType': 'save_selection', 'currentScenario': 2, 'selectedId': 37, 'recommendationShown': False}"
k4-fE3MPKITSXWKIAAAF,1617911357,"{'participantId': 'QEpQRLrqn7CX', 'appMode': 'movies', 'interactionAt': 1617911358096, 'interactionType': 'continue', 'currentScenario': 2, 'selectedId': -1, 'recommendationShown': True}"
k4-fE3MPKITSXWKIAAAF,1617911382,"{'participantId': 'QEpQRLrqn7CX', 'appMode': 'movies', 'interactionAt': 1617911383081, 'interactionType': 'card_clicked', 'currentScenario': 3, 'selectedId': 48, 'recommendationShown': False}"
