sid,processed_at,inputs
fLiLyZwz3RvQr4hdAABN,1617898591,"{'participantId': 'Tcrfm9xpHN59', 'appMode': 'practice', 'interactionAt': 1617898591054, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
fLiLyZwz3RvQr4hdAABN,1617898713,"{'participantId': 'Tcrfm9xpHN59', 'appMode': 'practice', 'interactionAt': 1617898712919, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
fLiLyZwz3RvQr4hdAABN,1617898721,"{'participantId': 'Tcrfm9xpHN59', 'appMode': 'practice', 'interactionAt': 1617898721459, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
fLiLyZwz3RvQr4hdAABN,1617898731,"{'participantId': 'Tcrfm9xpHN59', 'appMode': 'practice', 'interactionAt': 1617898731646, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
-yJ6_8dOaba3xXiMAABf,1617899790,"{'participantId': 'Tcrfm9xpHN59', 'appMode': 'movies', 'interactionAt': 1617899790525, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
-yJ6_8dOaba3xXiMAABf,1617899797,"{'participantId': 'Tcrfm9xpHN59', 'appMode': 'movies', 'interactionAt': 1617899797500, 'interactionType': 'get_recommendation', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
-yJ6_8dOaba3xXiMAABf,1617899815,"{'participantId': 'Tcrfm9xpHN59', 'appMode': 'movies', 'interactionAt': 1617899815479, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': True}"
-yJ6_8dOaba3xXiMAABf,1617899816,"{'participantId': 'Tcrfm9xpHN59', 'appMode': 'movies', 'interactionAt': 1617899816510, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': True}"
-yJ6_8dOaba3xXiMAABf,1617899822,"{'participantId': 'Tcrfm9xpHN59', 'appMode': 'movies', 'interactionAt': 1617899822580, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 26, 'recommendationShown': False}"
-yJ6_8dOaba3xXiMAABf,1617899824,"{'participantId': 'Tcrfm9xpHN59', 'appMode': 'movies', 'interactionAt': 1617899824756, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 26, 'recommendationShown': False}"
-yJ6_8dOaba3xXiMAABf,1617899833,"{'participantId': 'Tcrfm9xpHN59', 'appMode': 'movies', 'interactionAt': 1617899833094, 'interactionType': 'continue', 'currentScenario': 1, 'selectedId': -1, 'recommendationShown': True}"
