sid,processed_at,inputs
2_EJlg5sRqjU_0fHAAAd,1617923702,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'practice', 'interactionAt': 1617923702077, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
2_EJlg5sRqjU_0fHAAAd,1617923756,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'practice', 'interactionAt': 1617923756344, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
2_EJlg5sRqjU_0fHAAAd,1617923760,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'practice', 'interactionAt': 1617923760084, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
2_EJlg5sRqjU_0fHAAAd,1617923776,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'practice', 'interactionAt': 1617923776728, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
ndwjrmUPLPFRviQMAAAf,1617924052,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'hiring', 'interactionAt': 1617924052733, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
ndwjrmUPLPFRviQMAAAf,1617924076,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'hiring', 'interactionAt': 1617924075990, 'interactionType': 'get_recommendation', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
ndwjrmUPLPFRviQMAAAf,1617924092,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'hiring', 'interactionAt': 1617924092863, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 8, 'recommendationShown': True}"
ndwjrmUPLPFRviQMAAAf,1617924098,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'hiring', 'interactionAt': 1617924098659, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 8, 'recommendationShown': True}"
ndwjrmUPLPFRviQMAAAf,1617924111,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'hiring', 'interactionAt': 1617924111320, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 4, 'recommendationShown': False}"
ndwjrmUPLPFRviQMAAAf,1617924113,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'hiring', 'interactionAt': 1617924113211, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 4, 'recommendationShown': False}"
ndwjrmUPLPFRviQMAAAf,1617924119,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'hiring', 'interactionAt': 1617924119692, 'interactionType': 'continue', 'currentScenario': 1, 'selectedId': -1, 'recommendationShown': True}"
ndwjrmUPLPFRviQMAAAf,1617924130,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'hiring', 'interactionAt': 1617924130411, 'interactionType': 'get_recommendation', 'currentScenario': 2, 'selectedId': -1, 'recommendationShown': True}"
ndwjrmUPLPFRviQMAAAf,1617924140,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'hiring', 'interactionAt': 1617924140008, 'interactionType': 'card_clicked', 'currentScenario': 2, 'selectedId': 12, 'recommendationShown': True}"
ndwjrmUPLPFRviQMAAAf,1617924141,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'hiring', 'interactionAt': 1617924141630, 'interactionType': 'save_selection', 'currentScenario': 2, 'selectedId': 12, 'recommendationShown': True}"
ndwjrmUPLPFRviQMAAAf,1617924151,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'hiring', 'interactionAt': 1617924151104, 'interactionType': 'card_clicked', 'currentScenario': 3, 'selectedId': 18, 'recommendationShown': False}"
ndwjrmUPLPFRviQMAAAf,1617924152,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'hiring', 'interactionAt': 1617924152303, 'interactionType': 'save_selection', 'currentScenario': 3, 'selectedId': 18, 'recommendationShown': False}"
ndwjrmUPLPFRviQMAAAf,1617924159,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'hiring', 'interactionAt': 1617924159885, 'interactionType': 'continue', 'currentScenario': 3, 'selectedId': -1, 'recommendationShown': True}"
ndwjrmUPLPFRviQMAAAf,1617924166,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'hiring', 'interactionAt': 1617924165958, 'interactionType': 'get_recommendation', 'currentScenario': 4, 'selectedId': -1, 'recommendationShown': True}"
ndwjrmUPLPFRviQMAAAf,1617924181,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'hiring', 'interactionAt': 1617924181895, 'interactionType': 'card_clicked', 'currentScenario': 4, 'selectedId': 48, 'recommendationShown': True}"
ndwjrmUPLPFRviQMAAAf,1617924182,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'hiring', 'interactionAt': 1617924182740, 'interactionType': 'save_selection', 'currentScenario': 4, 'selectedId': 48, 'recommendationShown': True}"
ndwjrmUPLPFRviQMAAAf,1617924196,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'hiring', 'interactionAt': 1617924196437, 'interactionType': 'card_clicked', 'currentScenario': 5, 'selectedId': 45, 'recommendationShown': False}"
ndwjrmUPLPFRviQMAAAf,1617924197,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'hiring', 'interactionAt': 1617924197417, 'interactionType': 'save_selection', 'currentScenario': 5, 'selectedId': 45, 'recommendationShown': False}"
ndwjrmUPLPFRviQMAAAf,1617924204,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'hiring', 'interactionAt': 1617924204597, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
YQycQlVZFPfngRZaAAAh,1617924246,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'movies', 'interactionAt': 1617924245967, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
YQycQlVZFPfngRZaAAAh,1617924278,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'movies', 'interactionAt': 1617924278831, 'interactionType': 'get_recommendation', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
YQycQlVZFPfngRZaAAAh,1617924281,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'movies', 'interactionAt': 1617924281220, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': True}"
YQycQlVZFPfngRZaAAAh,1617924282,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'movies', 'interactionAt': 1617924282722, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': True}"
YQycQlVZFPfngRZaAAAh,1617924295,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'movies', 'interactionAt': 1617924295571, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 7, 'recommendationShown': False}"
YQycQlVZFPfngRZaAAAh,1617924302,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'movies', 'interactionAt': 1617924302037, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 7, 'recommendationShown': False}"
YQycQlVZFPfngRZaAAAh,1617924310,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'movies', 'interactionAt': 1617924310224, 'interactionType': 'continue', 'currentScenario': 1, 'selectedId': -1, 'recommendationShown': True}"
YQycQlVZFPfngRZaAAAh,1617924334,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'movies', 'interactionAt': 1617924334034, 'interactionType': 'card_clicked', 'currentScenario': 2, 'selectedId': 33, 'recommendationShown': False}"
YQycQlVZFPfngRZaAAAh,1617924335,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'movies', 'interactionAt': 1617924335610, 'interactionType': 'save_selection', 'currentScenario': 2, 'selectedId': 33, 'recommendationShown': False}"
YQycQlVZFPfngRZaAAAh,1617924343,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'movies', 'interactionAt': 1617924342978, 'interactionType': 'continue', 'currentScenario': 2, 'selectedId': -1, 'recommendationShown': True}"
YQycQlVZFPfngRZaAAAh,1617924367,"{'participantId': 'fHevN3Wo38TA', 'appMode': 'movies', 'interactionAt': 1617924367312, 'interactionType': 'card_clicked', 'currentScenario': 3, 'selectedId': 48, 'recommendationShown': False}"
