sid,processed_at,inputs
tqAlTmsvI2ZeL3lSAAAG,1618195146,"{'participantId': 'iswbEgz7w3KE', 'appMode': 'practice', 'interactionAt': 1618195144650, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
tqAlTmsvI2ZeL3lSAAAG,1618195195,"{'participantId': 'iswbEgz7w3KE', 'appMode': 'practice', 'interactionAt': 1618195193908, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 3, 'recommendationShown': False}"
tqAlTmsvI2ZeL3lSAAAG,1618195197,"{'participantId': 'iswbEgz7w3KE', 'appMode': 'practice', 'interactionAt': 1618195195805, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 3, 'recommendationShown': False}"
tqAlTmsvI2ZeL3lSAAAG,1618195213,"{'participantId': 'iswbEgz7w3KE', 'appMode': 'practice', 'interactionAt': 1618195211800, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
OAU-2zCkUGaMfaSaAAAI,1618195589,"{'participantId': 'iswbEgz7w3KE', 'appMode': 'movies', 'interactionAt': 1618195587195, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
OAU-2zCkUGaMfaSaAAAI,1618195593,"{'participantId': 'iswbEgz7w3KE', 'appMode': 'movies', 'interactionAt': 1618195591578, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
OAU-2zCkUGaMfaSaAAAI,1618195594,"{'participantId': 'iswbEgz7w3KE', 'appMode': 'movies', 'interactionAt': 1618195592368, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
OAU-2zCkUGaMfaSaAAAI,1618195594,"{'participantId': 'iswbEgz7w3KE', 'appMode': 'movies', 'interactionAt': 1618195592815, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': False}"
OAU-2zCkUGaMfaSaAAAI,1618195595,"{'participantId': 'iswbEgz7w3KE', 'appMode': 'movies', 'interactionAt': 1618195593540, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 30, 'recommendationShown': False}"
OAU-2zCkUGaMfaSaAAAI,1618195596,"{'participantId': 'iswbEgz7w3KE', 'appMode': 'movies', 'interactionAt': 1618195594533, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 31, 'recommendationShown': False}"
OAU-2zCkUGaMfaSaAAAI,1618195597,"{'participantId': 'iswbEgz7w3KE', 'appMode': 'movies', 'interactionAt': 1618195595353, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
OAU-2zCkUGaMfaSaAAAI,1618195600,"{'participantId': 'iswbEgz7w3KE', 'appMode': 'movies', 'interactionAt': 1618195598140, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': False}"
OAU-2zCkUGaMfaSaAAAI,1618195600,"{'participantId': 'iswbEgz7w3KE', 'appMode': 'movies', 'interactionAt': 1618195598733, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
OAU-2zCkUGaMfaSaAAAI,1618195662,"{'participantId': 'iswbEgz7w3KE', 'appMode': 'movies', 'interactionAt': 1618195660368, 'interactionType': 'get_recommendation', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': True}"
OAU-2zCkUGaMfaSaAAAI,1618195672,"{'participantId': 'iswbEgz7w3KE', 'appMode': 'movies', 'interactionAt': 1618195670197, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': True}"
OAU-2zCkUGaMfaSaAAAI,1618195675,"{'participantId': 'iswbEgz7w3KE', 'appMode': 'movies', 'interactionAt': 1618195673322, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': True}"
OAU-2zCkUGaMfaSaAAAI,1618195691,"{'participantId': 'iswbEgz7w3KE', 'appMode': 'movies', 'interactionAt': 1618195689276, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 7, 'recommendationShown': False}"
OAU-2zCkUGaMfaSaAAAI,1618195693,"{'participantId': 'iswbEgz7w3KE', 'appMode': 'movies', 'interactionAt': 1618195691417, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 7, 'recommendationShown': False}"
OAU-2zCkUGaMfaSaAAAI,1618195698,"{'participantId': 'iswbEgz7w3KE', 'appMode': 'movies', 'interactionAt': 1618195696554, 'interactionType': 'continue', 'currentScenario': 1, 'selectedId': -1, 'recommendationShown': True}"
OAU-2zCkUGaMfaSaAAAI,1618195704,"{'participantId': 'iswbEgz7w3KE', 'appMode': 'movies', 'interactionAt': 1618195701982, 'interactionType': 'get_recommendation', 'currentScenario': 2, 'selectedId': -1, 'recommendationShown': True}"
OAU-2zCkUGaMfaSaAAAI,1618195719,"{'participantId': 'iswbEgz7w3KE', 'appMode': 'movies', 'interactionAt': 1618195717391, 'interactionType': 'card_clicked', 'currentScenario': 2, 'selectedId': 37, 'recommendationShown': True}"
OAU-2zCkUGaMfaSaAAAI,1618195729,"{'participantId': 'iswbEgz7w3KE', 'appMode': 'movies', 'interactionAt': 1618195727597, 'interactionType': 'save_selection', 'currentScenario': 2, 'selectedId': 37, 'recommendationShown': True}"
OAU-2zCkUGaMfaSaAAAI,1618195772,"{'participantId': 'iswbEgz7w3KE', 'appMode': 'movies', 'interactionAt': 1618195770417, 'interactionType': 'card_clicked', 'currentScenario': 3, 'selectedId': 48, 'recommendationShown': False}"
OAU-2zCkUGaMfaSaAAAI,1618195775,"{'participantId': 'iswbEgz7w3KE', 'appMode': 'movies', 'interactionAt': 1618195772941, 'interactionType': 'get_recommendation', 'currentScenario': 3, 'selectedId': 48, 'recommendationShown': True}"
OAU-2zCkUGaMfaSaAAAI,1618195779,"{'participantId': 'iswbEgz7w3KE', 'appMode': 'movies', 'interactionAt': 1618195777498, 'interactionType': 'save_selection', 'currentScenario': 3, 'selectedId': 48, 'recommendationShown': True}"
OAU-2zCkUGaMfaSaAAAI,1618195798,"{'participantId': 'iswbEgz7w3KE', 'appMode': 'movies', 'interactionAt': 1618195796165, 'interactionType': 'card_clicked', 'currentScenario': 4, 'selectedId': 10, 'recommendationShown': False}"
OAU-2zCkUGaMfaSaAAAI,1618195799,"{'participantId': 'iswbEgz7w3KE', 'appMode': 'movies', 'interactionAt': 1618195797572, 'interactionType': 'save_selection', 'currentScenario': 4, 'selectedId': 10, 'recommendationShown': False}"
OAU-2zCkUGaMfaSaAAAI,1618195802,"{'participantId': 'iswbEgz7w3KE', 'appMode': 'movies', 'interactionAt': 1618195800195, 'interactionType': 'continue', 'currentScenario': 4, 'selectedId': -1, 'recommendationShown': True}"
OAU-2zCkUGaMfaSaAAAI,1618195810,"{'participantId': 'iswbEgz7w3KE', 'appMode': 'movies', 'interactionAt': 1618195808269, 'interactionType': 'get_recommendation', 'currentScenario': 5, 'selectedId': -1, 'recommendationShown': True}"
