sid,processed_at,inputs
u3BWzwjWwEuZAsjuAAAF,1617919657,"{'participantId': 'kdSlRblQt77j', 'appMode': 'practice', 'interactionAt': 1617919657110, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
u3BWzwjWwEuZAsjuAAAF,1617919703,"{'participantId': 'kdSlRblQt77j', 'appMode': 'practice', 'interactionAt': 1617919703372, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
u3BWzwjWwEuZAsjuAAAF,1617919706,"{'participantId': 'kdSlRblQt77j', 'appMode': 'practice', 'interactionAt': 1617919706053, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
u3BWzwjWwEuZAsjuAAAF,1617919714,"{'participantId': 'kdSlRblQt77j', 'appMode': 'practice', 'interactionAt': 1617919714471, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
37Y2G77EgG5naT1qAAAH,1617919954,"{'participantId': 'kdSlRblQt77j', 'appMode': 'movies', 'interactionAt': 1617919954015, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
37Y2G77EgG5naT1qAAAH,1617919992,"{'participantId': 'kdSlRblQt77j', 'appMode': 'movies', 'interactionAt': 1617919992819, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
37Y2G77EgG5naT1qAAAH,1617919996,"{'participantId': 'kdSlRblQt77j', 'appMode': 'movies', 'interactionAt': 1617919996664, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
37Y2G77EgG5naT1qAAAH,1617920019,"{'participantId': 'kdSlRblQt77j', 'appMode': 'movies', 'interactionAt': 1617920019878, 'interactionType': 'continue', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
37Y2G77EgG5naT1qAAAH,1617920036,"{'participantId': 'kdSlRblQt77j', 'appMode': 'movies', 'interactionAt': 1617920036542, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 6, 'recommendationShown': False}"
37Y2G77EgG5naT1qAAAH,1617920038,"{'participantId': 'kdSlRblQt77j', 'appMode': 'movies', 'interactionAt': 1617920038268, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 6, 'recommendationShown': False}"
37Y2G77EgG5naT1qAAAH,1617920074,"{'participantId': 'kdSlRblQt77j', 'appMode': 'movies', 'interactionAt': 1617920074783, 'interactionType': 'continue', 'currentScenario': 1, 'selectedId': -1, 'recommendationShown': True}"
37Y2G77EgG5naT1qAAAH,1617920078,"{'participantId': 'kdSlRblQt77j', 'appMode': 'movies', 'interactionAt': 1617920078641, 'interactionType': 'card_clicked', 'currentScenario': 2, 'selectedId': 37, 'recommendationShown': False}"
37Y2G77EgG5naT1qAAAH,1617920080,"{'participantId': 'kdSlRblQt77j', 'appMode': 'movies', 'interactionAt': 1617920080376, 'interactionType': 'save_selection', 'currentScenario': 2, 'selectedId': 37, 'recommendationShown': False}"
37Y2G77EgG5naT1qAAAH,1617920090,"{'participantId': 'kdSlRblQt77j', 'appMode': 'movies', 'interactionAt': 1617920090445, 'interactionType': 'continue', 'currentScenario': 2, 'selectedId': -1, 'recommendationShown': True}"
37Y2G77EgG5naT1qAAAH,1617920100,"{'participantId': 'kdSlRblQt77j', 'appMode': 'movies', 'interactionAt': 1617920100422, 'interactionType': 'card_clicked', 'currentScenario': 3, 'selectedId': 48, 'recommendationShown': False}"
37Y2G77EgG5naT1qAAAH,1617920101,"{'participantId': 'kdSlRblQt77j', 'appMode': 'movies', 'interactionAt': 1617920101894, 'interactionType': 'save_selection', 'currentScenario': 3, 'selectedId': 48, 'recommendationShown': False}"
37Y2G77EgG5naT1qAAAH,1617920113,"{'participantId': 'kdSlRblQt77j', 'appMode': 'movies', 'interactionAt': 1617920113686, 'interactionType': 'continue', 'currentScenario': 3, 'selectedId': -1, 'recommendationShown': True}"
37Y2G77EgG5naT1qAAAH,1617920119,"{'participantId': 'kdSlRblQt77j', 'appMode': 'movies', 'interactionAt': 1617920119256, 'interactionType': 'card_clicked', 'currentScenario': 4, 'selectedId': 10, 'recommendationShown': False}"
37Y2G77EgG5naT1qAAAH,1617920120,"{'participantId': 'kdSlRblQt77j', 'appMode': 'movies', 'interactionAt': 1617920120522, 'interactionType': 'save_selection', 'currentScenario': 4, 'selectedId': 10, 'recommendationShown': False}"
37Y2G77EgG5naT1qAAAH,1617920135,"{'participantId': 'kdSlRblQt77j', 'appMode': 'movies', 'interactionAt': 1617920135713, 'interactionType': 'continue', 'currentScenario': 4, 'selectedId': -1, 'recommendationShown': True}"
37Y2G77EgG5naT1qAAAH,1617920142,"{'participantId': 'kdSlRblQt77j', 'appMode': 'movies', 'interactionAt': 1617920142175, 'interactionType': 'card_clicked', 'currentScenario': 5, 'selectedId': 40, 'recommendationShown': False}"
37Y2G77EgG5naT1qAAAH,1617920143,"{'participantId': 'kdSlRblQt77j', 'appMode': 'movies', 'interactionAt': 1617920143846, 'interactionType': 'save_selection', 'currentScenario': 5, 'selectedId': 40, 'recommendationShown': False}"
37Y2G77EgG5naT1qAAAH,1617920155,"{'participantId': 'kdSlRblQt77j', 'appMode': 'movies', 'interactionAt': 1617920155103, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
RtP4RqNwYrdyZ638AAAJ,1617920200,"{'participantId': 'kdSlRblQt77j', 'appMode': 'hiring', 'interactionAt': 1617920200799, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
RtP4RqNwYrdyZ638AAAJ,1617920218,"{'participantId': 'kdSlRblQt77j', 'appMode': 'hiring', 'interactionAt': 1617920218392, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 28, 'recommendationShown': False}"
RtP4RqNwYrdyZ638AAAJ,1617920220,"{'participantId': 'kdSlRblQt77j', 'appMode': 'hiring', 'interactionAt': 1617920219987, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 28, 'recommendationShown': False}"
RtP4RqNwYrdyZ638AAAJ,1617920232,"{'participantId': 'kdSlRblQt77j', 'appMode': 'hiring', 'interactionAt': 1617920232410, 'interactionType': 'continue', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
RtP4RqNwYrdyZ638AAAJ,1617920241,"{'participantId': 'kdSlRblQt77j', 'appMode': 'hiring', 'interactionAt': 1617920241788, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 4, 'recommendationShown': False}"
