sid,processed_at,inputs
--cnV_xEVQfbd2tSAABw,1617901389,"{'participantId': 'mYSzFPXnkOdd', 'appMode': 'practice', 'interactionAt': 1617901389049, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
--cnV_xEVQfbd2tSAABw,1617901424,"{'participantId': 'mYSzFPXnkOdd', 'appMode': 'practice', 'interactionAt': 1617901423685, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 1, 'recommendationShown': False}"
--cnV_xEVQfbd2tSAABw,1617901425,"{'participantId': 'mYSzFPXnkOdd', 'appMode': 'practice', 'interactionAt': 1617901424916, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
--cnV_xEVQfbd2tSAABw,1617901429,"{'participantId': 'mYSzFPXnkOdd', 'appMode': 'practice', 'interactionAt': 1617901429590, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
--cnV_xEVQfbd2tSAABw,1617901442,"{'participantId': 'mYSzFPXnkOdd', 'appMode': 'practice', 'interactionAt': 1617901442228, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
9IS4i1eCmHIzItMvAAB0,1617901553,"{'participantId': 'mYSzFPXnkOdd', 'appMode': 'hiring', 'interactionAt': 1617901553456, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
9IS4i1eCmHIzItMvAAB0,1617901575,"{'participantId': 'mYSzFPXnkOdd', 'appMode': 'hiring', 'interactionAt': 1617901574942, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 28, 'recommendationShown': False}"
9IS4i1eCmHIzItMvAAB0,1617901578,"{'participantId': 'mYSzFPXnkOdd', 'appMode': 'hiring', 'interactionAt': 1617901578524, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 28, 'recommendationShown': False}"
9IS4i1eCmHIzItMvAAB0,1617901583,"{'participantId': 'mYSzFPXnkOdd', 'appMode': 'hiring', 'interactionAt': 1617901583178, 'interactionType': 'continue', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
9IS4i1eCmHIzItMvAAB0,1617901595,"{'participantId': 'mYSzFPXnkOdd', 'appMode': 'hiring', 'interactionAt': 1617901595595, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 4, 'recommendationShown': False}"
9IS4i1eCmHIzItMvAAB0,1617901597,"{'participantId': 'mYSzFPXnkOdd', 'appMode': 'hiring', 'interactionAt': 1617901597278, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 4, 'recommendationShown': False}"
9IS4i1eCmHIzItMvAAB0,1617901604,"{'participantId': 'mYSzFPXnkOdd', 'appMode': 'hiring', 'interactionAt': 1617901603748, 'interactionType': 'continue', 'currentScenario': 1, 'selectedId': -1, 'recommendationShown': True}"
9IS4i1eCmHIzItMvAAB0,1617901615,"{'participantId': 'mYSzFPXnkOdd', 'appMode': 'hiring', 'interactionAt': 1617901615051, 'interactionType': 'card_clicked', 'currentScenario': 2, 'selectedId': 12, 'recommendationShown': False}"
9IS4i1eCmHIzItMvAAB0,1617901616,"{'participantId': 'mYSzFPXnkOdd', 'appMode': 'hiring', 'interactionAt': 1617901616159, 'interactionType': 'save_selection', 'currentScenario': 2, 'selectedId': 12, 'recommendationShown': False}"
