sid,processed_at,inputs
-Q8vJVGupRcTAnHoAAAF,1618276922,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'practice', 'interactionAt': 1618276922532, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
-Q8vJVGupRcTAnHoAAAF,1618276963,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'practice', 'interactionAt': 1618276963871, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
-Q8vJVGupRcTAnHoAAAF,1618276974,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'practice', 'interactionAt': 1618276974053, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
-Q8vJVGupRcTAnHoAAAF,1618276993,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'practice', 'interactionAt': 1618276992920, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
QWxxHt8zY3iC71baAAAH,1618277183,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'movies', 'interactionAt': 1618277182947, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
QWxxHt8zY3iC71baAAAH,1618277212,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'movies', 'interactionAt': 1618277211997, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': False}"
QWxxHt8zY3iC71baAAAH,1618277214,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'movies', 'interactionAt': 1618277214794, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': False}"
QWxxHt8zY3iC71baAAAH,1618277224,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'movies', 'interactionAt': 1618277224074, 'interactionType': 'continue', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
QWxxHt8zY3iC71baAAAH,1618277244,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'movies', 'interactionAt': 1618277244326, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 7, 'recommendationShown': False}"
QWxxHt8zY3iC71baAAAH,1618277245,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'movies', 'interactionAt': 1618277245744, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 7, 'recommendationShown': False}"
QWxxHt8zY3iC71baAAAH,1618277255,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'movies', 'interactionAt': 1618277255078, 'interactionType': 'continue', 'currentScenario': 1, 'selectedId': -1, 'recommendationShown': True}"
QWxxHt8zY3iC71baAAAH,1618277261,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'movies', 'interactionAt': 1618277261339, 'interactionType': 'card_clicked', 'currentScenario': 2, 'selectedId': 37, 'recommendationShown': False}"
QWxxHt8zY3iC71baAAAH,1618277263,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'movies', 'interactionAt': 1618277263191, 'interactionType': 'save_selection', 'currentScenario': 2, 'selectedId': 37, 'recommendationShown': False}"
QWxxHt8zY3iC71baAAAH,1618277270,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'movies', 'interactionAt': 1618277270841, 'interactionType': 'continue', 'currentScenario': 2, 'selectedId': -1, 'recommendationShown': True}"
QWxxHt8zY3iC71baAAAH,1618277283,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'movies', 'interactionAt': 1618277283279, 'interactionType': 'card_clicked', 'currentScenario': 3, 'selectedId': 48, 'recommendationShown': False}"
QWxxHt8zY3iC71baAAAH,1618277284,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'movies', 'interactionAt': 1618277284854, 'interactionType': 'save_selection', 'currentScenario': 3, 'selectedId': 48, 'recommendationShown': False}"
QWxxHt8zY3iC71baAAAH,1618277290,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'movies', 'interactionAt': 1618277290659, 'interactionType': 'continue', 'currentScenario': 3, 'selectedId': -1, 'recommendationShown': True}"
QWxxHt8zY3iC71baAAAH,1618277303,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'movies', 'interactionAt': 1618277303560, 'interactionType': 'card_clicked', 'currentScenario': 4, 'selectedId': 10, 'recommendationShown': False}"
QWxxHt8zY3iC71baAAAH,1618277305,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'movies', 'interactionAt': 1618277305381, 'interactionType': 'save_selection', 'currentScenario': 4, 'selectedId': 10, 'recommendationShown': False}"
QWxxHt8zY3iC71baAAAH,1618277308,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'movies', 'interactionAt': 1618277308711, 'interactionType': 'continue', 'currentScenario': 4, 'selectedId': -1, 'recommendationShown': True}"
QWxxHt8zY3iC71baAAAH,1618277315,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'movies', 'interactionAt': 1618277315230, 'interactionType': 'card_clicked', 'currentScenario': 5, 'selectedId': 47, 'recommendationShown': False}"
QWxxHt8zY3iC71baAAAH,1618277317,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'movies', 'interactionAt': 1618277317013, 'interactionType': 'save_selection', 'currentScenario': 5, 'selectedId': 47, 'recommendationShown': False}"
QWxxHt8zY3iC71baAAAH,1618277322,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'movies', 'interactionAt': 1618277322569, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
VuYW9OKfd22kyt55AAAJ,1618277331,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'hiring', 'interactionAt': 1618277331678, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
VuYW9OKfd22kyt55AAAJ,1618277340,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'hiring', 'interactionAt': 1618277340704, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 8, 'recommendationShown': False}"
VuYW9OKfd22kyt55AAAJ,1618277342,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'hiring', 'interactionAt': 1618277342664, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 8, 'recommendationShown': False}"
VuYW9OKfd22kyt55AAAJ,1618277345,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'hiring', 'interactionAt': 1618277345439, 'interactionType': 'continue', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
VuYW9OKfd22kyt55AAAJ,1618277359,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'hiring', 'interactionAt': 1618277359719, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 5, 'recommendationShown': False}"
VuYW9OKfd22kyt55AAAJ,1618277361,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'hiring', 'interactionAt': 1618277361590, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 5, 'recommendationShown': False}"
VuYW9OKfd22kyt55AAAJ,1618277364,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'hiring', 'interactionAt': 1618277364575, 'interactionType': 'continue', 'currentScenario': 1, 'selectedId': -1, 'recommendationShown': True}"
VuYW9OKfd22kyt55AAAJ,1618277374,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'hiring', 'interactionAt': 1618277374881, 'interactionType': 'card_clicked', 'currentScenario': 2, 'selectedId': 12, 'recommendationShown': False}"
VuYW9OKfd22kyt55AAAJ,1618277376,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'hiring', 'interactionAt': 1618277376447, 'interactionType': 'save_selection', 'currentScenario': 2, 'selectedId': 12, 'recommendationShown': False}"
VuYW9OKfd22kyt55AAAJ,1618277380,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'hiring', 'interactionAt': 1618277380010, 'interactionType': 'continue', 'currentScenario': 2, 'selectedId': -1, 'recommendationShown': True}"
VuYW9OKfd22kyt55AAAJ,1618277387,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'hiring', 'interactionAt': 1618277387236, 'interactionType': 'card_clicked', 'currentScenario': 3, 'selectedId': 18, 'recommendationShown': False}"
VuYW9OKfd22kyt55AAAJ,1618277388,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'hiring', 'interactionAt': 1618277388733, 'interactionType': 'save_selection', 'currentScenario': 3, 'selectedId': 18, 'recommendationShown': False}"
VuYW9OKfd22kyt55AAAJ,1618277395,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'hiring', 'interactionAt': 1618277395444, 'interactionType': 'continue', 'currentScenario': 3, 'selectedId': -1, 'recommendationShown': True}"
VuYW9OKfd22kyt55AAAJ,1618277406,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'hiring', 'interactionAt': 1618277406152, 'interactionType': 'card_clicked', 'currentScenario': 4, 'selectedId': 32, 'recommendationShown': False}"
VuYW9OKfd22kyt55AAAJ,1618277407,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'hiring', 'interactionAt': 1618277407896, 'interactionType': 'save_selection', 'currentScenario': 4, 'selectedId': 32, 'recommendationShown': False}"
VuYW9OKfd22kyt55AAAJ,1618277412,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'hiring', 'interactionAt': 1618277412086, 'interactionType': 'continue', 'currentScenario': 4, 'selectedId': -1, 'recommendationShown': True}"
VuYW9OKfd22kyt55AAAJ,1618277435,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'hiring', 'interactionAt': 1618277434995, 'interactionType': 'card_clicked', 'currentScenario': 5, 'selectedId': 42, 'recommendationShown': False}"
VuYW9OKfd22kyt55AAAJ,1618277436,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'hiring', 'interactionAt': 1618277436118, 'interactionType': 'save_selection', 'currentScenario': 5, 'selectedId': 42, 'recommendationShown': False}"
VuYW9OKfd22kyt55AAAJ,1618277441,"{'participantId': '0jjk2LtlRwXu', 'appMode': 'hiring', 'interactionAt': 1618277441386, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
