sid,processed_at,inputs
WhvPF1yUcvU56U0FAABH,1617898310,"{'participantId': 'BDIPCGcOdllu', 'appMode': 'practice', 'interactionAt': 1617898310217, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
WhvPF1yUcvU56U0FAABH,1617898478,"{'participantId': 'BDIPCGcOdllu', 'appMode': 'practice', 'interactionAt': 1617898478180, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 3, 'recommendationShown': False}"
WhvPF1yUcvU56U0FAABH,1617898483,"{'participantId': 'BDIPCGcOdllu', 'appMode': 'practice', 'interactionAt': 1617898482508, 'interactionType': 'get_recommendation', 'currentScenario': 0, 'selectedId': 3, 'recommendationShown': True}"
WhvPF1yUcvU56U0FAABH,1617898487,"{'participantId': 'BDIPCGcOdllu', 'appMode': 'practice', 'interactionAt': 1617898487163, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 3, 'recommendationShown': True}"
WhvPF1yUcvU56U0FAABH,1617898490,"{'participantId': 'BDIPCGcOdllu', 'appMode': 'practice', 'interactionAt': 1617898490218, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 3, 'recommendationShown': True}"
WhvPF1yUcvU56U0FAABH,1617898504,"{'participantId': 'BDIPCGcOdllu', 'appMode': 'practice', 'interactionAt': 1617898503514, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
jodi5a6QD4UX-liwAABT,1617899035,"{'participantId': 'BDIPCGcOdllu', 'appMode': 'hiring', 'interactionAt': 1617899035018, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
jodi5a6QD4UX-liwAABT,1617899079,"{'participantId': 'BDIPCGcOdllu', 'appMode': 'hiring', 'interactionAt': 1617899078852, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 8, 'recommendationShown': False}"
jodi5a6QD4UX-liwAABT,1617899080,"{'participantId': 'BDIPCGcOdllu', 'appMode': 'hiring', 'interactionAt': 1617899079740, 'interactionType': 'get_recommendation', 'currentScenario': 0, 'selectedId': 8, 'recommendationShown': True}"
jodi5a6QD4UX-liwAABT,1617899083,"{'participantId': 'BDIPCGcOdllu', 'appMode': 'hiring', 'interactionAt': 1617899082706, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 8, 'recommendationShown': True}"
jodi5a6QD4UX-liwAABT,1617899141,"{'participantId': 'BDIPCGcOdllu', 'appMode': 'hiring', 'interactionAt': 1617899140674, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 1, 'recommendationShown': False}"
