sid,processed_at,inputs
XlMA7dSwzc-WnEQ_AACK,1617902012,"{'participantId': 'WvfHfFBIfx6m', 'appMode': 'practice', 'interactionAt': 1617902012336, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
XlMA7dSwzc-WnEQ_AACK,1617902050,"{'participantId': 'WvfHfFBIfx6m', 'appMode': 'practice', 'interactionAt': 1617902050788, 'interactionType': 'get_recommendation', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
XlMA7dSwzc-WnEQ_AACK,1617902069,"{'participantId': 'WvfHfFBIfx6m', 'appMode': 'practice', 'interactionAt': 1617902069289, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 3, 'recommendationShown': True}"
XlMA7dSwzc-WnEQ_AACK,1617902071,"{'participantId': 'WvfHfFBIfx6m', 'appMode': 'practice', 'interactionAt': 1617902071771, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 3, 'recommendationShown': True}"
XlMA7dSwzc-WnEQ_AACK,1617902074,"{'participantId': 'WvfHfFBIfx6m', 'appMode': 'practice', 'interactionAt': 1617902074037, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
__XDhjex8bQyqssFAACO,1617902283,"{'participantId': 'WvfHfFBIfx6m', 'appMode': 'movies', 'interactionAt': 1617902283708, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
__XDhjex8bQyqssFAACO,1617902290,"{'participantId': 'WvfHfFBIfx6m', 'appMode': 'movies', 'interactionAt': 1617902290642, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
__XDhjex8bQyqssFAACO,1617902292,"{'participantId': 'WvfHfFBIfx6m', 'appMode': 'movies', 'interactionAt': 1617902292592, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
__XDhjex8bQyqssFAACO,1617902301,"{'participantId': 'WvfHfFBIfx6m', 'appMode': 'movies', 'interactionAt': 1617902301966, 'interactionType': 'continue', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
__XDhjex8bQyqssFAACO,1617902321,"{'participantId': 'WvfHfFBIfx6m', 'appMode': 'movies', 'interactionAt': 1617902321447, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 7, 'recommendationShown': False}"
