sid,processed_at,inputs
urFz8d4ptVBpH8ydAAAP,1618002906,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'practice', 'interactionAt': 1618002906674, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
urFz8d4ptVBpH8ydAAAP,1618002998,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'practice', 'interactionAt': 1618002998321, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
urFz8d4ptVBpH8ydAAAP,1618003000,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'practice', 'interactionAt': 1618002999819, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
urFz8d4ptVBpH8ydAAAP,1618003014,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'practice', 'interactionAt': 1618003013916, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
j0icYjZKVBYYHb6WAAAR,1618003596,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'movies', 'interactionAt': 1618003595767, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
j0icYjZKVBYYHb6WAAAR,1618003634,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'movies', 'interactionAt': 1618003634322, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': False}"
j0icYjZKVBYYHb6WAAAR,1618003636,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'movies', 'interactionAt': 1618003635847, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': False}"
j0icYjZKVBYYHb6WAAAR,1618003643,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'movies', 'interactionAt': 1618003643393, 'interactionType': 'continue', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
j0icYjZKVBYYHb6WAAAR,1618003672,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'movies', 'interactionAt': 1618003671924, 'interactionType': 'get_recommendation', 'currentScenario': 1, 'selectedId': -1, 'recommendationShown': True}"
j0icYjZKVBYYHb6WAAAR,1618003682,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'movies', 'interactionAt': 1618003681921, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 6, 'recommendationShown': True}"
j0icYjZKVBYYHb6WAAAR,1618003692,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'movies', 'interactionAt': 1618003691954, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 26, 'recommendationShown': True}"
j0icYjZKVBYYHb6WAAAR,1618003697,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'movies', 'interactionAt': 1618003697222, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 6, 'recommendationShown': True}"
j0icYjZKVBYYHb6WAAAR,1618003701,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'movies', 'interactionAt': 1618003701398, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 6, 'recommendationShown': True}"
j0icYjZKVBYYHb6WAAAR,1618003714,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'movies', 'interactionAt': 1618003714612, 'interactionType': 'card_clicked', 'currentScenario': 2, 'selectedId': 37, 'recommendationShown': False}"
j0icYjZKVBYYHb6WAAAR,1618003716,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'movies', 'interactionAt': 1618003715754, 'interactionType': 'save_selection', 'currentScenario': 2, 'selectedId': 37, 'recommendationShown': False}"
j0icYjZKVBYYHb6WAAAR,1618003724,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'movies', 'interactionAt': 1618003724190, 'interactionType': 'continue', 'currentScenario': 2, 'selectedId': -1, 'recommendationShown': True}"
j0icYjZKVBYYHb6WAAAR,1618003752,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'movies', 'interactionAt': 1618003752584, 'interactionType': 'card_clicked', 'currentScenario': 3, 'selectedId': 48, 'recommendationShown': False}"
j0icYjZKVBYYHb6WAAAR,1618003754,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'movies', 'interactionAt': 1618003754392, 'interactionType': 'save_selection', 'currentScenario': 3, 'selectedId': 48, 'recommendationShown': False}"
j0icYjZKVBYYHb6WAAAR,1618003761,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'movies', 'interactionAt': 1618003760963, 'interactionType': 'continue', 'currentScenario': 3, 'selectedId': -1, 'recommendationShown': True}"
j0icYjZKVBYYHb6WAAAR,1618003779,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'movies', 'interactionAt': 1618003779149, 'interactionType': 'card_clicked', 'currentScenario': 4, 'selectedId': 15, 'recommendationShown': False}"
j0icYjZKVBYYHb6WAAAR,1618003780,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'movies', 'interactionAt': 1618003780371, 'interactionType': 'save_selection', 'currentScenario': 4, 'selectedId': 15, 'recommendationShown': False}"
j0icYjZKVBYYHb6WAAAR,1618003786,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'movies', 'interactionAt': 1618003786303, 'interactionType': 'continue', 'currentScenario': 4, 'selectedId': -1, 'recommendationShown': True}"
j0icYjZKVBYYHb6WAAAR,1618003812,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'movies', 'interactionAt': 1618003812683, 'interactionType': 'card_clicked', 'currentScenario': 5, 'selectedId': 47, 'recommendationShown': False}"
j0icYjZKVBYYHb6WAAAR,1618003815,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'movies', 'interactionAt': 1618003814768, 'interactionType': 'save_selection', 'currentScenario': 5, 'selectedId': 47, 'recommendationShown': False}"
j0icYjZKVBYYHb6WAAAR,1618003820,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'movies', 'interactionAt': 1618003820077, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
olKkl0U14UW0j_mkAAAT,1618003831,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'hiring', 'interactionAt': 1618003830892, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
olKkl0U14UW0j_mkAAAT,1618003848,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'hiring', 'interactionAt': 1618003847934, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 8, 'recommendationShown': False}"
olKkl0U14UW0j_mkAAAT,1618003850,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'hiring', 'interactionAt': 1618003850367, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 8, 'recommendationShown': False}"
olKkl0U14UW0j_mkAAAT,1618003853,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'hiring', 'interactionAt': 1618003853306, 'interactionType': 'continue', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
olKkl0U14UW0j_mkAAAT,1618003884,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'hiring', 'interactionAt': 1618003884656, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 1, 'recommendationShown': False}"
olKkl0U14UW0j_mkAAAT,1618003886,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'hiring', 'interactionAt': 1618003885885, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 1, 'recommendationShown': False}"
olKkl0U14UW0j_mkAAAT,1618003888,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'hiring', 'interactionAt': 1618003888350, 'interactionType': 'continue', 'currentScenario': 1, 'selectedId': -1, 'recommendationShown': True}"
olKkl0U14UW0j_mkAAAT,1618003903,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'hiring', 'interactionAt': 1618003903222, 'interactionType': 'card_clicked', 'currentScenario': 2, 'selectedId': 12, 'recommendationShown': False}"
olKkl0U14UW0j_mkAAAT,1618003905,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'hiring', 'interactionAt': 1618003905655, 'interactionType': 'save_selection', 'currentScenario': 2, 'selectedId': 12, 'recommendationShown': False}"
olKkl0U14UW0j_mkAAAT,1618003915,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'hiring', 'interactionAt': 1618003915641, 'interactionType': 'continue', 'currentScenario': 2, 'selectedId': -1, 'recommendationShown': True}"
olKkl0U14UW0j_mkAAAT,1618003930,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'hiring', 'interactionAt': 1618003930188, 'interactionType': 'card_clicked', 'currentScenario': 3, 'selectedId': 25, 'recommendationShown': False}"
olKkl0U14UW0j_mkAAAT,1618003931,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'hiring', 'interactionAt': 1618003931237, 'interactionType': 'save_selection', 'currentScenario': 3, 'selectedId': 25, 'recommendationShown': False}"
olKkl0U14UW0j_mkAAAT,1618003936,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'hiring', 'interactionAt': 1618003935711, 'interactionType': 'continue', 'currentScenario': 3, 'selectedId': -1, 'recommendationShown': True}"
olKkl0U14UW0j_mkAAAT,1618003937,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'hiring', 'interactionAt': 1618003937348, 'interactionType': 'get_recommendation', 'currentScenario': 4, 'selectedId': -1, 'recommendationShown': True}"
olKkl0U14UW0j_mkAAAT,1618003952,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'hiring', 'interactionAt': 1618003952620, 'interactionType': 'card_clicked', 'currentScenario': 4, 'selectedId': 48, 'recommendationShown': True}"
olKkl0U14UW0j_mkAAAT,1618003956,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'hiring', 'interactionAt': 1618003956050, 'interactionType': 'save_selection', 'currentScenario': 4, 'selectedId': 48, 'recommendationShown': True}"
olKkl0U14UW0j_mkAAAT,1618003970,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'hiring', 'interactionAt': 1618003970047, 'interactionType': 'card_clicked', 'currentScenario': 5, 'selectedId': 45, 'recommendationShown': False}"
olKkl0U14UW0j_mkAAAT,1618003971,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'hiring', 'interactionAt': 1618003971011, 'interactionType': 'save_selection', 'currentScenario': 5, 'selectedId': 45, 'recommendationShown': False}"
olKkl0U14UW0j_mkAAAT,1618003975,"{'participantId': 'YqgrTs5hzcsj', 'appMode': 'hiring', 'interactionAt': 1618003975467, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
