sid,processed_at,inputs
Ng2ncJYMwvoKMhaGAAAG,1618269753,"{'participantId': 'fimUvwh9JPRU', 'appMode': 'practice', 'interactionAt': 1618269758121, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
Ng2ncJYMwvoKMhaGAAAG,1618269814,"{'participantId': 'fimUvwh9JPRU', 'appMode': 'practice', 'interactionAt': 1618269819829, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 3, 'recommendationShown': False}"
Ng2ncJYMwvoKMhaGAAAG,1618269816,"{'participantId': 'fimUvwh9JPRU', 'appMode': 'practice', 'interactionAt': 1618269821733, 'interactionType': 'get_recommendation', 'currentScenario': 0, 'selectedId': 3, 'recommendationShown': True}"
Ng2ncJYMwvoKMhaGAAAG,1618269831,"{'participantId': 'fimUvwh9JPRU', 'appMode': 'practice', 'interactionAt': 1618269836056, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 3, 'recommendationShown': True}"
Ng2ncJYMwvoKMhaGAAAG,1618269832,"{'participantId': 'fimUvwh9JPRU', 'appMode': 'practice', 'interactionAt': 1618269837212, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 3, 'recommendationShown': True}"
Ng2ncJYMwvoKMhaGAAAG,1618269840,"{'participantId': 'fimUvwh9JPRU', 'appMode': 'practice', 'interactionAt': 1618269845076, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
xYD5YeTt3hOZWaICAAAI,1618270029,"{'participantId': 'fimUvwh9JPRU', 'appMode': 'movies', 'interactionAt': 1618270034434, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
xYD5YeTt3hOZWaICAAAI,1618270059,"{'participantId': 'fimUvwh9JPRU', 'appMode': 'movies', 'interactionAt': 1618270064300, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': False}"
xYD5YeTt3hOZWaICAAAI,1618270060,"{'participantId': 'fimUvwh9JPRU', 'appMode': 'movies', 'interactionAt': 1618270065713, 'interactionType': 'get_recommendation', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': True}"
xYD5YeTt3hOZWaICAAAI,1618270065,"{'participantId': 'fimUvwh9JPRU', 'appMode': 'movies', 'interactionAt': 1618270070229, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': True}"
xYD5YeTt3hOZWaICAAAI,1618270077,"{'participantId': 'fimUvwh9JPRU', 'appMode': 'movies', 'interactionAt': 1618270082577, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 7, 'recommendationShown': False}"
xYD5YeTt3hOZWaICAAAI,1618270080,"{'participantId': 'fimUvwh9JPRU', 'appMode': 'movies', 'interactionAt': 1618270085304, 'interactionType': 'get_recommendation', 'currentScenario': 1, 'selectedId': 7, 'recommendationShown': True}"
xYD5YeTt3hOZWaICAAAI,1618270084,"{'participantId': 'fimUvwh9JPRU', 'appMode': 'movies', 'interactionAt': 1618270089753, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 7, 'recommendationShown': True}"
xYD5YeTt3hOZWaICAAAI,1618270099,"{'participantId': 'fimUvwh9JPRU', 'appMode': 'movies', 'interactionAt': 1618270104696, 'interactionType': 'card_clicked', 'currentScenario': 2, 'selectedId': 37, 'recommendationShown': False}"
xYD5YeTt3hOZWaICAAAI,1618270101,"{'participantId': 'fimUvwh9JPRU', 'appMode': 'movies', 'interactionAt': 1618270106143, 'interactionType': 'get_recommendation', 'currentScenario': 2, 'selectedId': 37, 'recommendationShown': True}"
xYD5YeTt3hOZWaICAAAI,1618270109,"{'participantId': 'fimUvwh9JPRU', 'appMode': 'movies', 'interactionAt': 1618270114599, 'interactionType': 'save_selection', 'currentScenario': 2, 'selectedId': 37, 'recommendationShown': True}"
xYD5YeTt3hOZWaICAAAI,1618270116,"{'participantId': 'fimUvwh9JPRU', 'appMode': 'movies', 'interactionAt': 1618270121097, 'interactionType': 'card_clicked', 'currentScenario': 3, 'selectedId': 20, 'recommendationShown': False}"
xYD5YeTt3hOZWaICAAAI,1618270119,"{'participantId': 'fimUvwh9JPRU', 'appMode': 'movies', 'interactionAt': 1618270124716, 'interactionType': 'get_recommendation', 'currentScenario': 3, 'selectedId': 20, 'recommendationShown': True}"
