sid,processed_at,inputs
3K3Sj0GLnNDls56RAAAJ,1618035284,"{'participantId': 'jHPt9jOOmoXM', 'appMode': 'practice', 'interactionAt': 1618035285271, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
3K3Sj0GLnNDls56RAAAJ,1618035290,"{'participantId': 'jHPt9jOOmoXM', 'appMode': 'practice', 'interactionAt': 1618035290735, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
3K3Sj0GLnNDls56RAAAJ,1618035294,"{'participantId': 'jHPt9jOOmoXM', 'appMode': 'practice', 'interactionAt': 1618035294763, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
3K3Sj0GLnNDls56RAAAJ,1618035308,"{'participantId': 'jHPt9jOOmoXM', 'appMode': 'practice', 'interactionAt': 1618035308519, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
G6XpYOiWbWqe206nAAAL,1618035802,"{'participantId': 'jHPt9jOOmoXM', 'appMode': 'movies', 'interactionAt': 1618035802800, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
G6XpYOiWbWqe206nAAAL,1618035842,"{'participantId': 'jHPt9jOOmoXM', 'appMode': 'movies', 'interactionAt': 1618035843299, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 30, 'recommendationShown': False}"
G6XpYOiWbWqe206nAAAL,1618035845,"{'participantId': 'jHPt9jOOmoXM', 'appMode': 'movies', 'interactionAt': 1618035846130, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 30, 'recommendationShown': False}"
G6XpYOiWbWqe206nAAAL,1618035853,"{'participantId': 'jHPt9jOOmoXM', 'appMode': 'movies', 'interactionAt': 1618035853642, 'interactionType': 'continue', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
G6XpYOiWbWqe206nAAAL,1618035877,"{'participantId': 'jHPt9jOOmoXM', 'appMode': 'movies', 'interactionAt': 1618035877565, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 13, 'recommendationShown': False}"
G6XpYOiWbWqe206nAAAL,1618035880,"{'participantId': 'jHPt9jOOmoXM', 'appMode': 'movies', 'interactionAt': 1618035880722, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 13, 'recommendationShown': False}"
G6XpYOiWbWqe206nAAAL,1618035892,"{'participantId': 'jHPt9jOOmoXM', 'appMode': 'movies', 'interactionAt': 1618035892803, 'interactionType': 'continue', 'currentScenario': 1, 'selectedId': -1, 'recommendationShown': True}"
G6XpYOiWbWqe206nAAAL,1618035919,"{'participantId': 'jHPt9jOOmoXM', 'appMode': 'movies', 'interactionAt': 1618035920094, 'interactionType': 'card_clicked', 'currentScenario': 2, 'selectedId': 45, 'recommendationShown': False}"
G6XpYOiWbWqe206nAAAL,1618035923,"{'participantId': 'jHPt9jOOmoXM', 'appMode': 'movies', 'interactionAt': 1618035923390, 'interactionType': 'save_selection', 'currentScenario': 2, 'selectedId': 45, 'recommendationShown': False}"
G6XpYOiWbWqe206nAAAL,1618035929,"{'participantId': 'jHPt9jOOmoXM', 'appMode': 'movies', 'interactionAt': 1618035929328, 'interactionType': 'continue', 'currentScenario': 2, 'selectedId': -1, 'recommendationShown': True}"
G6XpYOiWbWqe206nAAAL,1618035943,"{'participantId': 'jHPt9jOOmoXM', 'appMode': 'movies', 'interactionAt': 1618035943847, 'interactionType': 'card_clicked', 'currentScenario': 3, 'selectedId': 48, 'recommendationShown': False}"
G6XpYOiWbWqe206nAAAL,1618035945,"{'participantId': 'jHPt9jOOmoXM', 'appMode': 'movies', 'interactionAt': 1618035945754, 'interactionType': 'save_selection', 'currentScenario': 3, 'selectedId': 48, 'recommendationShown': False}"
G6XpYOiWbWqe206nAAAL,1618035954,"{'participantId': 'jHPt9jOOmoXM', 'appMode': 'movies', 'interactionAt': 1618035954712, 'interactionType': 'continue', 'currentScenario': 3, 'selectedId': -1, 'recommendationShown': True}"
G6XpYOiWbWqe206nAAAL,1618035972,"{'participantId': 'jHPt9jOOmoXM', 'appMode': 'movies', 'interactionAt': 1618035973111, 'interactionType': 'card_clicked', 'currentScenario': 4, 'selectedId': 15, 'recommendationShown': False}"
