sid,processed_at,inputs
9Hp8mQnHKIUjIaPFAAAP,1617986925,"{'participantId': 'nyEXxPkdgP81', 'appMode': 'practice', 'interactionAt': 1617986926217, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
9Hp8mQnHKIUjIaPFAAAP,1617987023,"{'participantId': 'nyEXxPkdgP81', 'appMode': 'practice', 'interactionAt': 1617987024197, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 3, 'recommendationShown': False}"
9Hp8mQnHKIUjIaPFAAAP,1617987027,"{'participantId': 'nyEXxPkdgP81', 'appMode': 'practice', 'interactionAt': 1617987027595, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 3, 'recommendationShown': False}"
9Hp8mQnHKIUjIaPFAAAP,1617987049,"{'participantId': 'nyEXxPkdgP81', 'appMode': 'practice', 'interactionAt': 1617987050148, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
mYVpxzdcTocuPKWQAAAT,1617987681,"{'participantId': 'nyEXxPkdgP81', 'appMode': 'movies', 'interactionAt': 1617987681433, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
mYVpxzdcTocuPKWQAAAT,1617987705,"{'participantId': 'nyEXxPkdgP81', 'appMode': 'movies', 'interactionAt': 1617987705452, 'interactionType': 'get_recommendation', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
mYVpxzdcTocuPKWQAAAT,1617987710,"{'participantId': 'nyEXxPkdgP81', 'appMode': 'movies', 'interactionAt': 1617987710435, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': True}"
mYVpxzdcTocuPKWQAAAT,1617987722,"{'participantId': 'nyEXxPkdgP81', 'appMode': 'movies', 'interactionAt': 1617987722931, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': True}"
mYVpxzdcTocuPKWQAAAT,1617987736,"{'participantId': 'nyEXxPkdgP81', 'appMode': 'movies', 'interactionAt': 1617987736307, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 7, 'recommendationShown': False}"
mYVpxzdcTocuPKWQAAAT,1617987737,"{'participantId': 'nyEXxPkdgP81', 'appMode': 'movies', 'interactionAt': 1617987737922, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 7, 'recommendationShown': False}"
mYVpxzdcTocuPKWQAAAT,1617987749,"{'participantId': 'nyEXxPkdgP81', 'appMode': 'movies', 'interactionAt': 1617987749307, 'interactionType': 'continue', 'currentScenario': 1, 'selectedId': -1, 'recommendationShown': True}"
mYVpxzdcTocuPKWQAAAT,1617987760,"{'participantId': 'nyEXxPkdgP81', 'appMode': 'movies', 'interactionAt': 1617987760427, 'interactionType': 'card_clicked', 'currentScenario': 2, 'selectedId': 37, 'recommendationShown': False}"
