sid,processed_at,inputs
9OU_sB9cB_hsh_EfAAAh,1617829811,"{'participantId': 'JVzJHaGvh3S3', 'appMode': 'practice', 'interactionAt': 1617829811168, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
9OU_sB9cB_hsh_EfAAAh,1617829813,"{'participantId': 'JVzJHaGvh3S3', 'appMode': 'practice', 'interactionAt': 1617829813705, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 3, 'recommendationShown': False}"
9OU_sB9cB_hsh_EfAAAh,1617829815,"{'participantId': 'JVzJHaGvh3S3', 'appMode': 'practice', 'interactionAt': 1617829815341, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
9OU_sB9cB_hsh_EfAAAh,1617829815,"{'participantId': 'JVzJHaGvh3S3', 'appMode': 'practice', 'interactionAt': 1617829815650, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 1, 'recommendationShown': False}"
9OU_sB9cB_hsh_EfAAAh,1617829815,"{'participantId': 'JVzJHaGvh3S3', 'appMode': 'practice', 'interactionAt': 1617829815951, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
9OU_sB9cB_hsh_EfAAAh,1617829816,"{'participantId': 'JVzJHaGvh3S3', 'appMode': 'practice', 'interactionAt': 1617829816229, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 3, 'recommendationShown': False}"
9OU_sB9cB_hsh_EfAAAh,1617829816,"{'participantId': 'JVzJHaGvh3S3', 'appMode': 'practice', 'interactionAt': 1617829816518, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
9OU_sB9cB_hsh_EfAAAh,1617829816,"{'participantId': 'JVzJHaGvh3S3', 'appMode': 'practice', 'interactionAt': 1617829816807, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 1, 'recommendationShown': False}"
9OU_sB9cB_hsh_EfAAAh,1617829817,"{'participantId': 'JVzJHaGvh3S3', 'appMode': 'practice', 'interactionAt': 1617829817699, 'interactionType': 'get_recommendation', 'currentScenario': 0, 'selectedId': 1, 'recommendationShown': True}"
9OU_sB9cB_hsh_EfAAAh,1617829820,"{'participantId': 'JVzJHaGvh3S3', 'appMode': 'practice', 'interactionAt': 1617829820568, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 1, 'recommendationShown': True}"
9OU_sB9cB_hsh_EfAAAh,1617829824,"{'participantId': 'JVzJHaGvh3S3', 'appMode': 'practice', 'interactionAt': 1617829824621, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
