sid,processed_at,inputs
ycr3WSUXhlnC_cTgAAAD,1617839083,"{'participantId': 'TQlGREhp537U', 'appMode': 'practice', 'interactionAt': 1617839084560, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
ycr3WSUXhlnC_cTgAAAD,1617839097,"{'participantId': 'TQlGREhp537U', 'appMode': 'practice', 'interactionAt': 1617839097927, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 3, 'recommendationShown': False}"
ycr3WSUXhlnC_cTgAAAD,1617839097,"{'participantId': 'TQlGREhp537U', 'appMode': 'practice', 'interactionAt': 1617839098544, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 3, 'recommendationShown': False}"
ycr3WSUXhlnC_cTgAAAD,1617839103,"{'participantId': 'TQlGREhp537U', 'appMode': 'practice', 'interactionAt': 1617839104503, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
5JtTQxNRQWmDhFWmAAAF,1617839124,"{'participantId': 'TQlGREhp537U', 'appMode': 'movies', 'interactionAt': 1617839125416, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
5JtTQxNRQWmDhFWmAAAF,1617839138,"{'participantId': 'TQlGREhp537U', 'appMode': 'movies', 'interactionAt': 1617839139251, 'interactionType': 'get_recommendation', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
5JtTQxNRQWmDhFWmAAAF,1617839141,"{'participantId': 'TQlGREhp537U', 'appMode': 'movies', 'interactionAt': 1617839141713, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': True}"
5JtTQxNRQWmDhFWmAAAF,1617839141,"{'participantId': 'TQlGREhp537U', 'appMode': 'movies', 'interactionAt': 1617839142546, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': True}"
5JtTQxNRQWmDhFWmAAAF,1617839143,"{'participantId': 'TQlGREhp537U', 'appMode': 'movies', 'interactionAt': 1617839143989, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 26, 'recommendationShown': False}"
5JtTQxNRQWmDhFWmAAAF,1617839144,"{'participantId': 'TQlGREhp537U', 'appMode': 'movies', 'interactionAt': 1617839144860, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 26, 'recommendationShown': False}"
5JtTQxNRQWmDhFWmAAAF,1617839146,"{'participantId': 'TQlGREhp537U', 'appMode': 'movies', 'interactionAt': 1617839146707, 'interactionType': 'continue', 'currentScenario': 1, 'selectedId': -1, 'recommendationShown': True}"
5JtTQxNRQWmDhFWmAAAF,1617839147,"{'participantId': 'TQlGREhp537U', 'appMode': 'movies', 'interactionAt': 1617839147945, 'interactionType': 'get_recommendation', 'currentScenario': 2, 'selectedId': -1, 'recommendationShown': True}"
5JtTQxNRQWmDhFWmAAAF,1617839149,"{'participantId': 'TQlGREhp537U', 'appMode': 'movies', 'interactionAt': 1617839150226, 'interactionType': 'card_clicked', 'currentScenario': 2, 'selectedId': 45, 'recommendationShown': True}"
5JtTQxNRQWmDhFWmAAAF,1617839150,"{'participantId': 'TQlGREhp537U', 'appMode': 'movies', 'interactionAt': 1617839150980, 'interactionType': 'save_selection', 'currentScenario': 2, 'selectedId': 45, 'recommendationShown': True}"
5JtTQxNRQWmDhFWmAAAF,1617839151,"{'participantId': 'TQlGREhp537U', 'appMode': 'movies', 'interactionAt': 1617839152470, 'interactionType': 'get_recommendation', 'currentScenario': 3, 'selectedId': -1, 'recommendationShown': True}"
5JtTQxNRQWmDhFWmAAAF,1617839155,"{'participantId': 'TQlGREhp537U', 'appMode': 'movies', 'interactionAt': 1617839155591, 'interactionType': 'card_clicked', 'currentScenario': 3, 'selectedId': 20, 'recommendationShown': True}"
5JtTQxNRQWmDhFWmAAAF,1617839155,"{'participantId': 'TQlGREhp537U', 'appMode': 'movies', 'interactionAt': 1617839156324, 'interactionType': 'save_selection', 'currentScenario': 3, 'selectedId': 20, 'recommendationShown': True}"
5JtTQxNRQWmDhFWmAAAF,1617839157,"{'participantId': 'TQlGREhp537U', 'appMode': 'movies', 'interactionAt': 1617839157889, 'interactionType': 'card_clicked', 'currentScenario': 4, 'selectedId': 15, 'recommendationShown': False}"
5JtTQxNRQWmDhFWmAAAF,1617839158,"{'participantId': 'TQlGREhp537U', 'appMode': 'movies', 'interactionAt': 1617839158636, 'interactionType': 'save_selection', 'currentScenario': 4, 'selectedId': 15, 'recommendationShown': False}"
5JtTQxNRQWmDhFWmAAAF,1617839171,"{'participantId': 'TQlGREhp537U', 'appMode': 'movies', 'interactionAt': 1617839171977, 'interactionType': 'continue', 'currentScenario': 4, 'selectedId': -1, 'recommendationShown': True}"
5JtTQxNRQWmDhFWmAAAF,1617839172,"{'participantId': 'TQlGREhp537U', 'appMode': 'movies', 'interactionAt': 1617839173134, 'interactionType': 'card_clicked', 'currentScenario': 5, 'selectedId': 42, 'recommendationShown': False}"
5JtTQxNRQWmDhFWmAAAF,1617839173,"{'participantId': 'TQlGREhp537U', 'appMode': 'movies', 'interactionAt': 1617839173674, 'interactionType': 'save_selection', 'currentScenario': 5, 'selectedId': 42, 'recommendationShown': False}"
5JtTQxNRQWmDhFWmAAAF,1617839176,"{'participantId': 'TQlGREhp537U', 'appMode': 'movies', 'interactionAt': 1617839176693, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
2s7G_vhyNLrRHy09AAAH,1617839189,"{'participantId': 'TQlGREhp537U', 'appMode': 'hiring', 'interactionAt': 1617839190072, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
2s7G_vhyNLrRHy09AAAH,1617839205,"{'participantId': 'TQlGREhp537U', 'appMode': 'hiring', 'interactionAt': 1617839206396, 'interactionType': 'get_recommendation', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
2s7G_vhyNLrRHy09AAAH,1617839209,"{'participantId': 'TQlGREhp537U', 'appMode': 'hiring', 'interactionAt': 1617839209874, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 8, 'recommendationShown': True}"
2s7G_vhyNLrRHy09AAAH,1617839210,"{'participantId': 'TQlGREhp537U', 'appMode': 'hiring', 'interactionAt': 1617839211344, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 8, 'recommendationShown': True}"
2s7G_vhyNLrRHy09AAAH,1617839215,"{'participantId': 'TQlGREhp537U', 'appMode': 'hiring', 'interactionAt': 1617839215652, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 1, 'recommendationShown': False}"
2s7G_vhyNLrRHy09AAAH,1617839215,"{'participantId': 'TQlGREhp537U', 'appMode': 'hiring', 'interactionAt': 1617839216438, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 1, 'recommendationShown': False}"
2s7G_vhyNLrRHy09AAAH,1617839218,"{'participantId': 'TQlGREhp537U', 'appMode': 'hiring', 'interactionAt': 1617839219138, 'interactionType': 'continue', 'currentScenario': 1, 'selectedId': -1, 'recommendationShown': True}"
2s7G_vhyNLrRHy09AAAH,1617839219,"{'participantId': 'TQlGREhp537U', 'appMode': 'hiring', 'interactionAt': 1617839220152, 'interactionType': 'get_recommendation', 'currentScenario': 2, 'selectedId': -1, 'recommendationShown': True}"
2s7G_vhyNLrRHy09AAAH,1617839221,"{'participantId': 'TQlGREhp537U', 'appMode': 'hiring', 'interactionAt': 1617839222391, 'interactionType': 'card_clicked', 'currentScenario': 2, 'selectedId': 9, 'recommendationShown': True}"
2s7G_vhyNLrRHy09AAAH,1617839222,"{'participantId': 'TQlGREhp537U', 'appMode': 'hiring', 'interactionAt': 1617839223076, 'interactionType': 'save_selection', 'currentScenario': 2, 'selectedId': 9, 'recommendationShown': True}"
2s7G_vhyNLrRHy09AAAH,1617839223,"{'participantId': 'TQlGREhp537U', 'appMode': 'hiring', 'interactionAt': 1617839223613, 'interactionType': 'card_clicked', 'currentScenario': 3, 'selectedId': 25, 'recommendationShown': False}"
2s7G_vhyNLrRHy09AAAH,1617839223,"{'participantId': 'TQlGREhp537U', 'appMode': 'hiring', 'interactionAt': 1617839224319, 'interactionType': 'save_selection', 'currentScenario': 3, 'selectedId': 25, 'recommendationShown': False}"
2s7G_vhyNLrRHy09AAAH,1617839225,"{'participantId': 'TQlGREhp537U', 'appMode': 'hiring', 'interactionAt': 1617839226328, 'interactionType': 'continue', 'currentScenario': 3, 'selectedId': -1, 'recommendationShown': True}"
2s7G_vhyNLrRHy09AAAH,1617839228,"{'participantId': 'TQlGREhp537U', 'appMode': 'hiring', 'interactionAt': 1617839229012, 'interactionType': 'card_clicked', 'currentScenario': 4, 'selectedId': 35, 'recommendationShown': False}"
2s7G_vhyNLrRHy09AAAH,1617839229,"{'participantId': 'TQlGREhp537U', 'appMode': 'hiring', 'interactionAt': 1617839229801, 'interactionType': 'save_selection', 'currentScenario': 4, 'selectedId': 35, 'recommendationShown': False}"
2s7G_vhyNLrRHy09AAAH,1617839233,"{'participantId': 'TQlGREhp537U', 'appMode': 'hiring', 'interactionAt': 1617839234341, 'interactionType': 'continue', 'currentScenario': 4, 'selectedId': -1, 'recommendationShown': True}"
2s7G_vhyNLrRHy09AAAH,1617839249,"{'participantId': 'TQlGREhp537U', 'appMode': 'hiring', 'interactionAt': 1617839248639, 'interactionType': 'card_clicked', 'currentScenario': 5, 'selectedId': 42, 'recommendationShown': False}"
2s7G_vhyNLrRHy09AAAH,1617839249,"{'participantId': 'TQlGREhp537U', 'appMode': 'hiring', 'interactionAt': 1617839249666, 'interactionType': 'save_selection', 'currentScenario': 5, 'selectedId': 42, 'recommendationShown': False}"
2s7G_vhyNLrRHy09AAAH,1617839252,"{'participantId': 'TQlGREhp537U', 'appMode': 'hiring', 'interactionAt': 1617839252949, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
