sid,processed_at,inputs
A-PlPq2CjQLkd3NXAAAb,1617896980,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'practice', 'interactionAt': 1617896980410, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
A-PlPq2CjQLkd3NXAAAb,1617897022,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'practice', 'interactionAt': 1617897022856, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
A-PlPq2CjQLkd3NXAAAb,1617897024,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'practice', 'interactionAt': 1617897024687, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
A-PlPq2CjQLkd3NXAAAb,1617897034,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'practice', 'interactionAt': 1617897034517, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
jsb2U1TafNmEw9S4AAAn,1617897315,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'hiring', 'interactionAt': 1617897315588, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
jsb2U1TafNmEw9S4AAAn,1617897342,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'hiring', 'interactionAt': 1617897342229, 'interactionType': 'get_recommendation', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
jsb2U1TafNmEw9S4AAAn,1617897347,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'hiring', 'interactionAt': 1617897347297, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 28, 'recommendationShown': True}"
jsb2U1TafNmEw9S4AAAn,1617897354,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'hiring', 'interactionAt': 1617897354302, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 28, 'recommendationShown': True}"
jsb2U1TafNmEw9S4AAAn,1617897362,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'hiring', 'interactionAt': 1617897362563, 'interactionType': 'get_recommendation', 'currentScenario': 1, 'selectedId': -1, 'recommendationShown': True}"
jsb2U1TafNmEw9S4AAAn,1617897368,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'hiring', 'interactionAt': 1617897368258, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 4, 'recommendationShown': True}"
jsb2U1TafNmEw9S4AAAn,1617897372,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'hiring', 'interactionAt': 1617897372758, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 4, 'recommendationShown': True}"
jsb2U1TafNmEw9S4AAAn,1617897381,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'hiring', 'interactionAt': 1617897381954, 'interactionType': 'get_recommendation', 'currentScenario': 2, 'selectedId': -1, 'recommendationShown': True}"
jsb2U1TafNmEw9S4AAAn,1617897384,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'hiring', 'interactionAt': 1617897384201, 'interactionType': 'card_clicked', 'currentScenario': 2, 'selectedId': 12, 'recommendationShown': True}"
jsb2U1TafNmEw9S4AAAn,1617897384,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'hiring', 'interactionAt': 1617897384969, 'interactionType': 'save_selection', 'currentScenario': 2, 'selectedId': 12, 'recommendationShown': True}"
jsb2U1TafNmEw9S4AAAn,1617897395,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'hiring', 'interactionAt': 1617897395141, 'interactionType': 'get_recommendation', 'currentScenario': 3, 'selectedId': -1, 'recommendationShown': True}"
jsb2U1TafNmEw9S4AAAn,1617897411,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'hiring', 'interactionAt': 1617897411349, 'interactionType': 'card_clicked', 'currentScenario': 3, 'selectedId': 18, 'recommendationShown': True}"
jsb2U1TafNmEw9S4AAAn,1617897413,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'hiring', 'interactionAt': 1617897413393, 'interactionType': 'save_selection', 'currentScenario': 3, 'selectedId': 18, 'recommendationShown': True}"
jsb2U1TafNmEw9S4AAAn,1617897416,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'hiring', 'interactionAt': 1617897416502, 'interactionType': 'get_recommendation', 'currentScenario': 4, 'selectedId': -1, 'recommendationShown': True}"
jsb2U1TafNmEw9S4AAAn,1617897432,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'hiring', 'interactionAt': 1617897432399, 'interactionType': 'card_clicked', 'currentScenario': 4, 'selectedId': 48, 'recommendationShown': True}"
jsb2U1TafNmEw9S4AAAn,1617897434,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'hiring', 'interactionAt': 1617897434101, 'interactionType': 'save_selection', 'currentScenario': 4, 'selectedId': 48, 'recommendationShown': True}"
jsb2U1TafNmEw9S4AAAn,1617897436,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'hiring', 'interactionAt': 1617897436914, 'interactionType': 'get_recommendation', 'currentScenario': 5, 'selectedId': -1, 'recommendationShown': True}"
jsb2U1TafNmEw9S4AAAn,1617897455,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'hiring', 'interactionAt': 1617897455282, 'interactionType': 'card_clicked', 'currentScenario': 5, 'selectedId': 49, 'recommendationShown': True}"
jsb2U1TafNmEw9S4AAAn,1617897456,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'hiring', 'interactionAt': 1617897456908, 'interactionType': 'save_selection', 'currentScenario': 5, 'selectedId': 49, 'recommendationShown': True}"
jsb2U1TafNmEw9S4AAAn,1617897458,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'hiring', 'interactionAt': 1617897458513, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
RnSVTl7eV_ZujfE2AAAp,1617897469,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'movies', 'interactionAt': 1617897469605, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
RnSVTl7eV_ZujfE2AAAp,1617897488,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'movies', 'interactionAt': 1617897488439, 'interactionType': 'get_recommendation', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
RnSVTl7eV_ZujfE2AAAp,1617897490,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'movies', 'interactionAt': 1617897490425, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': True}"
RnSVTl7eV_ZujfE2AAAp,1617897491,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'movies', 'interactionAt': 1617897491319, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': True}"
RnSVTl7eV_ZujfE2AAAp,1617897503,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'movies', 'interactionAt': 1617897503292, 'interactionType': 'get_recommendation', 'currentScenario': 1, 'selectedId': -1, 'recommendationShown': True}"
RnSVTl7eV_ZujfE2AAAp,1617897506,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'movies', 'interactionAt': 1617897506101, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 6, 'recommendationShown': True}"
RnSVTl7eV_ZujfE2AAAp,1617897506,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'movies', 'interactionAt': 1617897506909, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 6, 'recommendationShown': True}"
RnSVTl7eV_ZujfE2AAAp,1617897512,"{'participantId': '6BSJnNllOaUQ', 'appMode': 'movies', 'interactionAt': 1617897512536, 'interactionType': 'get_recommendation', 'currentScenario': 2, 'selectedId': -1, 'recommendationShown': True}"
