sid,processed_at,inputs
cqeKZVCsm_88jSGMAACM,1617902093,"{'participantId': '8wC3YK6TgqRm', 'appMode': 'practice', 'interactionAt': 1617902093430, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
cqeKZVCsm_88jSGMAACM,1617902150,"{'participantId': '8wC3YK6TgqRm', 'appMode': 'practice', 'interactionAt': 1617902150187, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 3, 'recommendationShown': False}"
cqeKZVCsm_88jSGMAACM,1617902152,"{'participantId': '8wC3YK6TgqRm', 'appMode': 'practice', 'interactionAt': 1617902152386, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 3, 'recommendationShown': False}"
cqeKZVCsm_88jSGMAACM,1617902167,"{'participantId': '8wC3YK6TgqRm', 'appMode': 'practice', 'interactionAt': 1617902167018, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
s9oL_v7LWWwpZxejAACS,1617902495,"{'participantId': '8wC3YK6TgqRm', 'appMode': 'movies', 'interactionAt': 1617902495463, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
s9oL_v7LWWwpZxejAACS,1617902519,"{'participantId': '8wC3YK6TgqRm', 'appMode': 'movies', 'interactionAt': 1617902519768, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': False}"
s9oL_v7LWWwpZxejAACS,1617902521,"{'participantId': '8wC3YK6TgqRm', 'appMode': 'movies', 'interactionAt': 1617902521539, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': False}"
s9oL_v7LWWwpZxejAACS,1617902525,"{'participantId': '8wC3YK6TgqRm', 'appMode': 'movies', 'interactionAt': 1617902525638, 'interactionType': 'continue', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
s9oL_v7LWWwpZxejAACS,1617902542,"{'participantId': '8wC3YK6TgqRm', 'appMode': 'movies', 'interactionAt': 1617902542312, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 7, 'recommendationShown': False}"
s9oL_v7LWWwpZxejAACS,1617902551,"{'participantId': '8wC3YK6TgqRm', 'appMode': 'movies', 'interactionAt': 1617902551513, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 26, 'recommendationShown': False}"
s9oL_v7LWWwpZxejAACS,1617902553,"{'participantId': '8wC3YK6TgqRm', 'appMode': 'movies', 'interactionAt': 1617902553705, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 26, 'recommendationShown': False}"
s9oL_v7LWWwpZxejAACS,1617902557,"{'participantId': '8wC3YK6TgqRm', 'appMode': 'movies', 'interactionAt': 1617902557748, 'interactionType': 'continue', 'currentScenario': 1, 'selectedId': -1, 'recommendationShown': True}"
s9oL_v7LWWwpZxejAACS,1617902574,"{'participantId': '8wC3YK6TgqRm', 'appMode': 'movies', 'interactionAt': 1617902574367, 'interactionType': 'card_clicked', 'currentScenario': 2, 'selectedId': 33, 'recommendationShown': False}"
s9oL_v7LWWwpZxejAACS,1617902575,"{'participantId': '8wC3YK6TgqRm', 'appMode': 'movies', 'interactionAt': 1617902575357, 'interactionType': 'save_selection', 'currentScenario': 2, 'selectedId': 33, 'recommendationShown': False}"
s9oL_v7LWWwpZxejAACS,1617902578,"{'participantId': '8wC3YK6TgqRm', 'appMode': 'movies', 'interactionAt': 1617902578490, 'interactionType': 'continue', 'currentScenario': 2, 'selectedId': -1, 'recommendationShown': True}"
s9oL_v7LWWwpZxejAACS,1617902586,"{'participantId': '8wC3YK6TgqRm', 'appMode': 'movies', 'interactionAt': 1617902586891, 'interactionType': 'card_clicked', 'currentScenario': 3, 'selectedId': 29, 'recommendationShown': False}"
s9oL_v7LWWwpZxejAACS,1617902589,"{'participantId': '8wC3YK6TgqRm', 'appMode': 'movies', 'interactionAt': 1617902589707, 'interactionType': 'save_selection', 'currentScenario': 3, 'selectedId': 29, 'recommendationShown': False}"
s9oL_v7LWWwpZxejAACS,1617902592,"{'participantId': '8wC3YK6TgqRm', 'appMode': 'movies', 'interactionAt': 1617902592558, 'interactionType': 'continue', 'currentScenario': 3, 'selectedId': -1, 'recommendationShown': True}"
s9oL_v7LWWwpZxejAACS,1617902604,"{'participantId': '8wC3YK6TgqRm', 'appMode': 'movies', 'interactionAt': 1617902604869, 'interactionType': 'card_clicked', 'currentScenario': 4, 'selectedId': 15, 'recommendationShown': False}"
s9oL_v7LWWwpZxejAACS,1617902606,"{'participantId': '8wC3YK6TgqRm', 'appMode': 'movies', 'interactionAt': 1617902606415, 'interactionType': 'save_selection', 'currentScenario': 4, 'selectedId': 15, 'recommendationShown': False}"
