sid,processed_at,inputs
SvOP6ES1TFlVqYwHAABs,1617900650,"{'participantId': 'F0xDdtLRrhtQ', 'appMode': 'practice', 'interactionAt': 1617900650017, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
SvOP6ES1TFlVqYwHAABs,1617900730,"{'participantId': 'F0xDdtLRrhtQ', 'appMode': 'practice', 'interactionAt': 1617900730570, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
SvOP6ES1TFlVqYwHAABs,1617900731,"{'participantId': 'F0xDdtLRrhtQ', 'appMode': 'practice', 'interactionAt': 1617900731942, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
SvOP6ES1TFlVqYwHAABs,1617900742,"{'participantId': 'F0xDdtLRrhtQ', 'appMode': 'practice', 'interactionAt': 1617900742642, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
dwcKK-Vvh87OJfbhAABy,1617901519,"{'participantId': 'F0xDdtLRrhtQ', 'appMode': 'movies', 'interactionAt': 1617901519216, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
dwcKK-Vvh87OJfbhAABy,1617901549,"{'participantId': 'F0xDdtLRrhtQ', 'appMode': 'movies', 'interactionAt': 1617901549751, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': False}"
dwcKK-Vvh87OJfbhAABy,1617901554,"{'participantId': 'F0xDdtLRrhtQ', 'appMode': 'movies', 'interactionAt': 1617901554487, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': False}"
dwcKK-Vvh87OJfbhAABy,1617901557,"{'participantId': 'F0xDdtLRrhtQ', 'appMode': 'movies', 'interactionAt': 1617901557663, 'interactionType': 'continue', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
dwcKK-Vvh87OJfbhAABy,1617901590,"{'participantId': 'F0xDdtLRrhtQ', 'appMode': 'movies', 'interactionAt': 1617901590395, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 7, 'recommendationShown': False}"
dwcKK-Vvh87OJfbhAABy,1617901592,"{'participantId': 'F0xDdtLRrhtQ', 'appMode': 'movies', 'interactionAt': 1617901592073, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 7, 'recommendationShown': False}"
