sid,processed_at,inputs
1dHJBkLTTz-L4nyaAAAT,1617921810,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'practice', 'interactionAt': 1617921809467, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
1dHJBkLTTz-L4nyaAAAT,1617921888,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'practice', 'interactionAt': 1617921888347, 'interactionType': 'get_recommendation', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
1dHJBkLTTz-L4nyaAAAT,1617921906,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'practice', 'interactionAt': 1617921906435, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': True}"
1dHJBkLTTz-L4nyaAAAT,1617921909,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'practice', 'interactionAt': 1617921908519, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': True}"
1dHJBkLTTz-L4nyaAAAT,1617921918,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'practice', 'interactionAt': 1617921917623, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
KxU1QqZBVbIVN62PAAAV,1617922333,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'movies', 'interactionAt': 1617922333286, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
KxU1QqZBVbIVN62PAAAV,1617922385,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'movies', 'interactionAt': 1617922384690, 'interactionType': 'get_recommendation', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
KxU1QqZBVbIVN62PAAAV,1617922402,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'movies', 'interactionAt': 1617922401641, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': True}"
KxU1QqZBVbIVN62PAAAV,1617922406,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'movies', 'interactionAt': 1617922405680, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': True}"
KxU1QqZBVbIVN62PAAAV,1617922420,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'movies', 'interactionAt': 1617922419676, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 7, 'recommendationShown': False}"
KxU1QqZBVbIVN62PAAAV,1617922423,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'movies', 'interactionAt': 1617922423256, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 7, 'recommendationShown': False}"
KxU1QqZBVbIVN62PAAAV,1617922432,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'movies', 'interactionAt': 1617922431506, 'interactionType': 'continue', 'currentScenario': 1, 'selectedId': -1, 'recommendationShown': True}"
KxU1QqZBVbIVN62PAAAV,1617922458,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'movies', 'interactionAt': 1617922457892, 'interactionType': 'card_clicked', 'currentScenario': 2, 'selectedId': 37, 'recommendationShown': False}"
KxU1QqZBVbIVN62PAAAV,1617922461,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'movies', 'interactionAt': 1617922461403, 'interactionType': 'save_selection', 'currentScenario': 2, 'selectedId': 37, 'recommendationShown': False}"
KxU1QqZBVbIVN62PAAAV,1617922469,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'movies', 'interactionAt': 1617922469302, 'interactionType': 'continue', 'currentScenario': 2, 'selectedId': -1, 'recommendationShown': True}"
KxU1QqZBVbIVN62PAAAV,1617922486,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'movies', 'interactionAt': 1617922485610, 'interactionType': 'card_clicked', 'currentScenario': 3, 'selectedId': 48, 'recommendationShown': False}"
KxU1QqZBVbIVN62PAAAV,1617922494,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'movies', 'interactionAt': 1617922493758, 'interactionType': 'save_selection', 'currentScenario': 3, 'selectedId': 48, 'recommendationShown': False}"
KxU1QqZBVbIVN62PAAAV,1617922502,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'movies', 'interactionAt': 1617922501563, 'interactionType': 'continue', 'currentScenario': 3, 'selectedId': -1, 'recommendationShown': True}"
KxU1QqZBVbIVN62PAAAV,1617922520,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'movies', 'interactionAt': 1617922519967, 'interactionType': 'get_recommendation', 'currentScenario': 4, 'selectedId': -1, 'recommendationShown': True}"
KxU1QqZBVbIVN62PAAAV,1617922533,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'movies', 'interactionAt': 1617922532518, 'interactionType': 'card_clicked', 'currentScenario': 4, 'selectedId': 15, 'recommendationShown': True}"
KxU1QqZBVbIVN62PAAAV,1617922540,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'movies', 'interactionAt': 1617922540106, 'interactionType': 'save_selection', 'currentScenario': 4, 'selectedId': 15, 'recommendationShown': True}"
KxU1QqZBVbIVN62PAAAV,1617922582,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'movies', 'interactionAt': 1617922582154, 'interactionType': 'get_recommendation', 'currentScenario': 5, 'selectedId': -1, 'recommendationShown': True}"
KxU1QqZBVbIVN62PAAAV,1617922613,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'movies', 'interactionAt': 1617922613342, 'interactionType': 'card_clicked', 'currentScenario': 5, 'selectedId': 3, 'recommendationShown': True}"
KxU1QqZBVbIVN62PAAAV,1617922615,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'movies', 'interactionAt': 1617922615366, 'interactionType': 'save_selection', 'currentScenario': 5, 'selectedId': 3, 'recommendationShown': True}"
KxU1QqZBVbIVN62PAAAV,1617922619,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'movies', 'interactionAt': 1617922618824, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
kFzRaH-HihLYNmR-AAAX,1617922672,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'hiring', 'interactionAt': 1617922672240, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
kFzRaH-HihLYNmR-AAAX,1617922699,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'hiring', 'interactionAt': 1617922698697, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 8, 'recommendationShown': False}"
kFzRaH-HihLYNmR-AAAX,1617922699,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'hiring', 'interactionAt': 1617922698986, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 8, 'recommendationShown': False}"
kFzRaH-HihLYNmR-AAAX,1617922703,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'hiring', 'interactionAt': 1617922703457, 'interactionType': 'get_recommendation', 'currentScenario': 0, 'selectedId': 8, 'recommendationShown': True}"
kFzRaH-HihLYNmR-AAAX,1617922708,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'hiring', 'interactionAt': 1617922707784, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 8, 'recommendationShown': True}"
kFzRaH-HihLYNmR-AAAX,1617922734,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'hiring', 'interactionAt': 1617922733711, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 4, 'recommendationShown': False}"
kFzRaH-HihLYNmR-AAAX,1617922738,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'hiring', 'interactionAt': 1617922738122, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 4, 'recommendationShown': False}"
kFzRaH-HihLYNmR-AAAX,1617922744,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'hiring', 'interactionAt': 1617922743812, 'interactionType': 'continue', 'currentScenario': 1, 'selectedId': -1, 'recommendationShown': True}"
kFzRaH-HihLYNmR-AAAX,1617922753,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'hiring', 'interactionAt': 1617922751968, 'interactionType': 'card_clicked', 'currentScenario': 2, 'selectedId': 12, 'recommendationShown': False}"
kFzRaH-HihLYNmR-AAAX,1617922755,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'hiring', 'interactionAt': 1617922754642, 'interactionType': 'save_selection', 'currentScenario': 2, 'selectedId': 12, 'recommendationShown': False}"
kFzRaH-HihLYNmR-AAAX,1617922768,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'hiring', 'interactionAt': 1617922768219, 'interactionType': 'continue', 'currentScenario': 2, 'selectedId': -1, 'recommendationShown': True}"
kFzRaH-HihLYNmR-AAAX,1617922782,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'hiring', 'interactionAt': 1617922781589, 'interactionType': 'card_clicked', 'currentScenario': 3, 'selectedId': 13, 'recommendationShown': False}"
kFzRaH-HihLYNmR-AAAX,1617922784,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'hiring', 'interactionAt': 1617922784201, 'interactionType': 'save_selection', 'currentScenario': 3, 'selectedId': 13, 'recommendationShown': False}"
kFzRaH-HihLYNmR-AAAX,1617922788,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'hiring', 'interactionAt': 1617922787945, 'interactionType': 'continue', 'currentScenario': 3, 'selectedId': -1, 'recommendationShown': True}"
kFzRaH-HihLYNmR-AAAX,1617922811,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'hiring', 'interactionAt': 1617922810946, 'interactionType': 'card_clicked', 'currentScenario': 4, 'selectedId': 35, 'recommendationShown': False}"
kFzRaH-HihLYNmR-AAAX,1617922814,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'hiring', 'interactionAt': 1617922813986, 'interactionType': 'save_selection', 'currentScenario': 4, 'selectedId': 35, 'recommendationShown': False}"
kFzRaH-HihLYNmR-AAAX,1617922821,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'hiring', 'interactionAt': 1617922820505, 'interactionType': 'continue', 'currentScenario': 4, 'selectedId': -1, 'recommendationShown': True}"
kFzRaH-HihLYNmR-AAAX,1617922840,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'hiring', 'interactionAt': 1617922840353, 'interactionType': 'card_clicked', 'currentScenario': 5, 'selectedId': 42, 'recommendationShown': False}"
kFzRaH-HihLYNmR-AAAX,1617922842,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'hiring', 'interactionAt': 1617922841917, 'interactionType': 'save_selection', 'currentScenario': 5, 'selectedId': 42, 'recommendationShown': False}"
kFzRaH-HihLYNmR-AAAX,1617922850,"{'participantId': 'YvLb2lkRiYyh', 'appMode': 'hiring', 'interactionAt': 1617922850052, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
