sid,processed_at,inputs
anrHMHOgA0sIAAVuAAAV,1617896248,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'practice', 'interactionAt': 1617896248625, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
anrHMHOgA0sIAAVuAAAV,1617896264,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'practice', 'interactionAt': 1617896264702, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 3, 'recommendationShown': False}"
anrHMHOgA0sIAAVuAAAV,1617896269,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'practice', 'interactionAt': 1617896269014, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 3, 'recommendationShown': False}"
anrHMHOgA0sIAAVuAAAV,1617896274,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'practice', 'interactionAt': 1617896274241, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
wktioNwxjDpxiztRAAA7,1617898036,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'movies', 'interactionAt': 1617898036116, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
wktioNwxjDpxiztRAAA7,1617898052,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'movies', 'interactionAt': 1617898052537, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': False}"
wktioNwxjDpxiztRAAA7,1617898054,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'movies', 'interactionAt': 1617898054230, 'interactionType': 'get_recommendation', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': True}"
wktioNwxjDpxiztRAAA7,1617898069,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'movies', 'interactionAt': 1617898069735, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': True}"
wktioNwxjDpxiztRAAA7,1617898090,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'movies', 'interactionAt': 1617898090124, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 6, 'recommendationShown': False}"
wktioNwxjDpxiztRAAA7,1617898097,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'movies', 'interactionAt': 1617898097127, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 7, 'recommendationShown': False}"
wktioNwxjDpxiztRAAA7,1617898100,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'movies', 'interactionAt': 1617898100448, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 7, 'recommendationShown': False}"
wktioNwxjDpxiztRAAA7,1617898112,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'movies', 'interactionAt': 1617898112934, 'interactionType': 'continue', 'currentScenario': 1, 'selectedId': -1, 'recommendationShown': True}"
wktioNwxjDpxiztRAAA7,1617898119,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'movies', 'interactionAt': 1617898119812, 'interactionType': 'card_clicked', 'currentScenario': 2, 'selectedId': 37, 'recommendationShown': False}"
wktioNwxjDpxiztRAAA7,1617898120,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'movies', 'interactionAt': 1617898120887, 'interactionType': 'get_recommendation', 'currentScenario': 2, 'selectedId': 37, 'recommendationShown': True}"
wktioNwxjDpxiztRAAA7,1617898129,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'movies', 'interactionAt': 1617898129364, 'interactionType': 'save_selection', 'currentScenario': 2, 'selectedId': 37, 'recommendationShown': True}"
wktioNwxjDpxiztRAAA7,1617898134,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'movies', 'interactionAt': 1617898134689, 'interactionType': 'card_clicked', 'currentScenario': 3, 'selectedId': 48, 'recommendationShown': False}"
wktioNwxjDpxiztRAAA7,1617898137,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'movies', 'interactionAt': 1617898137208, 'interactionType': 'get_recommendation', 'currentScenario': 3, 'selectedId': 48, 'recommendationShown': True}"
wktioNwxjDpxiztRAAA7,1617898142,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'movies', 'interactionAt': 1617898142772, 'interactionType': 'save_selection', 'currentScenario': 3, 'selectedId': 48, 'recommendationShown': True}"
wktioNwxjDpxiztRAAA7,1617898152,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'movies', 'interactionAt': 1617898152616, 'interactionType': 'card_clicked', 'currentScenario': 4, 'selectedId': 15, 'recommendationShown': False}"
wktioNwxjDpxiztRAAA7,1617898153,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'movies', 'interactionAt': 1617898153552, 'interactionType': 'save_selection', 'currentScenario': 4, 'selectedId': 15, 'recommendationShown': False}"
wktioNwxjDpxiztRAAA7,1617898157,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'movies', 'interactionAt': 1617898157933, 'interactionType': 'continue', 'currentScenario': 4, 'selectedId': -1, 'recommendationShown': True}"
wktioNwxjDpxiztRAAA7,1617898171,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'movies', 'interactionAt': 1617898171592, 'interactionType': 'card_clicked', 'currentScenario': 5, 'selectedId': 3, 'recommendationShown': False}"
wktioNwxjDpxiztRAAA7,1617898173,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'movies', 'interactionAt': 1617898173706, 'interactionType': 'get_recommendation', 'currentScenario': 5, 'selectedId': 3, 'recommendationShown': True}"
wktioNwxjDpxiztRAAA7,1617898177,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'movies', 'interactionAt': 1617898177362, 'interactionType': 'save_selection', 'currentScenario': 5, 'selectedId': 3, 'recommendationShown': True}"
wktioNwxjDpxiztRAAA7,1617898179,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'movies', 'interactionAt': 1617898179418, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
czuAFWk4sjFz99EwAABB,1617898193,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'hiring', 'interactionAt': 1617898192964, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
czuAFWk4sjFz99EwAABB,1617898217,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'hiring', 'interactionAt': 1617898216982, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 28, 'recommendationShown': False}"
czuAFWk4sjFz99EwAABB,1617898219,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'hiring', 'interactionAt': 1617898219216, 'interactionType': 'get_recommendation', 'currentScenario': 0, 'selectedId': 28, 'recommendationShown': True}"
czuAFWk4sjFz99EwAABB,1617898222,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'hiring', 'interactionAt': 1617898222813, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 28, 'recommendationShown': True}"
czuAFWk4sjFz99EwAABB,1617898229,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'hiring', 'interactionAt': 1617898229446, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 1, 'recommendationShown': False}"
czuAFWk4sjFz99EwAABB,1617898231,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'hiring', 'interactionAt': 1617898231174, 'interactionType': 'get_recommendation', 'currentScenario': 1, 'selectedId': 1, 'recommendationShown': True}"
czuAFWk4sjFz99EwAABB,1617898233,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'hiring', 'interactionAt': 1617898233259, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 1, 'recommendationShown': True}"
czuAFWk4sjFz99EwAABB,1617898241,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'hiring', 'interactionAt': 1617898241316, 'interactionType': 'card_clicked', 'currentScenario': 2, 'selectedId': 9, 'recommendationShown': False}"
czuAFWk4sjFz99EwAABB,1617898243,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'hiring', 'interactionAt': 1617898243449, 'interactionType': 'save_selection', 'currentScenario': 2, 'selectedId': 9, 'recommendationShown': False}"
czuAFWk4sjFz99EwAABB,1617898249,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'hiring', 'interactionAt': 1617898249204, 'interactionType': 'continue', 'currentScenario': 2, 'selectedId': -1, 'recommendationShown': True}"
czuAFWk4sjFz99EwAABB,1617898252,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'hiring', 'interactionAt': 1617898251964, 'interactionType': 'card_clicked', 'currentScenario': 3, 'selectedId': 18, 'recommendationShown': False}"
czuAFWk4sjFz99EwAABB,1617898256,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'hiring', 'interactionAt': 1617898256075, 'interactionType': 'get_recommendation', 'currentScenario': 3, 'selectedId': 18, 'recommendationShown': True}"
czuAFWk4sjFz99EwAABB,1617898258,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'hiring', 'interactionAt': 1617898258538, 'interactionType': 'save_selection', 'currentScenario': 3, 'selectedId': 18, 'recommendationShown': True}"
czuAFWk4sjFz99EwAABB,1617898264,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'hiring', 'interactionAt': 1617898264392, 'interactionType': 'card_clicked', 'currentScenario': 4, 'selectedId': 36, 'recommendationShown': False}"
czuAFWk4sjFz99EwAABB,1617898265,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'hiring', 'interactionAt': 1617898265343, 'interactionType': 'save_selection', 'currentScenario': 4, 'selectedId': 36, 'recommendationShown': False}"
czuAFWk4sjFz99EwAABB,1617898268,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'hiring', 'interactionAt': 1617898268590, 'interactionType': 'continue', 'currentScenario': 4, 'selectedId': -1, 'recommendationShown': True}"
czuAFWk4sjFz99EwAABB,1617898277,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'hiring', 'interactionAt': 1617898277356, 'interactionType': 'card_clicked', 'currentScenario': 5, 'selectedId': 45, 'recommendationShown': False}"
czuAFWk4sjFz99EwAABB,1617898279,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'hiring', 'interactionAt': 1617898279283, 'interactionType': 'get_recommendation', 'currentScenario': 5, 'selectedId': 45, 'recommendationShown': True}"
czuAFWk4sjFz99EwAABB,1617898281,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'hiring', 'interactionAt': 1617898281616, 'interactionType': 'save_selection', 'currentScenario': 5, 'selectedId': 45, 'recommendationShown': True}"
czuAFWk4sjFz99EwAABB,1617898283,"{'participantId': 'db2aF23Z9hnH', 'appMode': 'hiring', 'interactionAt': 1617898283379, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
