sid,processed_at,inputs
B-dLvO3GJZ-X7LGpAAA5,1617898018,"{'participantId': 'nRJBgq4Tg2LG', 'appMode': 'practice', 'interactionAt': 1617898017129, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
B-dLvO3GJZ-X7LGpAAA5,1617898141,"{'participantId': 'nRJBgq4Tg2LG', 'appMode': 'practice', 'interactionAt': 1617898140707, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 3, 'recommendationShown': False}"
B-dLvO3GJZ-X7LGpAAA5,1617898144,"{'participantId': 'nRJBgq4Tg2LG', 'appMode': 'practice', 'interactionAt': 1617898143192, 'interactionType': 'get_recommendation', 'currentScenario': 0, 'selectedId': 3, 'recommendationShown': True}"
B-dLvO3GJZ-X7LGpAAA5,1617898156,"{'participantId': 'nRJBgq4Tg2LG', 'appMode': 'practice', 'interactionAt': 1617898155512, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 3, 'recommendationShown': True}"
B-dLvO3GJZ-X7LGpAAA5,1617898161,"{'participantId': 'nRJBgq4Tg2LG', 'appMode': 'practice', 'interactionAt': 1617898159957, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
uFe_lrL2Vzi6fFMaAABL,1617898524,"{'participantId': 'nRJBgq4Tg2LG', 'appMode': 'hiring', 'interactionAt': 1617898523671, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
uFe_lrL2Vzi6fFMaAABL,1617898578,"{'participantId': 'nRJBgq4Tg2LG', 'appMode': 'hiring', 'interactionAt': 1617898577068, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 8, 'recommendationShown': False}"
uFe_lrL2Vzi6fFMaAABL,1617898580,"{'participantId': 'nRJBgq4Tg2LG', 'appMode': 'hiring', 'interactionAt': 1617898579273, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 8, 'recommendationShown': False}"
uFe_lrL2Vzi6fFMaAABL,1617898589,"{'participantId': 'nRJBgq4Tg2LG', 'appMode': 'hiring', 'interactionAt': 1617898588319, 'interactionType': 'continue', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
uFe_lrL2Vzi6fFMaAABL,1617898608,"{'participantId': 'nRJBgq4Tg2LG', 'appMode': 'hiring', 'interactionAt': 1617898606836, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 4, 'recommendationShown': False}"
