sid,processed_at,inputs
yjrze-uthosOYtTuAAAV,1617738592,"{'participantId': 'Wl4bURgvGcYr', 'appMode': 'practice', 'interactionAt': 1617738592047, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
yjrze-uthosOYtTuAAAV,1617738594,"{'participantId': 'Wl4bURgvGcYr', 'appMode': 'practice', 'interactionAt': 1617738594523, 'interactionType': 'get_recommendation', 'currentScenario': 0, 'selectedId': '', 'recommendationShown': True}"
yjrze-uthosOYtTuAAAV,1617738594,"{'participantId': 'Wl4bURgvGcYr', 'appMode': 'practice', 'interactionAt': 1617738594830, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': True}"
yjrze-uthosOYtTuAAAV,1617738595,"{'participantId': 'Wl4bURgvGcYr', 'appMode': 'practice', 'interactionAt': 1617738595488, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': True}"
yjrze-uthosOYtTuAAAV,1617738596,"{'participantId': 'Wl4bURgvGcYr', 'appMode': 'practice', 'interactionAt': 1617738596868, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
Fz5JXid3pNgCWGjsAAAX,1617738605,"{'participantId': 'Wl4bURgvGcYr', 'appMode': 'hiring', 'interactionAt': 1617738605116, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
Fz5JXid3pNgCWGjsAAAX,1617738609,"{'participantId': 'Wl4bURgvGcYr', 'appMode': 'hiring', 'interactionAt': 1617738609272, 'interactionType': 'get_recommendation', 'currentScenario': 0, 'selectedId': '', 'recommendationShown': True}"
Fz5JXid3pNgCWGjsAAAX,1617738611,"{'participantId': 'Wl4bURgvGcYr', 'appMode': 'hiring', 'interactionAt': 1617738611146, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 8, 'recommendationShown': True}"
Fz5JXid3pNgCWGjsAAAX,1617738614,"{'participantId': 'Wl4bURgvGcYr', 'appMode': 'hiring', 'interactionAt': 1617738614127, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 8, 'recommendationShown': True}"
Fz5JXid3pNgCWGjsAAAX,1617738618,"{'participantId': 'Wl4bURgvGcYr', 'appMode': 'hiring', 'interactionAt': 1617738618653, 'interactionType': 'get_recommendation', 'currentScenario': 1, 'selectedId': '', 'recommendationShown': True}"
Fz5JXid3pNgCWGjsAAAX,1617738619,"{'participantId': 'Wl4bURgvGcYr', 'appMode': 'hiring', 'interactionAt': 1617738619789, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 1, 'recommendationShown': True}"
Fz5JXid3pNgCWGjsAAAX,1617738621,"{'participantId': 'Wl4bURgvGcYr', 'appMode': 'hiring', 'interactionAt': 1617738621150, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 1, 'recommendationShown': True}"
Fz5JXid3pNgCWGjsAAAX,1617738623,"{'participantId': 'Wl4bURgvGcYr', 'appMode': 'hiring', 'interactionAt': 1617738623383, 'interactionType': 'get_recommendation', 'currentScenario': 2, 'selectedId': '', 'recommendationShown': True}"
Fz5JXid3pNgCWGjsAAAX,1617738624,"{'participantId': 'Wl4bURgvGcYr', 'appMode': 'hiring', 'interactionAt': 1617738624900, 'interactionType': 'card_clicked', 'currentScenario': 2, 'selectedId': 12, 'recommendationShown': True}"
Fz5JXid3pNgCWGjsAAAX,1617738625,"{'participantId': 'Wl4bURgvGcYr', 'appMode': 'hiring', 'interactionAt': 1617738625655, 'interactionType': 'save_selection', 'currentScenario': 2, 'selectedId': 12, 'recommendationShown': True}"
Fz5JXid3pNgCWGjsAAAX,1617738627,"{'participantId': 'Wl4bURgvGcYr', 'appMode': 'hiring', 'interactionAt': 1617738627855, 'interactionType': 'get_recommendation', 'currentScenario': 3, 'selectedId': '', 'recommendationShown': True}"
Fz5JXid3pNgCWGjsAAAX,1617738628,"{'participantId': 'Wl4bURgvGcYr', 'appMode': 'hiring', 'interactionAt': 1617738628981, 'interactionType': 'card_clicked', 'currentScenario': 3, 'selectedId': 13, 'recommendationShown': True}"
