sid,processed_at,inputs
E9gH-hmWjxawQw-jAAAR,1617841602,"{'participantId': 'gQFDgjj2Qp7F', 'appMode': 'practice', 'interactionAt': 1617841602578, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
E9gH-hmWjxawQw-jAAAR,1617841662,"{'participantId': 'gQFDgjj2Qp7F', 'appMode': 'practice', 'interactionAt': 1617841662214, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 3, 'recommendationShown': False}"
E9gH-hmWjxawQw-jAAAR,1617841664,"{'participantId': 'gQFDgjj2Qp7F', 'appMode': 'practice', 'interactionAt': 1617841664227, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 3, 'recommendationShown': False}"
E9gH-hmWjxawQw-jAAAR,1617841675,"{'participantId': 'gQFDgjj2Qp7F', 'appMode': 'practice', 'interactionAt': 1617841674904, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
R8gonTi6wMRqcNnTAAAT,1617841969,"{'participantId': 'gQFDgjj2Qp7F', 'appMode': 'movies', 'interactionAt': 1617841969294, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
R8gonTi6wMRqcNnTAAAT,1617841982,"{'participantId': 'gQFDgjj2Qp7F', 'appMode': 'movies', 'interactionAt': 1617841981989, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': False}"
R8gonTi6wMRqcNnTAAAT,1617841984,"{'participantId': 'gQFDgjj2Qp7F', 'appMode': 'movies', 'interactionAt': 1617841983959, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': False}"
R8gonTi6wMRqcNnTAAAT,1617841988,"{'participantId': 'gQFDgjj2Qp7F', 'appMode': 'movies', 'interactionAt': 1617841987919, 'interactionType': 'continue', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
R8gonTi6wMRqcNnTAAAT,1617841997,"{'participantId': 'gQFDgjj2Qp7F', 'appMode': 'movies', 'interactionAt': 1617841996716, 'interactionType': 'get_recommendation', 'currentScenario': 1, 'selectedId': -1, 'recommendationShown': True}"
R8gonTi6wMRqcNnTAAAT,1617842006,"{'participantId': 'gQFDgjj2Qp7F', 'appMode': 'movies', 'interactionAt': 1617842006231, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 6, 'recommendationShown': True}"
R8gonTi6wMRqcNnTAAAT,1617842008,"{'participantId': 'gQFDgjj2Qp7F', 'appMode': 'movies', 'interactionAt': 1617842007719, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 6, 'recommendationShown': True}"
R8gonTi6wMRqcNnTAAAT,1617842013,"{'participantId': 'gQFDgjj2Qp7F', 'appMode': 'movies', 'interactionAt': 1617842012543, 'interactionType': 'get_recommendation', 'currentScenario': 2, 'selectedId': -1, 'recommendationShown': True}"
R8gonTi6wMRqcNnTAAAT,1617842022,"{'participantId': 'gQFDgjj2Qp7F', 'appMode': 'movies', 'interactionAt': 1617842022129, 'interactionType': 'card_clicked', 'currentScenario': 2, 'selectedId': 37, 'recommendationShown': True}"
R8gonTi6wMRqcNnTAAAT,1617842025,"{'participantId': 'gQFDgjj2Qp7F', 'appMode': 'movies', 'interactionAt': 1617842024996, 'interactionType': 'save_selection', 'currentScenario': 2, 'selectedId': 37, 'recommendationShown': True}"
R8gonTi6wMRqcNnTAAAT,1617842036,"{'participantId': 'gQFDgjj2Qp7F', 'appMode': 'movies', 'interactionAt': 1617842035739, 'interactionType': 'card_clicked', 'currentScenario': 3, 'selectedId': 48, 'recommendationShown': False}"
R8gonTi6wMRqcNnTAAAT,1617842037,"{'participantId': 'gQFDgjj2Qp7F', 'appMode': 'movies', 'interactionAt': 1617842036894, 'interactionType': 'save_selection', 'currentScenario': 3, 'selectedId': 48, 'recommendationShown': False}"
R8gonTi6wMRqcNnTAAAT,1617842045,"{'participantId': 'gQFDgjj2Qp7F', 'appMode': 'movies', 'interactionAt': 1617842044787, 'interactionType': 'continue', 'currentScenario': 3, 'selectedId': -1, 'recommendationShown': True}"
R8gonTi6wMRqcNnTAAAT,1617842051,"{'participantId': 'gQFDgjj2Qp7F', 'appMode': 'movies', 'interactionAt': 1617842050955, 'interactionType': 'card_clicked', 'currentScenario': 4, 'selectedId': 15, 'recommendationShown': False}"
R8gonTi6wMRqcNnTAAAT,1617842052,"{'participantId': 'gQFDgjj2Qp7F', 'appMode': 'movies', 'interactionAt': 1617842052188, 'interactionType': 'save_selection', 'currentScenario': 4, 'selectedId': 15, 'recommendationShown': False}"
R8gonTi6wMRqcNnTAAAT,1617842057,"{'participantId': 'gQFDgjj2Qp7F', 'appMode': 'movies', 'interactionAt': 1617842057628, 'interactionType': 'continue', 'currentScenario': 4, 'selectedId': -1, 'recommendationShown': True}"
R8gonTi6wMRqcNnTAAAT,1617842063,"{'participantId': 'gQFDgjj2Qp7F', 'appMode': 'movies', 'interactionAt': 1617842063195, 'interactionType': 'get_recommendation', 'currentScenario': 5, 'selectedId': -1, 'recommendationShown': True}"
R8gonTi6wMRqcNnTAAAT,1617842067,"{'participantId': 'gQFDgjj2Qp7F', 'appMode': 'movies', 'interactionAt': 1617842066794, 'interactionType': 'card_clicked', 'currentScenario': 5, 'selectedId': 47, 'recommendationShown': True}"
R8gonTi6wMRqcNnTAAAT,1617842068,"{'participantId': 'gQFDgjj2Qp7F', 'appMode': 'movies', 'interactionAt': 1617842067736, 'interactionType': 'save_selection', 'currentScenario': 5, 'selectedId': 47, 'recommendationShown': True}"
