sid,processed_at,inputs
oUkLzB-ja3uuaptsAAAP,1617932904,"{'participantId': 'iqUB4bUUMmYD', 'appMode': 'practice', 'interactionAt': 1617932903946, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
oUkLzB-ja3uuaptsAAAP,1617932951,"{'participantId': 'iqUB4bUUMmYD', 'appMode': 'practice', 'interactionAt': 1617932950493, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
oUkLzB-ja3uuaptsAAAP,1617932956,"{'participantId': 'iqUB4bUUMmYD', 'appMode': 'practice', 'interactionAt': 1617932955748, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
oUkLzB-ja3uuaptsAAAP,1617932957,"{'participantId': 'iqUB4bUUMmYD', 'appMode': 'practice', 'interactionAt': 1617932957015, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
oUkLzB-ja3uuaptsAAAP,1617932973,"{'participantId': 'iqUB4bUUMmYD', 'appMode': 'practice', 'interactionAt': 1617932972235, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
l68PidvWaTdl4bjPAAAR,1617933384,"{'participantId': 'iqUB4bUUMmYD', 'appMode': 'hiring', 'interactionAt': 1617933383286, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
l68PidvWaTdl4bjPAAAR,1617933419,"{'participantId': 'iqUB4bUUMmYD', 'appMode': 'hiring', 'interactionAt': 1617933418525, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 8, 'recommendationShown': False}"
l68PidvWaTdl4bjPAAAR,1617933421,"{'participantId': 'iqUB4bUUMmYD', 'appMode': 'hiring', 'interactionAt': 1617933420264, 'interactionType': 'get_recommendation', 'currentScenario': 0, 'selectedId': 8, 'recommendationShown': True}"
l68PidvWaTdl4bjPAAAR,1617933425,"{'participantId': 'iqUB4bUUMmYD', 'appMode': 'hiring', 'interactionAt': 1617933424463, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 8, 'recommendationShown': True}"
l68PidvWaTdl4bjPAAAR,1617933443,"{'participantId': 'iqUB4bUUMmYD', 'appMode': 'hiring', 'interactionAt': 1617933442998, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 4, 'recommendationShown': False}"
l68PidvWaTdl4bjPAAAR,1617933444,"{'participantId': 'iqUB4bUUMmYD', 'appMode': 'hiring', 'interactionAt': 1617933443798, 'interactionType': 'get_recommendation', 'currentScenario': 1, 'selectedId': 4, 'recommendationShown': True}"
l68PidvWaTdl4bjPAAAR,1617933472,"{'participantId': 'iqUB4bUUMmYD', 'appMode': 'hiring', 'interactionAt': 1617933471925, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 4, 'recommendationShown': True}"
l68PidvWaTdl4bjPAAAR,1617933501,"{'participantId': 'iqUB4bUUMmYD', 'appMode': 'hiring', 'interactionAt': 1617933500548, 'interactionType': 'card_clicked', 'currentScenario': 2, 'selectedId': 12, 'recommendationShown': False}"
l68PidvWaTdl4bjPAAAR,1617933502,"{'participantId': 'iqUB4bUUMmYD', 'appMode': 'hiring', 'interactionAt': 1617933501515, 'interactionType': 'get_recommendation', 'currentScenario': 2, 'selectedId': 12, 'recommendationShown': True}"
l68PidvWaTdl4bjPAAAR,1617933510,"{'participantId': 'iqUB4bUUMmYD', 'appMode': 'hiring', 'interactionAt': 1617933510037, 'interactionType': 'save_selection', 'currentScenario': 2, 'selectedId': 12, 'recommendationShown': True}"
l68PidvWaTdl4bjPAAAR,1617933527,"{'participantId': 'iqUB4bUUMmYD', 'appMode': 'hiring', 'interactionAt': 1617933526350, 'interactionType': 'card_clicked', 'currentScenario': 3, 'selectedId': 18, 'recommendationShown': False}"
l68PidvWaTdl4bjPAAAR,1617933528,"{'participantId': 'iqUB4bUUMmYD', 'appMode': 'hiring', 'interactionAt': 1617933527318, 'interactionType': 'get_recommendation', 'currentScenario': 3, 'selectedId': 18, 'recommendationShown': True}"
l68PidvWaTdl4bjPAAAR,1617933534,"{'participantId': 'iqUB4bUUMmYD', 'appMode': 'hiring', 'interactionAt': 1617933533857, 'interactionType': 'save_selection', 'currentScenario': 3, 'selectedId': 18, 'recommendationShown': True}"
l68PidvWaTdl4bjPAAAR,1617933571,"{'participantId': 'iqUB4bUUMmYD', 'appMode': 'hiring', 'interactionAt': 1617933570300, 'interactionType': 'get_recommendation', 'currentScenario': 4, 'selectedId': -1, 'recommendationShown': True}"
l68PidvWaTdl4bjPAAAR,1617933576,"{'participantId': 'iqUB4bUUMmYD', 'appMode': 'hiring', 'interactionAt': 1617933575355, 'interactionType': 'card_clicked', 'currentScenario': 4, 'selectedId': 48, 'recommendationShown': True}"
l68PidvWaTdl4bjPAAAR,1617933577,"{'participantId': 'iqUB4bUUMmYD', 'appMode': 'hiring', 'interactionAt': 1617933576204, 'interactionType': 'save_selection', 'currentScenario': 4, 'selectedId': 48, 'recommendationShown': True}"
l68PidvWaTdl4bjPAAAR,1617933597,"{'participantId': 'iqUB4bUUMmYD', 'appMode': 'hiring', 'interactionAt': 1617933596146, 'interactionType': 'card_clicked', 'currentScenario': 5, 'selectedId': 45, 'recommendationShown': False}"
l68PidvWaTdl4bjPAAAR,1617933598,"{'participantId': 'iqUB4bUUMmYD', 'appMode': 'hiring', 'interactionAt': 1617933597103, 'interactionType': 'get_recommendation', 'currentScenario': 5, 'selectedId': 45, 'recommendationShown': True}"
l68PidvWaTdl4bjPAAAR,1617933600,"{'participantId': 'iqUB4bUUMmYD', 'appMode': 'hiring', 'interactionAt': 1617933599277, 'interactionType': 'save_selection', 'currentScenario': 5, 'selectedId': 45, 'recommendationShown': True}"
l68PidvWaTdl4bjPAAAR,1617933603,"{'participantId': 'iqUB4bUUMmYD', 'appMode': 'hiring', 'interactionAt': 1617933602133, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
st0dVojokHTSklqKAAAT,1617933609,"{'participantId': 'iqUB4bUUMmYD', 'appMode': 'movies', 'interactionAt': 1617933609029, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
st0dVojokHTSklqKAAAT,1617933634,"{'participantId': 'iqUB4bUUMmYD', 'appMode': 'movies', 'interactionAt': 1617933634071, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': False}"
st0dVojokHTSklqKAAAT,1617933636,"{'participantId': 'iqUB4bUUMmYD', 'appMode': 'movies', 'interactionAt': 1617933635118, 'interactionType': 'get_recommendation', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': True}"
st0dVojokHTSklqKAAAT,1617933638,"{'participantId': 'iqUB4bUUMmYD', 'appMode': 'movies', 'interactionAt': 1617933637093, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 12, 'recommendationShown': True}"
