sid,processed_at,inputs
oRHx5lFfYaWK2EoLAABT,1617832914,"{'participantId': 'zLYXj9oegzzF', 'appMode': 'practice', 'interactionAt': 1617832914025, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
oRHx5lFfYaWK2EoLAABT,1617832947,"{'participantId': 'zLYXj9oegzzF', 'appMode': 'practice', 'interactionAt': 1617832947036, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
oRHx5lFfYaWK2EoLAABT,1617832947,"{'participantId': 'zLYXj9oegzzF', 'appMode': 'practice', 'interactionAt': 1617832947925, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 2, 'recommendationShown': False}"
oRHx5lFfYaWK2EoLAABT,1617833028,"{'participantId': 'zLYXj9oegzzF', 'appMode': 'practice', 'interactionAt': 1617833028912, 'interactionType': 'close_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
pi7k8bkF95CRAEjSAABV,1617833127,"{'participantId': 'zLYXj9oegzzF', 'appMode': 'hiring', 'interactionAt': 1617833127058, 'interactionType': 'init_app', 'currentScenario': -1, 'selectedId': -1, 'recommendationShown': False}"
pi7k8bkF95CRAEjSAABV,1617833131,"{'participantId': 'zLYXj9oegzzF', 'appMode': 'hiring', 'interactionAt': 1617833131203, 'interactionType': 'card_clicked', 'currentScenario': 0, 'selectedId': 28, 'recommendationShown': False}"
pi7k8bkF95CRAEjSAABV,1617833131,"{'participantId': 'zLYXj9oegzzF', 'appMode': 'hiring', 'interactionAt': 1617833131976, 'interactionType': 'save_selection', 'currentScenario': 0, 'selectedId': 28, 'recommendationShown': False}"
pi7k8bkF95CRAEjSAABV,1617833134,"{'participantId': 'zLYXj9oegzzF', 'appMode': 'hiring', 'interactionAt': 1617833134545, 'interactionType': 'continue', 'currentScenario': 0, 'selectedId': -1, 'recommendationShown': True}"
pi7k8bkF95CRAEjSAABV,1617833135,"{'participantId': 'zLYXj9oegzzF', 'appMode': 'hiring', 'interactionAt': 1617833135574, 'interactionType': 'get_recommendation', 'currentScenario': 1, 'selectedId': -1, 'recommendationShown': True}"
pi7k8bkF95CRAEjSAABV,1617833137,"{'participantId': 'zLYXj9oegzzF', 'appMode': 'hiring', 'interactionAt': 1617833137675, 'interactionType': 'card_clicked', 'currentScenario': 1, 'selectedId': 1, 'recommendationShown': True}"
pi7k8bkF95CRAEjSAABV,1617833138,"{'participantId': 'zLYXj9oegzzF', 'appMode': 'hiring', 'interactionAt': 1617833138475, 'interactionType': 'save_selection', 'currentScenario': 1, 'selectedId': 1, 'recommendationShown': True}"
pi7k8bkF95CRAEjSAABV,1617833139,"{'participantId': 'zLYXj9oegzzF', 'appMode': 'hiring', 'interactionAt': 1617833139002, 'interactionType': 'card_clicked', 'currentScenario': 2, 'selectedId': 9, 'recommendationShown': False}"
pi7k8bkF95CRAEjSAABV,1617833139,"{'participantId': 'zLYXj9oegzzF', 'appMode': 'hiring', 'interactionAt': 1617833139748, 'interactionType': 'save_selection', 'currentScenario': 2, 'selectedId': 9, 'recommendationShown': False}"
pi7k8bkF95CRAEjSAABV,1617833145,"{'participantId': 'zLYXj9oegzzF', 'appMode': 'hiring', 'interactionAt': 1617833145647, 'interactionType': 'continue', 'currentScenario': 2, 'selectedId': -1, 'recommendationShown': True}"
